time,total_score,pending_tasks,completed_tasks,expired_tasks,charging_queue_total,avg_battery
0,0.0,0,0,0,0,120.0
1,0.0,0,0,0,0,120.0
2,0.0,0,0,0,0,120.0
3,0.0,0,0,0,0,120.0
4,0.0,0,0,0,0,120.0
5,0.0,0,0,0,0,119.85
6,0.0,0,0,0,0,119.55
7,0.0,0,0,0,0,119.25
8,0.0,0,0,0,0,118.95
9,95.8524,0,1,0,0,118.3587
10,95.8524,0,1,0,0,117.7587
11,188.8919,0,2,0,0,117.2486
12,188.8919,0,2,0,0,116.4986
13,188.8919,0,2,0,0,115.7574
14,188.8919,0,2,0,0,115.1574
15,285.2797,0,3,0,0,114.6553
16,285.2797,0,3,0,0,114.0553
17,467.2718,0,5,0,0,113.6874
18,467.2718,0,5,0,0,113.1773
19,467.2718,0,5,0,0,112.8253
20,467.2718,0,5,0,0,112.5253
21,467.2718,0,5,0,0,112.0753
22,467.2718,0,5,0,0,111.6253
23,467.2718,0,5,0,0,111.0253
24,467.2718,0,5,0,0,110.4253
25,467.2718,0,5,0,0,109.6753
26,467.2718,0,5,0,0,109.1573
27,467.2718,0,5,0,0,108.7073
28,467.2718,0,5,0,0,107.9573
29,467.2718,0,5,0,0,107.2073
