event_type,node,reason,station_id,task_id,time,vehicle_id
task_released,,,,64,3,
task_released,,,,21,14,
task_released,,,,42,14,
task_released,,,,99,14,
task_released,,,,22,16,
task_released,,,,80,16,
task_completed,,,,80,20,
task_completed,,,,64,22,
task_released,,,,39,23,
vehicle_became_idle,,reach_depot,,,25,4
task_released,,,,27,26,
task_released,,,,72,26,
task_released,,,,86,27,
task_completed,,,,42,28,
task_completed,,,,99,28,
task_released,,,,62,29,
task_released,,,,45,30,
task_released,,,,8,31,
task_completed,,,,21,31,
task_completed,,,,22,33,
task_released,,,,51,37,
task_released,,,,6,38,
task_completed,,,,39,38,
task_released,,,,25,39,
task_released,,,,16,42,
vehicle_became_idle,,reach_depot,,,42,0
task_completed,,,,27,42,
task_completed,,,,86,42,
vehicle_became_idle,,reach_depot,,,43,1
vehicle_became_idle,,reach_depot,,,43,2
task_completed,,,,72,43,
task_completed,,,,62,43,
task_released,,,,47,47,
task_completed,,,,51,47,
vehicle_became_idle,,reach_depot,,,49,3
vehicle_became_idle,,reach_depot,,,51,5
task_released,,,,24,52,
task_released,,,,94,52,
vehicle_became_idle,,reach_depot,,,52,0
task_completed,,,,16,54,
vehicle_became_idle,,reach_depot,,,54,6
task_completed,,,,45,57,
vehicle_became_idle,,reach_depot,,,58,8
vehicle_became_idle,,reach_depot,,,58,9
vehicle_became_idle,,reach_depot,,,59,4
task_released,,,,36,60,
vehicle_became_idle,,reach_depot,,,61,7
task_released,,,,96,64,
vehicle_became_idle,,reach_depot,,,65,1
task_released,,,,43,67,
task_completed,,,,25,67,
task_completed,,,,24,67,
task_released,,,,44,70,
task_released,,,,88,70,
vehicle_became_idle,,reach_depot,,,71,2
task_released,,,,58,72,
task_completed,,,,94,72,
task_released,,,,4,74,
task_completed,,,,8,76,
task_completed,,,,47,76,
task_completed,,,,36,77,
task_released,,,,50,79,
task_completed,,,,6,80,
task_completed,,,,43,81,
task_released,,,,12,83,
vehicle_became_idle,,reach_depot,,,83,5
task_completed,,,,12,85,
vehicle_became_idle,,reach_depot,,,85,3
task_completed,,,,58,86,
task_released,,,,13,87,
task_released,,,,91,87,
vehicle_became_idle,,reach_depot,,,88,2
vehicle_became_idle,,reach_depot,,,90,6
vehicle_reached_station,,,3,,91,5
task_released,,,,84,93,
vehicle_reached_station,,,3,,93,3
vehicle_became_idle,,reach_depot,,,94,8
vehicle_became_idle,,reach_depot,,,94,9
vehicle_became_idle,,reach_depot,,,95,4
charge_unreachable,0,,,,95,4
task_released,,,,53,96,
vehicle_became_idle,,reach_depot,,,96,0
charge_unreachable,0,,,,96,0
charge_unreachable,0,,,,96,4
charge_unreachable,0,,,,97,0
charge_unreachable,0,,,,97,4
charge_unreachable,0,,,,98,0
charge_unreachable,0,,,,98,4
vehicle_reached_station,,,3,,98,6
charge_unreachable,0,,,,99,0
charge_unreachable,0,,,,99,4
vehicle_became_idle,,reach_depot,,,99,7
charge_unreachable,0,,,,100,0
task_completed,,,,53,100,
charge_unreachable,0,,,,100,4
charge_unreachable,0,,,,101,0
vehicle_became_idle,,reach_depot,,,101,1
charge_unreachable,0,,,,101,1
charge_unreachable,0,,,,101,4
task_released,,,,95,102,
charge_unreachable,0,,,,102,0
charge_unreachable,0,,,,102,1
charge_unreachable,0,,,,102,4
vehicle_reached_station,,,3,,102,8
vehicle_reached_station,,,3,,102,9
task_released,,,,65,103,
charge_unreachable,0,,,,103,0
charge_unreachable,0,,,,103,1
charge_unreachable,0,,,,103,4
charge_unreachable,0,,,,104,0
charge_unreachable,0,,,,104,1
charge_unreachable,0,,,,104,4
charge_unreachable,0,,,,105,0
charge_unreachable,0,,,,105,1
vehicle_became_idle,,reach_depot,,,105,2
charge_unreachable,0,,,,105,4
charge_unreachable,0,,,,106,0
charge_unreachable,0,,,,106,1
charge_unreachable,0,,,,106,4
task_released,,,,5,107,
charge_unreachable,0,,,,107,0
charge_unreachable,0,,,,107,1
charge_unreachable,0,,,,107,4
vehicle_reached_station,,,3,,107,7
task_released,,,,55,108,
task_released,,,,89,108,
charge_unreachable,0,,,,108,0
charge_unreachable,0,,,,108,1
charge_unreachable,0,,,,108,4
vehicle_finished_charging,,,3,,108,5
task_released,,,,41,109,
charge_unreachable,0,,,,109,0
charge_unreachable,0,,,,109,1
charge_unreachable,0,,,,109,4
charge_unreachable,0,,,,110,0
charge_unreachable,0,,,,110,1
charge_unreachable,0,,,,110,4
charge_unreachable,0,,,,111,0
charge_unreachable,0,,,,111,1
charge_unreachable,0,,,,111,4
vehicle_finished_charging,,,3,,111,3
task_released,,,,31,112,
charge_unreachable,0,,,,112,0
charge_unreachable,0,,,,112,1
charge_unreachable,0,,,,112,4
charge_unreachable,0,,,,113,0
charge_unreachable,0,,,,113,1
vehicle_reached_station,,,3,,113,2
charge_unreachable,0,,,,113,4
task_released,,,,9,114,
charge_unreachable,0,,,,114,0
charge_unreachable,0,,,,114,1
charge_unreachable,0,,,,114,4
charge_unreachable,0,,,,115,0
charge_unreachable,0,,,,115,1
charge_unreachable,0,,,,115,4
task_released,,,,3,116,
task_released,,,,70,116,
charge_unreachable,0,,,,116,0
charge_unreachable,0,,,,116,1
task_completed,,,,31,116,
charge_unreachable,0,,,,116,4
charge_unreachable,0,,,,117,0
charge_unreachable,0,,,,117,1
charge_unreachable,0,,,,117,4
charge_unreachable,0,,,,118,0
charge_unreachable,0,,,,118,1
charge_unreachable,0,,,,118,4
charge_unreachable,0,,,,119,0
charge_unreachable,0,,,,119,1
charge_unreachable,0,,,,119,4
task_completed,,,,95,119,
task_released,,,,19,120,
charge_unreachable,0,,,,120,0
charge_unreachable,0,,,,120,1
charge_unreachable,0,,,,120,4
charge_unreachable,0,,,,121,0
charge_unreachable,0,,,,121,1
charge_unreachable,0,,,,121,4
task_released,,,,63,122,
charge_unreachable,0,,,,122,0
charge_unreachable,0,,,,122,1
charge_unreachable,0,,,,122,4
vehicle_became_idle,,reach_depot,,,122,5
charge_unreachable,0,,,,123,0
charge_unreachable,0,,,,123,1
charge_unreachable,0,,,,123,4
charge_unreachable,0,,,,124,0
charge_unreachable,0,,,,124,1
vehicle_became_idle,,reach_depot,,,124,3
charge_unreachable,0,,,,124,4
charge_unreachable,0,,,,125,0
charge_unreachable,0,,,,125,1
