episode,seed,scale_index,scale,epsilon,total_reward,steps,final_score,completed_tasks,expired_tasks,eval_score_mean,eval_reward_mean,action_0_count,action_1_count,action_2_count,action_3_count
0.0,7.0,0.0,medium,0.2,3068.081953608863,96.0,2719.6953458903367,32.0,8.0,2911.56238019143,3294.7152978217355,13.0,36.0,25.0,22.0
1.0,8.0,0.0,medium,0.199,3431.242855286015,103.0,3122.1267502243513,38.0,17.0,2772.2894125155944,3033.3512041045055,20.0,34.0,13.0,36.0
2.0,9.0,0.0,medium,0.19800500000000001,2737.3988051344745,85.0,2440.3028735810567,29.0,11.0,2718.7678955718384,3026.783584236923,10.0,12.0,20.0,43.0
3.0,10.0,0.0,medium,0.197014975,3911.4599027281292,101.0,3420.655264777995,39.0,8.0,2487.2946901102423,2746.607053212944,18.0,3.0,31.0,49.0
4.0,11.0,0.0,medium,0.19602990012500002,3699.6020737232457,98.0,3325.3334444729658,39.0,13.0,2857.753181965449,3169.411533096705,27.0,13.0,18.0,40.0
5.0,12.0,0.0,medium,0.19504975062437502,2035.1608814301162,86.0,1933.8151116495173,26.0,21.0,2966.3125859217985,3327.1227341214435,6.0,8.0,14.0,58.0
6.0,13.0,0.0,medium,0.19407450187125314,2836.6178919880613,84.0,2525.59747569951,30.0,10.0,2770.5891547335505,3041.75076562208,4.0,8.0,16.0,56.0
7.0,14.0,0.0,medium,0.19310412936189686,4550.579493955072,104.0,3885.728733350214,43.0,3.0,2540.6141543967965,2764.9465152557027,7.0,23.0,53.0,21.0
8.0,15.0,0.0,medium,0.19213860871508737,3291.5546271007775,108.0,3055.9157353986275,37.0,16.0,2810.7236948677078,3147.4518151871475,32.0,12.0,37.0,27.0
9.0,16.0,0.0,medium,0.19117791567151193,3251.7359024126663,105.0,2974.381684184376,36.0,13.0,2752.254188047811,3083.6221965216546,32.0,8.0,32.0,33.0
10.0,17.0,0.0,medium,0.19022202609315436,3054.348660065178,88.0,2741.900255190133,32.0,9.0,2865.9036769765003,3231.804071638093,9.0,9.0,33.0,37.0
11.0,18.0,0.0,medium,0.18927091596268858,3217.044276011503,90.0,2845.009108862165,33.0,10.0,2797.2400934855577,3139.994210271489,8.0,10.0,30.0,42.0
12.0,19.0,0.0,medium,0.18832456138287512,3923.1305331582366,104.0,3467.586697004394,40.0,10.0,2925.706985780863,3299.5098758839135,14.0,16.0,39.0,35.0
