episode,seed,scale_index,scale,epsilon,total_reward,steps,final_score,completed_tasks,expired_tasks,eval_score_mean,eval_reward_mean,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count
0.0,7.0,0.0,medium,0.2,3283.343910446177,96.0,2908.5801415927067,34.0,8.0,2904.659901707912,3265.620609472701,12.0,19.0,33.0,22.0,7.0,3.0
1.0,8.0,0.0,medium,0.199,3287.2178043669355,95.0,2908.5801415927067,34.0,8.0,2904.659901707912,3265.620609472701,5.0,21.0,38.0,23.0,6.0,2.0
2.0,9.0,0.0,medium,0.19800500000000001,3287.2178043669355,95.0,2908.5801415927067,34.0,8.0,2904.659901707912,3265.620609472701,8.0,20.0,38.0,23.0,6.0,0.0
3.0,10.0,0.0,medium,0.197014975,3287.2178043669355,95.0,2908.5801415927067,34.0,8.0,2904.659901707912,3265.620609472701,11.0,20.0,38.0,20.0,6.0,0.0
4.0,11.0,0.0,medium,0.19602990012500002,3287.2178043669355,95.0,2908.5801415927067,34.0,8.0,2904.659901707912,3265.620609472701,11.0,20.0,38.0,20.0,6.0,0.0
5.0,12.0,0.0,medium,0.19504975062437502,3287.2178043669355,95.0,2908.5801415927067,34.0,8.0,2904.659901707912,3265.620609472701,11.0,20.0,38.0,20.0,6.0,0.0
6.0,13.0,0.0,medium,0.19407450187125314,3287.2178043669355,95.0,2908.5801415927067,34.0,8.0,2904.659901707912,3265.620609472701,11.0,20.0,38.0,20.0,6.0,0.0
7.0,14.0,0.0,medium,0.19310412936189686,3287.2178043669355,95.0,2908.5801415927067,34.0,8.0,2904.659901707912,3265.620609472701,11.0,20.0,38.0,20.0,6.0,0.0
8.0,15.0,0.0,medium,0.19213860871508737,3287.2178043669355,95.0,2908.5801415927067,34.0,8.0,2904.659901707912,3265.620609472701,11.0,20.0,38.0,20.0,6.0,0.0
9.0,16.0,0.0,medium,0.19117791567151193,3287.2178043669355,95.0,2908.5801415927067,34.0,8.0,2904.659901707912,3265.620609472701,11.0,20.0,38.0,20.0,6.0,0.0
10.0,17.0,0.0,medium,0.19022202609315436,3287.2178043669355,95.0,2908.5801415927067,34.0,8.0,2904.659901707912,3265.620609472701,11.0,20.0,38.0,20.0,6.0,0.0
11.0,18.0,0.0,medium,0.18927091596268858,3287.2178043669355,95.0,2908.5801415927067,34.0,8.0,2904.659901707912,3265.620609472701,11.0,20.0,38.0,20.0,6.0,0.0
12.0,19.0,0.0,medium,0.18832456138287512,3287.2178043669355,95.0,2908.5801415927067,34.0,8.0,2904.659901707912,3265.620609472701,11.0,20.0,38.0,20.0,6.0,0.0
13.0,20.0,0.0,medium,0.18738293857596075,3287.2178043669355,95.0,2908.5801415927067,34.0,8.0,2904.659901707912,3265.620609472701,11.0,20.0,38.0,20.0,6.0,0.0
14.0,21.0,0.0,medium,0.18644602388308096,3287.2178043669355,95.0,2908.5801415927067,34.0,8.0,2904.659901707912,3265.620609472701,11.0,20.0,38.0,20.0,6.0,0.0
