assigned_time,assigned_vehicle,assigned_vehicles,collaborative,complete_time,deadline,delivered_weight,event_type,origin_node,release_time,remaining_weight,service_distance,service_duration,status,task_id,time,weight
,,{},False,,62,0.0,released,52,0,14.54,0.0,0,pending,274,0,14.54
,,{},False,,33,0.0,released,72,0,24.37,0.0,0,pending,277,0,24.37
0,0,{0: 14.54},False,,62,0.0,assigned,52,0,14.54,0.0,0,assigned,274,0,14.54
,,{},False,,67,0.0,released,27,1,25.23,0.0,0,pending,41,1,25.23
1,1,{1: 25.23},False,,67,0.0,assigned,27,1,25.23,0.0,0,assigned,41,1,25.23
,,{},False,,32,0.0,released,43,5,24.56,0.0,0,pending,152,5,24.56
5,2,{2: 24.56},False,,32,0.0,assigned,43,5,24.56,0.0,0,assigned,152,5,24.56
,,{},False,,81,0.0,released,44,6,23.16,0.0,0,pending,30,6,23.16
,,{},False,,68,0.0,released,20,6,4.11,0.0,0,pending,234,6,4.11
6,3,{3: 4.11},False,,68,0.0,assigned,20,6,4.11,0.0,0,assigned,234,6,4.11
6,4,{4: 23.16},False,,81,0.0,assigned,44,6,23.16,0.0,0,assigned,30,6,23.16
,,{},False,,81,0.0,released,91,8,1.44,0.0,0,pending,187,8,1.44
8,5,{5: 1.44},False,,81,0.0,assigned,91,8,1.44,0.0,0,assigned,187,8,1.44
,,{},False,,75,0.0,released,34,11,6.55,0.0,0,pending,85,11,6.55
11,6,{6: 6.55},False,,75,0.0,assigned,34,11,6.55,0.0,0,assigned,85,11,6.55
,,{},False,,39,0.0,released,95,14,22.35,0.0,0,pending,150,14,22.35
14,7,{7: 22.35},False,,39,0.0,assigned,95,14,22.35,0.0,0,assigned,150,14,22.35
1,1,{},False,16,67,25.23,completed,27,1,0.0,23.1555,15,completed,41,16,25.23
,,{},False,,97,0.0,released,38,17,11.77,0.0,0,pending,119,17,11.77
,,{},False,,47,0.0,released,86,17,16.9,0.0,0,pending,145,17,16.9
17,8,{8: 11.77},False,,97,0.0,assigned,38,17,11.77,0.0,0,assigned,119,17,11.77
0,0,{},False,17,62,14.54,completed,52,0,0.0,25.7956,17,completed,274,17,14.54
,,{},False,,83,0.0,released,48,20,21.76,0.0,0,pending,125,20,21.76
20,9,{9: 21.76},False,,83,0.0,assigned,48,20,21.76,0.0,0,assigned,125,20,21.76
6,3,{},False,21,68,4.11,completed,20,6,0.0,23.6048,15,completed,234,21,4.11
,,{},False,,78,0.0,released,28,25,4.23,0.0,0,pending,52,25,4.23
,,{},False,,71,0.0,released,72,25,25.28,0.0,0,pending,278,25,25.28
25,10,{10: 4.23},False,,78,0.0,assigned,28,25,4.23,0.0,0,assigned,52,25,4.23
6,4,{},False,26,81,23.16,completed,44,6,0.0,31.3002,20,completed,30,26,23.16
,,{},False,,74,0.0,released,66,29,26.68,0.0,0,pending,255,29,26.68
29,11,{11: 26.68},False,,74,0.0,assigned,66,29,26.68,0.0,0,assigned,255,29,26.68
,,{},False,,85,0.0,released,75,30,25.28,0.0,0,pending,196,30,25.28
30,12,{12: 25.28},False,,85,0.0,assigned,75,30,25.28,0.0,0,assigned,196,30,25.28
,,{},False,,95,0.0,released,112,31,1.96,0.0,0,pending,42,31,1.96
31,13,{13: 1.96},False,,95,0.0,assigned,112,31,1.96,0.0,0,assigned,42,31,1.96
,,{},False,,69,0.0,released,18,32,1.49,0.0,0,pending,38,32,1.49
,,{},False,,97,0.0,released,9,32,25.64,0.0,0,pending,211,32,25.64
32,14,{14: 1.49},False,,69,0.0,assigned,18,32,1.49,0.0,0,assigned,38,32,1.49
32,15,{15: 25.64},False,,97,0.0,assigned,9,32,25.64,0.0,0,assigned,211,32,25.64
20,9,{},False,32,83,21.76,completed,48,20,0.0,19.157,12,completed,125,32,21.76
,,{},False,,78,0.0,released,107,33,23.93,0.0,0,pending,89,33,23.93
5,2,{},False,33,32,0.0,expired,43,5,24.56,0.0,0,expired,152,33,24.56
33,16,{16: 23.93},False,,78,0.0,assigned,107,33,23.93,0.0,0,assigned,89,33,23.93
,,{},False,34,33,0.0,expired,72,0,24.37,0.0,0,expired,277,34,24.37
,,{},False,,76,0.0,released,92,36,17.01,0.0,0,pending,208,36,17.01
36,0,{0: 17.01},False,,76,0.0,assigned,92,36,17.01,0.0,0,assigned,208,36,17.01
,,{},False,,72,0.0,released,100,38,20.08,0.0,0,pending,158,38,20.08
38,1,{1: 20.08},False,,72,0.0,assigned,100,38,20.08,0.0,0,assigned,158,38,20.08
17,8,{},False,38,97,11.77,completed,38,17,0.0,32.7973,21,completed,119,38,11.77
,,{},False,,100,0.0,released,96,40,13.17,0.0,0,pending,62,40,13.17
14,7,{},False,40,39,0.0,expired,95,14,22.35,0.0,0,expired,150,40,22.35
40,3,{3: 13.17},False,,100,0.0,assigned,96,40,13.17,0.0,0,assigned,62,40,13.17
,,{},False,,83,0.0,released,64,41,5.74,0.0,0,pending,73,41,5.74
41,17,{17: 5.74},False,,83,0.0,assigned,64,41,5.74,0.0,0,assigned,73,41,5.74
,,{},False,,82,0.0,released,112,42,29.31,0.0,0,pending,250,42,29.31
42,18,{18: 29.31},False,,82,0.0,assigned,112,42,29.31,0.0,0,assigned,250,42,29.31
8,5,{},False,42,81,1.44,completed,91,8,0.0,51.1028,34,completed,187,42,1.44
,,{},False,,109,0.0,released,73,43,5.95,0.0,0,pending,83,43,5.95
43,19,{19: 5.95},False,,109,0.0,assigned,73,43,5.95,0.0,0,assigned,83,43,5.95
,,{},False,,75,0.0,released,112,44,14.42,0.0,0,pending,86,44,14.42
,,{},False,,120,0.0,released,41,44,5.78,0.0,0,pending,231,44,5.78
25,10,{},False,45,78,4.23,completed,28,25,0.0,30.8635,20,completed,52,45,4.23
43,19,{},False,45,109,5.95,completed,73,43,0.0,3.0125,2,completed,83,45,5.95
,,{},False,,126,0.0,released,42,48,12.23,0.0,0,pending,284,48,12.23
,,{},False,48,47,0.0,expired,86,17,16.9,0.0,0,expired,145,48,16.9
,,{},False,,126,0.0,released,80,49,2.83,0.0,0,pending,9,49,2.83
,,{},False,,107,0.0,released,62,49,15.82,0.0,0,pending,155,49,15.82
,,{},False,,88,0.0,released,44,49,16.04,0.0,0,pending,175,49,16.04
49,19,{19: 14.42},False,,75,0.0,assigned,112,44,14.42,0.0,0,assigned,86,49,14.42
49,9,{9: 16.04},False,,88,0.0,assigned,44,49,16.04,0.0,0,assigned,175,49,16.04
11,6,{},False,49,75,6.55,completed,34,11,0.0,58.3341,38,completed,85,49,6.55
30,12,{},False,49,85,25.28,completed,75,30,0.0,28.8591,19,completed,196,49,25.28
,,{},False,,115,0.0,released,4,50,27.7,0.0,0,pending,252,50,27.7
,,{},False,,110,0.0,released,38,51,7.46,0.0,0,pending,98,51,7.46
,,{},False,,96,0.0,released,105,51,4.98,0.0,0,pending,247,51,4.98
,,{},False,,107,0.0,released,83,52,25.46,0.0,0,pending,127,52,25.46
,,{},False,,83,0.0,released,101,55,2.66,0.0,0,pending,100,55,2.66
,,{},False,,103,0.0,released,86,55,21.81,0.0,0,pending,141,55,21.81
33,16,{},False,57,78,23.93,completed,107,33,0.0,37.0443,24,completed,89,57,23.93
,,{},False,,129,0.0,released,56,58,18.68,0.0,0,pending,95,58,18.68
36,0,{},False,58,76,17.01,completed,92,36,0.0,33.2256,22,completed,208,58,17.01
32,15,{},False,59,97,25.64,completed,9,32,0.0,41.3296,27,completed,211,59,25.64
,,{},False,,92,0.0,released,110,60,12.2,0.0,0,pending,183,60,12.2
38,1,{},False,61,72,20.08,completed,100,38,0.0,34.5581,23,completed,158,61,20.08
