avg_battery,charging_queue_total,completed_tasks,expired_tasks,pending_tasks,time,total_score
119.925,0,0,0,1,0,0.0
119.775,0,0,0,1,1,0.0
119.625,0,0,0,1,2,0.0
119.475,0,0,0,1,3,0.0
119.325,0,0,0,1,4,0.0
119.1,0,0,0,1,5,0.0
118.725,0,0,0,1,6,0.0
118.35,0,0,0,1,7,0.0
117.9,0,0,0,1,8,0.0
117.45,0,0,0,1,9,0.0
117.0,0,0,0,1,10,0.0
116.475,0,0,0,1,11,0.0
115.95,0,0,0,1,12,0.0
115.425,0,0,0,1,13,0.0
114.825,0,0,0,1,14,0.0
114.225,0,0,0,1,15,0.0
113.6672,0,1,0,1,16,93.7312
113.0524,0,2,0,2,17,186.7478
112.3774,0,2,0,2,18,186.7478
111.7024,0,2,0,2,19,186.7478
110.9524,0,2,0,2,20,186.7478
110.2222,0,3,0,2,21,280.3574
109.4722,0,3,0,2,22,280.3574
108.7222,0,3,0,2,23,280.3574
107.9722,0,3,0,2,24,280.3574
107.1472,0,3,0,3,25,280.3574
106.3322,0,4,0,3,26,371.8837
105.5072,0,4,0,3,27,371.8837
104.6822,0,4,0,3,28,371.8837
103.7822,0,4,0,3,29,371.8837
102.8072,0,4,0,3,30,371.8837
101.7572,0,4,0,3,31,371.8837
100.6166,0,5,0,3,32,466.6974
99.4166,0,5,1,3,33,446.6974
98.2166,0,5,2,2,34,426.6974
97.0768,0,5,2,2,35,426.6974
95.8768,0,5,2,2,36,426.6974
94.6966,0,5,2,2,37,426.6974
93.5067,0,6,2,2,38,517.8184
92.3067,0,6,2,2,39,517.8184
91.0317,0,6,3,2,40,497.8184
89.6817,0,6,3,2,41,497.8184
88.3266,0,7,3,2,42,583.9837
86.8266,0,7,3,2,43,583.9837
85.3266,0,7,3,4,44,583.9837
83.9499,0,9,3,4,45,774.8126
82.5249,0,9,3,4,46,774.8126
81.1099,0,9,3,4,47,774.8126
79.8343,0,9,4,4,48,754.8126
78.4746,0,11,4,5,49,931.2073
77.0496,0,11,4,6,50,931.2073
75.6246,0,11,4,8,51,931.2073
74.1996,0,11,4,9,52,931.2073
72.7746,0,11,4,9,53,931.2073
71.3496,0,11,4,9,54,931.2073
69.9246,0,11,4,11,55,931.2073
68.4996,0,11,4,11,56,931.2073
67.0974,0,12,4,11,57,1021.1785
65.7538,0,13,4,12,58,1112.1836
64.4493,0,14,4,12,59,1200.9946
63.1845,0,14,4,13,60,1200.9946
62.0566,0,15,4,13,61,1291.6389
60.8566,0,15,4,13,62,1291.6389
59.7024,0,16,4,13,63,1382.1409
58.4915,0,17,4,14,64,1469.0874
57.2578,0,18,4,15,65,1554.2857
56.0146,0,18,4,15,66,1554.2857
54.869,0,20,4,15,67,1728.5906
53.669,0,20,4,15,68,1728.5906
52.536,0,21,4,15,69,1820.1169
51.336,0,21,4,14,70,1820.1169
50.136,0,21,4,14,71,1820.1169
48.936,0,21,5,14,72,1800.1169
47.736,0,21,5,15,73,1800.1169
46.536,0,21,5,15,74,1800.1169
45.336,0,21,5,16,75,1800.1169
44.136,0,21,6,19,76,1780.1169
43.0059,0,21,6,19,77,1780.1169
41.8518,0,22,6,19,78,1865.3405
40.5994,0,22,6,19,79,1865.3405
39.735,0,23,6,19,80,1958.6299
38.8987,0,23,6,22,81,1958.6299
38.0965,0,23,6,22,82,1958.6299
37.3465,0,23,6,22,83,1958.6299
36.5965,0,23,7,21,84,1938.6299
35.9186,0,23,7,21,85,1938.6299
35.1686,0,23,7,21,86,1938.6299
34.5204,0,23,7,21,87,1938.6299
34.2287,0,23,7,23,88,1938.6299
33.9513,0,23,7,24,89,1938.6299
34.0916,1,24,7,24,90,2030.2797
34.2416,1,24,7,24,91,2030.2797
34.3391,2,24,7,24,92,2030.2797
34.4891,2,24,8,25,93,2010.2797
34.6475,2,24,8,25,94,2010.2797
34.8725,1,24,8,25,95,2010.2797
35.0225,1,24,8,24,96,2010.2797
35.1973,1,24,8,25,97,2010.2797
35.2544,1,25,8,26,98,2102.4668
35.2994,3,25,8,26,99,2102.4668
35.4494,3,25,8,27,100,2102.4668
35.5244,3,25,8,27,101,2102.4668
35.6814,3,26,8,27,102,2198.2736
35.7564,3,26,8,28,103,2198.2736
35.9742,4,27,9,28,104,2277.458
36.1242,3,27,9,29,105,2277.458
36.2217,4,27,9,29,106,2277.458
36.4967,3,28,9,29,107,2374.8892
36.6467,3,28,12,27,108,2314.8892
36.8192,3,28,12,27,109,2314.8892
36.9692,3,28,12,26,110,2314.8892
37.1823,3,29,13,26,111,2389.3682
37.4299,3,29,13,26,112,2389.3682
37.666,2,30,13,25,113,2482.6577
37.7916,2,30,15,24,114,2442.6577
37.9351,3,30,16,23,115,2422.6577
38.2459,4,30,17,23,116,2402.6577
38.4934,5,30,19,19,117,2362.6577
38.8505,5,30,19,20,118,2362.6577
39.1505,5,30,19,21,119,2362.6577
39.4505,5,30,19,22,120,2362.6577
39.7505,4,30,20,22,121,2342.6577
39.9755,4,30,20,21,122,2342.6577
40.2749,4,30,20,21,123,2342.6577
40.4999,4,30,21,21,124,2322.6577
40.7777,3,30,22,20,125,2302.6577
40.9986,3,31,23,20,126,2377.3563
41.1486,3,31,26,21,127,2317.3563
41.325,2,32,26,21,128,2413.4382
41.4,2,32,27,19,129,2393.4382
41.5212,2,32,29,19,130,2353.4382
41.6937,2,32,29,18,131,2353.4382
41.9181,2,32,29,17,132,2353.4382
42.0681,2,32,30,19,133,2333.4382
42.282,2,32,30,19,134,2333.4382
42.8814,2,32,30,19,135,2333.4382
43.4328,2,32,30,19,136,2333.4382
44.0328,2,32,30,19,137,2333.4382
44.6591,1,32,31,18,138,2313.4382
45.1841,1,32,31,17,139,2313.4382
45.8025,2,32,31,18,140,2313.4382
46.4775,2,32,31,19,141,2313.4382
47.1948,1,33,31,19,142,2407.1694
47.7948,1,33,31,18,143,2407.1694
48.3948,1,33,31,18,144,2407.1694
48.9948,1,33,31,19,145,2407.1694
49.5948,0,33,31,19,146,2407.1694
50.1198,0,33,31,19,147,2407.1694
50.6448,0,33,31,19,148,2407.1694
51.1698,0,33,32,19,149,2387.1694
51.6948,0,33,33,20,150,2367.1694
52.2198,0,33,33,20,151,2367.1694
52.7448,0,33,35,21,152,2327.1694
52.8788,0,34,35,21,153,2418.1492
52.9538,0,34,35,22,154,2418.1492
52.6538,0,34,35,21,155,2418.1492
52.3538,0,34,36,20,156,2398.1492
52.0538,0,34,37,20,157,2378.1492
51.796,0,34,37,20,158,2378.1492
51.496,0,34,37,20,159,2378.1492
50.8436,0,34,37,19,160,2378.1492
50.5436,0,34,37,22,161,2378.1492
50.2958,0,34,37,23,162,2378.1492
50.0708,0,34,37,22,163,2378.1492
49.4708,0,34,40,22,164,2318.1492
48.8761,0,34,41,22,165,2298.1492
48.3511,0,34,41,22,166,2298.1492
47.8687,0,34,42,21,167,2278.1492
47.3437,0,34,42,21,168,2278.1492
46.8187,0,34,43,21,169,2258.1492
46.2937,0,34,43,21,170,2258.1492
45.8558,0,34,44,22,171,2238.1492
45.3875,0,35,45,21,172,2310.0966
44.885,0,35,45,21,173,2310.0966
44.7106,0,35,45,21,174,2310.0966
44.4961,0,35,47,20,175,2270.0966
44.3302,0,35,48,19,176,2250.0966
43.8064,0,35,49,18,177,2230.0966
43.2289,0,35,50,17,178,2210.0966
43.0039,0,35,50,17,179,2210.0966
42.8533,0,35,50,18,180,2210.0966
42.6283,0,35,51,17,181,2190.0966
42.3283,0,35,51,17,182,2190.0966
42.1147,0,35,51,19,183,2190.0966
41.9663,0,37,52,20,184,2359.141
41.6663,0,37,52,20,185,2359.141
41.3663,0,37,52,21,186,2359.141
41.0663,0,37,53,21,187,2339.141
40.794,0,37,54,21,188,2319.141
40.194,0,37,54,21,189,2319.141
39.594,0,37,54,21,190,2319.141
38.994,0,37,54,22,191,2319.141
38.4174,0,37,54,22,192,2319.141
37.8924,0,37,55,23,193,2299.141
37.3899,0,37,55,25,194,2299.141
37.2904,0,37,55,25,195,2299.141
37.1404,0,37,56,25,196,2279.141
36.6885,0,37,56,24,197,2279.141
36.6491,0,38,56,24,198,2372.4304
36.5741,0,38,56,24,199,2372.4304
36.5724,0,39,56,24,200,2466.3299
36.5235,0,39,56,24,201,2466.3299
36.4485,0,39,59,23,202,2406.3299
36.396,0,39,59,23,203,2406.3299
36.8343,0,39,59,24,204,2406.3299
37.1349,0,41,59,23,205,2589.5905
37.4349,0,41,59,24,206,2589.5905
37.7349,0,41,59,24,207,2589.5905
38.0349,0,41,59,26,208,2589.5905
38.3349,0,41,59,27,209,2589.5905
38.6349,0,41,59,27,210,2589.5905
38.9349,0,41,59,27,211,2589.5905
39.2775,0,41,60,27,212,2569.5905
38.8275,0,41,61,23,213,2549.5905
38.3775,0,41,62,22,214,2529.5905
37.9631,0,41,62,22,215,2529.5905
37.5864,0,41,62,22,216,2529.5905
37.1589,0,41,63,26,217,2509.5905
37.1064,0,41,64,27,218,2489.5905
37.429,0,41,66,26,219,2449.5905
37.8023,0,42,66,25,220,2543.4899
38.1766,0,42,66,26,221,2543.4899
38.1373,0,42,66,25,222,2543.4899
38.0623,0,42,68,24,223,2503.4899
38.0098,0,42,68,25,224,2503.4899
38.4481,0,42,69,28,225,2483.4899
38.8231,0,42,69,29,226,2483.4899
39.2725,0,42,70,31,227,2463.4899
39.6475,0,42,70,30,228,2463.4899
40.0225,0,42,71,30,229,2443.4899
40.4203,0,42,71,30,230,2443.4899
40.8703,0,42,72,30,231,2423.4899
41.3203,0,42,72,32,232,2423.4899
41.8952,0,42,73,32,233,2403.4899
42.3452,0,42,73,30,234,2403.4899
42.7952,0,42,73,30,235,2403.4899
42.9435,0,42,73,29,236,2403.4899
42.6435,0,42,73,29,237,2403.4899
42.3924,0,42,73,29,238,2403.4899
42.5424,0,42,74,29,239,2383.4899
42.3399,0,42,74,28,240,2383.4899
42.1149,0,42,75,27,241,2363.4899
41.8899,0,42,76,27,242,2343.4899
41.6649,0,42,77,28,243,2323.4899
41.4399,0,42,77,28,244,2323.4899
41.2149,0,42,78,28,245,2303.4899
41.0005,0,42,79,28,246,2283.4899
40.7755,0,42,79,27,247,2283.4899
40.6688,0,42,79,28,248,2283.4899
40.5188,0,42,80,29,249,2263.4899
40.3741,0,43,80,31,250,2356.6151
40.2984,0,43,80,32,251,2356.6151
40.1484,0,43,80,31,252,2356.6151
39.9984,0,43,80,32,253,2356.6151
39.8748,0,43,81,32,254,2336.6151
39.7248,0,43,81,31,255,2336.6151
39.5748,0,43,82,30,256,2316.6151
39.0498,0,43,82,31,257,2316.6151
38.5248,0,43,83,31,258,2296.6151
37.9998,0,43,84,32,259,2276.6151
37.4748,0,43,85,31,260,2256.6151
36.9937,0,43,85,32,261,2256.6151
36.5437,0,43,85,32,262,2256.6151
36.0937,0,43,85,32,263,2256.6151
35.6437,0,43,86,32,264,2236.6151
35.1937,0,43,87,31,265,2216.6151
34.862,0,43,89,31,266,2176.6151
34.4173,0,43,89,31,267,2176.6151
34.0417,0,43,90,31,268,2156.6151
33.6142,0,43,91,30,269,2136.6151
33.5392,0,43,92,29,270,2116.6151
33.3892,0,43,93,28,271,2096.6151
33.2392,0,43,94,27,272,2076.6151
33.0892,0,43,94,28,273,2076.6151
32.9392,0,43,95,28,274,2056.6151
32.7892,0,43,95,28,275,2056.6151
32.7136,0,43,96,28,276,2036.6151
32.5636,0,43,96,27,277,2036.6151
32.4136,0,43,96,27,278,2036.6151
32.3386,0,43,97,27,279,2016.6151
32.2636,0,43,98,27,280,1996.6151
32.1886,0,43,98,27,281,1996.6151
32.1136,0,43,99,26,282,1976.6151
32.0386,0,43,101,25,283,1936.6151
32.0238,0,44,102,25,284,2009.6317
32.0232,0,44,102,25,285,2009.6317
31.9482,0,44,102,25,286,2009.6317
31.4982,0,44,103,24,287,1989.6317
31.0482,0,44,103,24,288,1989.6317
30.6499,0,46,104,25,289,2153.6681
30.2224,0,46,104,25,290,2153.6681
29.6974,0,46,104,25,291,2153.6681
29.1895,0,46,104,26,292,2153.6681
28.7395,0,46,104,26,293,2153.6681
28.2895,0,46,104,26,294,2153.6681
27.8395,0,46,104,26,295,2153.6681
27.3895,0,46,105,26,296,2133.6681
26.9901,0,47,105,27,297,2231.0993
26.5401,0,47,106,27,298,2211.0993
26.0901,0,47,107,29,299,2191.0993
25.6401,0,47,107,29,300,2191.0993
25.1901,0,47,108,28,301,2171.0993
24.8109,0,47,109,27,302,2151.0993
24.4359,0,47,109,26,303,2151.0993
24.0364,0,47,111,26,304,2111.0993
23.5114,0,47,111,26,305,2111.0993
23.009,0,47,112,26,306,2091.0993
22.859,0,47,112,27,307,2091.0993
22.7214,0,47,112,28,308,2091.0993
