assigned_time,assigned_vehicle,assigned_vehicles,collaborative,complete_time,deadline,delivered_weight,event_type,origin_node,release_time,remaining_weight,service_distance,service_duration,status,task_id,time,weight
,,{},False,,42,0.0,released,103,0,26.07,0.0,0,pending,30,0,26.07
0,0,{0: 26.07},False,,42,0.0,assigned,103,0,26.07,0.0,0,assigned,30,0,26.07
,,{},False,,52,0.0,released,84,3,16.95,0.0,0,pending,109,3,16.95
3,1,{1: 16.95},False,,52,0.0,assigned,84,3,16.95,0.0,0,assigned,109,3,16.95
,,{},False,,36,0.0,released,36,5,8.5,0.0,0,pending,197,5,8.5
5,2,{2: 8.5},False,,36,0.0,assigned,36,5,8.5,0.0,0,assigned,197,5,8.5
,,{},False,,71,0.0,released,49,7,20.21,0.0,0,pending,67,7,20.21
7,3,{3: 20.21},False,,71,0.0,assigned,49,7,20.21,0.0,0,assigned,67,7,20.21
,,{},False,,43,0.0,released,95,11,18.85,0.0,0,pending,194,11,18.85
11,4,{4: 18.85},False,,43,0.0,assigned,95,11,18.85,0.0,0,assigned,194,11,18.85
,,{},False,,70,0.0,released,2,12,11.5,0.0,0,pending,280,12,11.5
12,5,{5: 11.5},False,,70,0.0,assigned,2,12,11.5,0.0,0,assigned,280,12,11.5
,,{},False,,43,0.0,released,46,17,14.77,0.0,0,pending,58,17,14.77
17,6,{6: 14.77},False,,43,0.0,assigned,46,17,14.77,0.0,0,assigned,58,17,14.77
,,{},False,,55,0.0,released,2,18,5.51,0.0,0,pending,143,18,5.51
18,7,{7: 5.51},False,,55,0.0,assigned,2,18,5.51,0.0,0,assigned,143,18,5.51
,,{},False,,50,0.0,released,36,19,7.45,0.0,0,pending,232,19,7.45
19,8,{8: 7.45},False,,50,0.0,assigned,36,19,7.45,0.0,0,assigned,232,19,7.45
17,6,{},False,19,43,14.77,completed,46,17,0.0,3.1994,2,completed,58,19,14.77
5,2,{},False,20,36,8.5,completed,36,5,0.0,23.8339,15,completed,197,20,8.5
,,{},False,,84,0.0,released,58,21,29.48,0.0,0,pending,6,21,29.48
21,9,{9: 29.48},False,,84,0.0,assigned,58,21,29.48,0.0,0,assigned,6,21,29.48
,,{},False,,94,0.0,released,17,22,22.38,0.0,0,pending,63,22,22.38
22,10,{10: 22.38},False,,94,0.0,assigned,17,22,22.38,0.0,0,assigned,63,22,22.38
,,{},False,,55,0.0,released,66,24,4.16,0.0,0,pending,45,24,4.16
24,6,{6: 4.16},False,,55,0.0,assigned,66,24,4.16,0.0,0,assigned,45,24,4.16
3,1,{},False,24,52,16.95,completed,84,3,0.0,32.5989,21,completed,109,24,16.95
,,{},False,,98,0.0,released,49,25,6.67,0.0,0,pending,196,25,6.67
25,11,{11: 6.67},False,,98,0.0,assigned,49,25,6.67,0.0,0,assigned,196,25,6.67
,,{},False,,72,0.0,released,7,27,22.7,0.0,0,pending,211,27,22.7
,,{},False,,81,0.0,released,54,29,28.41,0.0,0,pending,204,29,28.41
29,12,{12: 28.41},False,,81,0.0,assigned,54,29,28.41,0.0,0,assigned,204,29,28.41
7,3,{},False,29,71,20.21,completed,49,7,0.0,33.6505,22,completed,67,29,20.21
11,4,{},False,29,43,18.85,completed,95,11,0.0,27.8549,18,completed,194,29,18.85
12,5,{},False,29,70,11.5,completed,2,12,0.0,25.8931,17,completed,280,29,11.5
,,{},False,,57,0.0,released,31,30,6.52,0.0,0,pending,9,30,6.52
30,13,{13: 6.52},False,,57,0.0,assigned,31,30,6.52,0.0,0,assigned,9,30,6.52
,,{},False,,84,0.0,released,23,32,24.2,0.0,0,pending,120,32,24.2
32,14,{14: 24.2},False,,84,0.0,assigned,23,32,24.2,0.0,0,assigned,120,32,24.2
0,0,{},False,34,42,26.07,completed,103,0,0.0,52.4376,34,completed,30,34,26.07
19,8,{},False,34,50,7.45,completed,36,19,0.0,23.8339,15,completed,232,34,7.45
18,7,{},False,35,55,5.51,completed,2,18,0.0,25.8931,17,completed,143,35,5.51
,,{},False,,91,0.0,released,5,36,4.08,0.0,0,pending,165,36,4.08
36,15,{15: 4.08},False,,91,0.0,assigned,5,36,4.08,0.0,0,assigned,165,36,4.08
,,{},False,,79,0.0,released,118,37,7.16,0.0,0,pending,51,37,7.16
,,{},False,,110,0.0,released,87,37,3.51,0.0,0,pending,233,37,3.51
37,16,{16: 7.16},False,,79,0.0,assigned,118,37,7.16,0.0,0,assigned,51,37,7.16
