assigned_task,battery,event_type,node,status,target_station,task_load,time,total_distance,total_score,vehicle_id
30,120.0,dispatch,0,moving_to_task,,26.07,0,0.0,0.0,0
30,118.5,step,0,moving_to_task,,26.07,0,1.5,0.0,0
,120.0,step,0,idle,,0.0,0,0.0,0.0,1
,120.0,step,0,idle,,0.0,0,0.0,0.0,2
,120.0,step,0,idle,,0.0,0,0.0,0.0,3
,120.0,step,0,idle,,0.0,0,0.0,0.0,4
,120.0,step,0,idle,,0.0,0,0.0,0.0,5
,120.0,step,0,idle,,0.0,0,0.0,0.0,6
,120.0,step,0,idle,,0.0,0,0.0,0.0,7
,120.0,step,0,idle,,0.0,0,0.0,0.0,8
,120.0,step,0,idle,,0.0,0,0.0,0.0,9
,120.0,step,0,idle,,0.0,0,0.0,0.0,10
,120.0,step,0,idle,,0.0,0,0.0,0.0,11
,120.0,step,0,idle,,0.0,0,0.0,0.0,12
,120.0,step,0,idle,,0.0,0,0.0,0.0,13
,120.0,step,0,idle,,0.0,0,0.0,0.0,14
,120.0,step,0,idle,,0.0,0,0.0,0.0,15
,120.0,step,0,idle,,0.0,0,0.0,0.0,16
,120.0,step,0,idle,,0.0,0,0.0,0.0,17
,120.0,step,0,idle,,0.0,0,0.0,0.0,18
,120.0,step,0,idle,,0.0,0,0.0,0.0,19
30,117.0,step,94,moving_to_task,,26.07,1,3.0,0.0,0
,120.0,step,0,idle,,0.0,1,0.0,0.0,1
,120.0,step,0,idle,,0.0,1,0.0,0.0,2
,120.0,step,0,idle,,0.0,1,0.0,0.0,3
,120.0,step,0,idle,,0.0,1,0.0,0.0,4
,120.0,step,0,idle,,0.0,1,0.0,0.0,5
,120.0,step,0,idle,,0.0,1,0.0,0.0,6
,120.0,step,0,idle,,0.0,1,0.0,0.0,7
,120.0,step,0,idle,,0.0,1,0.0,0.0,8
,120.0,step,0,idle,,0.0,1,0.0,0.0,9
,120.0,step,0,idle,,0.0,1,0.0,0.0,10
,120.0,step,0,idle,,0.0,1,0.0,0.0,11
,120.0,step,0,idle,,0.0,1,0.0,0.0,12
,120.0,step,0,idle,,0.0,1,0.0,0.0,13
,120.0,step,0,idle,,0.0,1,0.0,0.0,14
,120.0,step,0,idle,,0.0,1,0.0,0.0,15
,120.0,step,0,idle,,0.0,1,0.0,0.0,16
,120.0,step,0,idle,,0.0,1,0.0,0.0,17
,120.0,step,0,idle,,0.0,1,0.0,0.0,18
,120.0,step,0,idle,,0.0,1,0.0,0.0,19
30,115.5,step,94,moving_to_task,,26.07,2,4.5,0.0,0
,120.0,step,0,idle,,0.0,2,0.0,0.0,1
,120.0,step,0,idle,,0.0,2,0.0,0.0,2
,120.0,step,0,idle,,0.0,2,0.0,0.0,3
,120.0,step,0,idle,,0.0,2,0.0,0.0,4
,120.0,step,0,idle,,0.0,2,0.0,0.0,5
,120.0,step,0,idle,,0.0,2,0.0,0.0,6
,120.0,step,0,idle,,0.0,2,0.0,0.0,7
,120.0,step,0,idle,,0.0,2,0.0,0.0,8
,120.0,step,0,idle,,0.0,2,0.0,0.0,9
,120.0,step,0,idle,,0.0,2,0.0,0.0,10
,120.0,step,0,idle,,0.0,2,0.0,0.0,11
,120.0,step,0,idle,,0.0,2,0.0,0.0,12
,120.0,step,0,idle,,0.0,2,0.0,0.0,13
,120.0,step,0,idle,,0.0,2,0.0,0.0,14
,120.0,step,0,idle,,0.0,2,0.0,0.0,15
,120.0,step,0,idle,,0.0,2,0.0,0.0,16
,120.0,step,0,idle,,0.0,2,0.0,0.0,17
,120.0,step,0,idle,,0.0,2,0.0,0.0,18
,120.0,step,0,idle,,0.0,2,0.0,0.0,19
109,120.0,dispatch,0,moving_to_task,,16.95,3,0.0,0.0,1
30,114.0,step,94,moving_to_task,,26.07,3,6.0,0.0,0
109,118.5,step,0,moving_to_task,,16.95,3,1.5,0.0,1
,120.0,step,0,idle,,0.0,3,0.0,0.0,2
,120.0,step,0,idle,,0.0,3,0.0,0.0,3
,120.0,step,0,idle,,0.0,3,0.0,0.0,4
,120.0,step,0,idle,,0.0,3,0.0,0.0,5
,120.0,step,0,idle,,0.0,3,0.0,0.0,6
,120.0,step,0,idle,,0.0,3,0.0,0.0,7
,120.0,step,0,idle,,0.0,3,0.0,0.0,8
,120.0,step,0,idle,,0.0,3,0.0,0.0,9
,120.0,step,0,idle,,0.0,3,0.0,0.0,10
,120.0,step,0,idle,,0.0,3,0.0,0.0,11
,120.0,step,0,idle,,0.0,3,0.0,0.0,12
,120.0,step,0,idle,,0.0,3,0.0,0.0,13
,120.0,step,0,idle,,0.0,3,0.0,0.0,14
,120.0,step,0,idle,,0.0,3,0.0,0.0,15
,120.0,step,0,idle,,0.0,3,0.0,0.0,16
,120.0,step,0,idle,,0.0,3,0.0,0.0,17
,120.0,step,0,idle,,0.0,3,0.0,0.0,18
,120.0,step,0,idle,,0.0,3,0.0,0.0,19
30,112.5,step,56,moving_to_task,,26.07,4,7.5,0.0,0
109,117.0,step,0,moving_to_task,,16.95,4,3.0,0.0,1
,120.0,step,0,idle,,0.0,4,0.0,0.0,2
,120.0,step,0,idle,,0.0,4,0.0,0.0,3
,120.0,step,0,idle,,0.0,4,0.0,0.0,4
,120.0,step,0,idle,,0.0,4,0.0,0.0,5
,120.0,step,0,idle,,0.0,4,0.0,0.0,6
,120.0,step,0,idle,,0.0,4,0.0,0.0,7
,120.0,step,0,idle,,0.0,4,0.0,0.0,8
,120.0,step,0,idle,,0.0,4,0.0,0.0,9
,120.0,step,0,idle,,0.0,4,0.0,0.0,10
,120.0,step,0,idle,,0.0,4,0.0,0.0,11
,120.0,step,0,idle,,0.0,4,0.0,0.0,12
,120.0,step,0,idle,,0.0,4,0.0,0.0,13
,120.0,step,0,idle,,0.0,4,0.0,0.0,14
,120.0,step,0,idle,,0.0,4,0.0,0.0,15
,120.0,step,0,idle,,0.0,4,0.0,0.0,16
,120.0,step,0,idle,,0.0,4,0.0,0.0,17
,120.0,step,0,idle,,0.0,4,0.0,0.0,18
,120.0,step,0,idle,,0.0,4,0.0,0.0,19
197,120.0,dispatch,0,moving_to_task,,8.5,5,0.0,0.0,2
30,111.0,step,56,moving_to_task,,26.07,5,9.0,0.0,0
109,115.5,step,0,moving_to_task,,16.95,5,4.5,0.0,1
197,118.5,step,0,moving_to_task,,8.5,5,1.5,0.0,2
,120.0,step,0,idle,,0.0,5,0.0,0.0,3
,120.0,step,0,idle,,0.0,5,0.0,0.0,4
,120.0,step,0,idle,,0.0,5,0.0,0.0,5
,120.0,step,0,idle,,0.0,5,0.0,0.0,6
,120.0,step,0,idle,,0.0,5,0.0,0.0,7
,120.0,step,0,idle,,0.0,5,0.0,0.0,8
,120.0,step,0,idle,,0.0,5,0.0,0.0,9
,120.0,step,0,idle,,0.0,5,0.0,0.0,10
,120.0,step,0,idle,,0.0,5,0.0,0.0,11
,120.0,step,0,idle,,0.0,5,0.0,0.0,12
,120.0,step,0,idle,,0.0,5,0.0,0.0,13
,120.0,step,0,idle,,0.0,5,0.0,0.0,14
,120.0,step,0,idle,,0.0,5,0.0,0.0,15
,120.0,step,0,idle,,0.0,5,0.0,0.0,16
,120.0,step,0,idle,,0.0,5,0.0,0.0,17
,120.0,step,0,idle,,0.0,5,0.0,0.0,18
,120.0,step,0,idle,,0.0,5,0.0,0.0,19
30,109.5,step,56,moving_to_task,,26.07,6,10.5,0.0,0
109,114.0,step,0,moving_to_task,,16.95,6,6.0,0.0,1
197,117.0,step,0,moving_to_task,,8.5,6,3.0,0.0,2
,120.0,step,0,idle,,0.0,6,0.0,0.0,3
,120.0,step,0,idle,,0.0,6,0.0,0.0,4
,120.0,step,0,idle,,0.0,6,0.0,0.0,5
,120.0,step,0,idle,,0.0,6,0.0,0.0,6
,120.0,step,0,idle,,0.0,6,0.0,0.0,7
,120.0,step,0,idle,,0.0,6,0.0,0.0,8
,120.0,step,0,idle,,0.0,6,0.0,0.0,9
,120.0,step,0,idle,,0.0,6,0.0,0.0,10
,120.0,step,0,idle,,0.0,6,0.0,0.0,11
,120.0,step,0,idle,,0.0,6,0.0,0.0,12
,120.0,step,0,idle,,0.0,6,0.0,0.0,13
,120.0,step,0,idle,,0.0,6,0.0,0.0,14
,120.0,step,0,idle,,0.0,6,0.0,0.0,15
,120.0,step,0,idle,,0.0,6,0.0,0.0,16
,120.0,step,0,idle,,0.0,6,0.0,0.0,17
,120.0,step,0,idle,,0.0,6,0.0,0.0,18
,120.0,step,0,idle,,0.0,6,0.0,0.0,19
67,120.0,dispatch,0,moving_to_task,,20.21,7,0.0,0.0,3
30,108.0,step,47,moving_to_task,,26.07,7,12.0,0.0,0
109,112.5,step,48,moving_to_task,,16.95,7,7.5,0.0,1
197,115.5,step,0,moving_to_task,,8.5,7,4.5,0.0,2
67,118.5,step,0,moving_to_task,,20.21,7,1.5,0.0,3
,120.0,step,0,idle,,0.0,7,0.0,0.0,4
,120.0,step,0,idle,,0.0,7,0.0,0.0,5
,120.0,step,0,idle,,0.0,7,0.0,0.0,6
,120.0,step,0,idle,,0.0,7,0.0,0.0,7
,120.0,step,0,idle,,0.0,7,0.0,0.0,8
,120.0,step,0,idle,,0.0,7,0.0,0.0,9
,120.0,step,0,idle,,0.0,7,0.0,0.0,10
,120.0,step,0,idle,,0.0,7,0.0,0.0,11
,120.0,step,0,idle,,0.0,7,0.0,0.0,12
,120.0,step,0,idle,,0.0,7,0.0,0.0,13
,120.0,step,0,idle,,0.0,7,0.0,0.0,14
,120.0,step,0,idle,,0.0,7,0.0,0.0,15
,120.0,step,0,idle,,0.0,7,0.0,0.0,16
,120.0,step,0,idle,,0.0,7,0.0,0.0,17
,120.0,step,0,idle,,0.0,7,0.0,0.0,18
,120.0,step,0,idle,,0.0,7,0.0,0.0,19
30,106.5,step,47,moving_to_task,,26.07,8,13.5,0.0,0
109,111.0,step,48,moving_to_task,,16.95,8,9.0,0.0,1
197,114.0,step,0,moving_to_task,,8.5,8,6.0,0.0,2
67,117.0,step,0,moving_to_task,,20.21,8,3.0,0.0,3
,120.0,step,0,idle,,0.0,8,0.0,0.0,4
,120.0,step,0,idle,,0.0,8,0.0,0.0,5
,120.0,step,0,idle,,0.0,8,0.0,0.0,6
,120.0,step,0,idle,,0.0,8,0.0,0.0,7
,120.0,step,0,idle,,0.0,8,0.0,0.0,8
,120.0,step,0,idle,,0.0,8,0.0,0.0,9
,120.0,step,0,idle,,0.0,8,0.0,0.0,10
,120.0,step,0,idle,,0.0,8,0.0,0.0,11
,120.0,step,0,idle,,0.0,8,0.0,0.0,12
,120.0,step,0,idle,,0.0,8,0.0,0.0,13
,120.0,step,0,idle,,0.0,8,0.0,0.0,14
,120.0,step,0,idle,,0.0,8,0.0,0.0,15
,120.0,step,0,idle,,0.0,8,0.0,0.0,16
,120.0,step,0,idle,,0.0,8,0.0,0.0,17
,120.0,step,0,idle,,0.0,8,0.0,0.0,18
,120.0,step,0,idle,,0.0,8,0.0,0.0,19
30,105.0,step,47,moving_to_task,,26.07,9,15.0,0.0,0
109,109.5,step,48,moving_to_task,,16.95,9,10.5,0.0,1
197,112.5,step,48,moving_to_task,,8.5,9,7.5,0.0,2
67,115.5,step,0,moving_to_task,,20.21,9,4.5,0.0,3
,120.0,step,0,idle,,0.0,9,0.0,0.0,4
,120.0,step,0,idle,,0.0,9,0.0,0.0,5
,120.0,step,0,idle,,0.0,9,0.0,0.0,6
,120.0,step,0,idle,,0.0,9,0.0,0.0,7
,120.0,step,0,idle,,0.0,9,0.0,0.0,8
,120.0,step,0,idle,,0.0,9,0.0,0.0,9
,120.0,step,0,idle,,0.0,9,0.0,0.0,10
,120.0,step,0,idle,,0.0,9,0.0,0.0,11
,120.0,step,0,idle,,0.0,9,0.0,0.0,12
,120.0,step,0,idle,,0.0,9,0.0,0.0,13
,120.0,step,0,idle,,0.0,9,0.0,0.0,14
,120.0,step,0,idle,,0.0,9,0.0,0.0,15
,120.0,step,0,idle,,0.0,9,0.0,0.0,16
,120.0,step,0,idle,,0.0,9,0.0,0.0,17
,120.0,step,0,idle,,0.0,9,0.0,0.0,18
,120.0,step,0,idle,,0.0,9,0.0,0.0,19
30,103.5,step,37,moving_to_task,,26.07,10,16.5,0.0,0
109,108.0,step,48,moving_to_task,,16.95,10,12.0,0.0,1
197,111.0,step,48,moving_to_task,,8.5,10,9.0,0.0,2
67,114.0,step,0,moving_to_task,,20.21,10,6.0,0.0,3
,120.0,step,0,idle,,0.0,10,0.0,0.0,4
