charging_slots,node_id,occupied_piles,queue_length,station_id,time,waiting_vehicles
"[None, None, None]",121,0,0,0,0,[]
"[None, None, None]",122,0,0,1,0,[]
"[None, None, None]",123,0,0,2,0,[]
"[None, None, None]",124,0,0,3,0,[]
"[None, None, None]",125,0,0,4,0,[]
"[None, None, None]",126,0,0,5,0,[]
"[None, None, None]",127,0,0,6,0,[]
"[None, None, None]",128,0,0,7,0,[]
"[None, None, None]",121,0,0,0,1,[]
"[None, None, None]",122,0,0,1,1,[]
"[None, None, None]",123,0,0,2,1,[]
"[None, None, None]",124,0,0,3,1,[]
"[None, None, None]",125,0,0,4,1,[]
"[None, None, None]",126,0,0,5,1,[]
"[None, None, None]",127,0,0,6,1,[]
"[None, None, None]",128,0,0,7,1,[]
"[None, None, None]",121,0,0,0,2,[]
"[None, None, None]",122,0,0,1,2,[]
"[None, None, None]",123,0,0,2,2,[]
"[None, None, None]",124,0,0,3,2,[]
"[None, None, None]",125,0,0,4,2,[]
"[None, None, None]",126,0,0,5,2,[]
"[None, None, None]",127,0,0,6,2,[]
"[None, None, None]",128,0,0,7,2,[]
"[None, None, None]",121,0,0,0,3,[]
"[None, None, None]",122,0,0,1,3,[]
"[None, None, None]",123,0,0,2,3,[]
"[None, None, None]",124,0,0,3,3,[]
"[None, None, None]",125,0,0,4,3,[]
"[None, None, None]",126,0,0,5,3,[]
"[None, None, None]",127,0,0,6,3,[]
"[None, None, None]",128,0,0,7,3,[]
"[None, None, None]",121,0,0,0,4,[]
"[None, None, None]",122,0,0,1,4,[]
"[None, None, None]",123,0,0,2,4,[]
"[None, None, None]",124,0,0,3,4,[]
"[None, None, None]",125,0,0,4,4,[]
"[None, None, None]",126,0,0,5,4,[]
"[None, None, None]",127,0,0,6,4,[]
"[None, None, None]",128,0,0,7,4,[]
"[None, None, None]",121,0,0,0,5,[]
"[None, None, None]",122,0,0,1,5,[]
"[None, None, None]",123,0,0,2,5,[]
"[None, None, None]",124,0,0,3,5,[]
"[None, None, None]",125,0,0,4,5,[]
"[None, None, None]",126,0,0,5,5,[]
"[None, None, None]",127,0,0,6,5,[]
"[None, None, None]",128,0,0,7,5,[]
"[None, None, None]",121,0,0,0,6,[]
"[None, None, None]",122,0,0,1,6,[]
"[None, None, None]",123,0,0,2,6,[]
"[None, None, None]",124,0,0,3,6,[]
"[None, None, None]",125,0,0,4,6,[]
"[None, None, None]",126,0,0,5,6,[]
"[None, None, None]",127,0,0,6,6,[]
"[None, None, None]",128,0,0,7,6,[]
"[None, None, None]",121,0,0,0,7,[]
"[None, None, None]",122,0,0,1,7,[]
"[None, None, None]",123,0,0,2,7,[]
"[None, None, None]",124,0,0,3,7,[]
"[None, None, None]",125,0,0,4,7,[]
"[None, None, None]",126,0,0,5,7,[]
"[None, None, None]",127,0,0,6,7,[]
"[None, None, None]",128,0,0,7,7,[]
"[None, None, None]",121,0,0,0,8,[]
"[None, None, None]",122,0,0,1,8,[]
"[None, None, None]",123,0,0,2,8,[]
"[None, None, None]",124,0,0,3,8,[]
"[None, None, None]",125,0,0,4,8,[]
"[None, None, None]",126,0,0,5,8,[]
"[None, None, None]",127,0,0,6,8,[]
"[None, None, None]",128,0,0,7,8,[]
"[None, None, None]",121,0,0,0,9,[]
"[None, None, None]",122,0,0,1,9,[]
"[None, None, None]",123,0,0,2,9,[]
"[None, None, None]",124,0,0,3,9,[]
"[None, None, None]",125,0,0,4,9,[]
"[None, None, None]",126,0,0,5,9,[]
"[None, None, None]",127,0,0,6,9,[]
"[None, None, None]",128,0,0,7,9,[]
"[None, None, None]",121,0,0,0,10,[]
"[None, None, None]",122,0,0,1,10,[]
"[None, None, None]",123,0,0,2,10,[]
"[None, None, None]",124,0,0,3,10,[]
"[None, None, None]",125,0,0,4,10,[]
"[None, None, None]",126,0,0,5,10,[]
"[None, None, None]",127,0,0,6,10,[]
"[None, None, None]",128,0,0,7,10,[]
"[None, None, None]",121,0,0,0,11,[]
"[None, None, None]",122,0,0,1,11,[]
"[None, None, None]",123,0,0,2,11,[]
"[None, None, None]",124,0,0,3,11,[]
"[None, None, None]",125,0,0,4,11,[]
"[None, None, None]",126,0,0,5,11,[]
"[None, None, None]",127,0,0,6,11,[]
"[None, None, None]",128,0,0,7,11,[]
"[None, None, None]",121,0,0,0,12,[]
"[None, None, None]",122,0,0,1,12,[]
"[None, None, None]",123,0,0,2,12,[]
"[None, None, None]",124,0,0,3,12,[]
"[None, None, None]",125,0,0,4,12,[]
"[None, None, None]",126,0,0,5,12,[]
"[None, None, None]",127,0,0,6,12,[]
"[None, None, None]",128,0,0,7,12,[]
"[None, None, None]",121,0,0,0,13,[]
"[None, None, None]",122,0,0,1,13,[]
"[None, None, None]",123,0,0,2,13,[]
"[None, None, None]",124,0,0,3,13,[]
"[None, None, None]",125,0,0,4,13,[]
"[None, None, None]",126,0,0,5,13,[]
"[None, None, None]",127,0,0,6,13,[]
"[None, None, None]",128,0,0,7,13,[]
"[None, None, None]",121,0,0,0,14,[]
"[None, None, None]",122,0,0,1,14,[]
"[None, None, None]",123,0,0,2,14,[]
"[None, None, None]",124,0,0,3,14,[]
"[None, None, None]",125,0,0,4,14,[]
"[None, None, None]",126,0,0,5,14,[]
"[None, None, None]",127,0,0,6,14,[]
"[None, None, None]",128,0,0,7,14,[]
"[None, None, None]",121,0,0,0,15,[]
"[None, None, None]",122,0,0,1,15,[]
"[None, None, None]",123,0,0,2,15,[]
"[None, None, None]",124,0,0,3,15,[]
"[None, None, None]",125,0,0,4,15,[]
"[None, None, None]",126,0,0,5,15,[]
"[None, None, None]",127,0,0,6,15,[]
"[None, None, None]",128,0,0,7,15,[]
"[None, None, None]",121,0,0,0,16,[]
"[None, None, None]",122,0,0,1,16,[]
"[None, None, None]",123,0,0,2,16,[]
"[None, None, None]",124,0,0,3,16,[]
"[None, None, None]",125,0,0,4,16,[]
"[None, None, None]",126,0,0,5,16,[]
"[None, None, None]",127,0,0,6,16,[]
"[None, None, None]",128,0,0,7,16,[]
"[None, None, None]",121,0,0,0,17,[]
"[None, None, None]",122,0,0,1,17,[]
"[None, None, None]",123,0,0,2,17,[]
"[None, None, None]",124,0,0,3,17,[]
"[None, None, None]",125,0,0,4,17,[]
"[None, None, None]",126,0,0,5,17,[]
"[None, None, None]",127,0,0,6,17,[]
"[None, None, None]",128,0,0,7,17,[]
"[None, None, None]",121,0,0,0,18,[]
"[None, None, None]",122,0,0,1,18,[]
"[None, None, None]",123,0,0,2,18,[]
"[None, None, None]",124,0,0,3,18,[]
"[None, None, None]",125,0,0,4,18,[]
"[None, None, None]",126,0,0,5,18,[]
"[None, None, None]",127,0,0,6,18,[]
"[None, None, None]",128,0,0,7,18,[]
"[None, None, None]",121,0,0,0,19,[]
"[None, None, None]",122,0,0,1,19,[]
"[None, None, None]",123,0,0,2,19,[]
"[None, None, None]",124,0,0,3,19,[]
"[None, None, None]",125,0,0,4,19,[]
"[None, None, None]",126,0,0,5,19,[]
"[None, None, None]",127,0,0,6,19,[]
"[None, None, None]",128,0,0,7,19,[]
"[None, None, None]",121,0,0,0,20,[]
"[None, None, None]",122,0,0,1,20,[]
"[None, None, None]",123,0,0,2,20,[]
"[None, None, None]",124,0,0,3,20,[]
"[None, None, None]",125,0,0,4,20,[]
"[None, None, None]",126,0,0,5,20,[]
"[None, None, None]",127,0,0,6,20,[]
"[None, None, None]",128,0,0,7,20,[]
"[None, None, None]",121,0,0,0,21,[]
"[None, None, None]",122,0,0,1,21,[]
"[None, None, None]",123,0,0,2,21,[]
"[None, None, None]",124,0,0,3,21,[]
"[None, None, None]",125,0,0,4,21,[]
"[None, None, None]",126,0,0,5,21,[]
"[None, None, None]",127,0,0,6,21,[]
"[None, None, None]",128,0,0,7,21,[]
"[None, None, None]",121,0,0,0,22,[]
"[None, None, None]",122,0,0,1,22,[]
"[None, None, None]",123,0,0,2,22,[]
"[None, None, None]",124,0,0,3,22,[]
"[None, None, None]",125,0,0,4,22,[]
"[None, None, None]",126,0,0,5,22,[]
"[None, None, None]",127,0,0,6,22,[]
"[None, None, None]",128,0,0,7,22,[]
"[None, None, None]",121,0,0,0,23,[]
"[None, None, None]",122,0,0,1,23,[]
"[None, None, None]",123,0,0,2,23,[]
"[None, None, None]",124,0,0,3,23,[]
"[None, None, None]",125,0,0,4,23,[]
"[None, None, None]",126,0,0,5,23,[]
"[None, None, None]",127,0,0,6,23,[]
"[None, None, None]",128,0,0,7,23,[]
"[None, None, None]",121,0,0,0,24,[]
"[None, None, None]",122,0,0,1,24,[]
"[None, None, None]",123,0,0,2,24,[]
"[None, None, None]",124,0,0,3,24,[]
"[None, None, None]",125,0,0,4,24,[]
"[None, None, None]",126,0,0,5,24,[]
"[None, None, None]",127,0,0,6,24,[]
"[None, None, None]",128,0,0,7,24,[]
"[None, None, None]",121,0,0,0,25,[]
"[None, None, None]",122,0,0,1,25,[]
"[None, None, None]",123,0,0,2,25,[]
"[None, None, None]",124,0,0,3,25,[]
"[None, None, None]",125,0,0,4,25,[]
"[None, None, None]",126,0,0,5,25,[]
"[None, None, None]",127,0,0,6,25,[]
"[None, None, None]",128,0,0,7,25,[]
"[None, None, None]",121,0,0,0,26,[]
"[None, None, None]",122,0,0,1,26,[]
"[None, None, None]",123,0,0,2,26,[]
"[None, None, None]",124,0,0,3,26,[]
"[None, None, None]",125,0,0,4,26,[]
"[None, None, None]",126,0,0,5,26,[]
"[None, None, None]",127,0,0,6,26,[]
"[None, None, None]",128,0,0,7,26,[]
"[None, None, None]",121,0,0,0,27,[]
"[None, None, None]",122,0,0,1,27,[]
"[None, None, None]",123,0,0,2,27,[]
"[None, None, None]",124,0,0,3,27,[]
"[None, None, None]",125,0,0,4,27,[]
"[None, None, None]",126,0,0,5,27,[]
"[None, None, None]",127,0,0,6,27,[]
"[None, None, None]",128,0,0,7,27,[]
"[None, None, None]",121,0,0,0,28,[]
"[None, None, None]",122,0,0,1,28,[]
"[None, None, None]",123,0,0,2,28,[]
"[None, None, None]",124,0,0,3,28,[]
"[None, None, None]",125,0,0,4,28,[]
"[None, None, None]",126,0,0,5,28,[]
"[None, None, None]",127,0,0,6,28,[]
"[None, None, None]",128,0,0,7,28,[]
"[None, None, None]",121,0,0,0,29,[]
"[None, None, None]",122,0,0,1,29,[]
"[None, None, None]",123,0,0,2,29,[]
"[None, None, None]",124,0,0,3,29,[]
"[None, None, None]",125,0,0,4,29,[]
"[None, None, None]",126,0,0,5,29,[]
"[None, None, None]",127,0,0,6,29,[]
"[None, None, None]",128,0,0,7,29,[]
"[None, None, None]",121,0,0,0,30,[]
"[None, None, None]",122,0,0,1,30,[]
"[None, None, None]",123,0,0,2,30,[]
"[None, None, None]",124,0,0,3,30,[]
"[None, None, None]",125,0,0,4,30,[]
"[None, None, None]",126,0,0,5,30,[]
"[None, None, None]",127,0,0,6,30,[]
"[None, None, None]",128,0,0,7,30,[]
"[None, None, None]",121,0,0,0,31,[]
"[None, None, None]",122,0,0,1,31,[]
"[None, None, None]",123,0,0,2,31,[]
"[None, None, None]",124,0,0,3,31,[]
"[None, None, None]",125,0,0,4,31,[]
