avg_battery,charging_queue_total,completed_tasks,expired_tasks,pending_tasks,time,total_score
119.925,0,0,0,1,0,0.0
119.775,0,0,0,1,1,0.0
119.625,0,0,0,1,2,0.0
119.475,0,0,0,1,3,0.0
119.325,0,0,0,1,4,0.0
119.1,0,0,0,1,5,0.0
118.725,0,0,0,1,6,0.0
118.35,0,0,0,1,7,0.0
117.9,0,0,0,1,8,0.0
117.45,0,0,0,1,9,0.0
117.0,0,0,0,1,10,0.0
116.475,0,0,0,1,11,0.0
115.95,0,0,0,1,12,0.0
115.425,0,0,0,1,13,0.0
114.825,0,0,0,1,14,0.0
114.225,0,0,0,1,15,0.0
113.6672,0,1,0,1,16,83.1067
113.0524,0,2,0,2,17,164.2293
112.3774,0,2,0,2,18,164.2293
111.7024,0,2,0,2,19,164.2293
110.9524,0,2,0,2,20,164.2293
110.2222,0,3,0,2,21,247.0665
109.4722,0,3,0,2,22,247.0665
108.7222,0,3,0,2,23,247.0665
107.9722,0,3,0,2,24,247.0665
107.1472,0,3,0,3,25,247.0665
106.3322,0,4,0,3,26,324.2864
105.5072,0,4,0,3,27,324.2864
104.6822,0,4,0,3,28,324.2864
103.7822,0,4,0,3,29,324.2864
102.8072,0,4,0,3,30,324.2864
101.7572,0,4,0,3,31,324.2864
100.6166,0,5,0,3,32,410.3922
99.4166,0,5,1,3,33,350.3922
98.2166,0,5,2,2,34,290.3922
97.0768,0,5,2,2,35,290.3922
95.8768,0,5,2,2,36,290.3922
94.6966,0,5,2,2,37,290.3922
93.5067,0,6,2,2,38,366.5138
92.3067,0,6,2,2,39,366.5138
91.0317,0,6,3,2,40,306.5138
89.6817,0,6,3,2,41,306.5138
88.3266,0,7,3,2,42,369.0521
86.8266,0,7,3,2,43,369.0521
85.3266,0,7,3,4,44,369.0521
83.9499,0,9,3,4,45,544.3265
82.5249,0,9,3,4,46,544.3265
81.1099,0,9,3,4,47,544.3265
79.8343,0,9,4,4,48,484.3265
78.4746,0,11,4,5,49,620.6106
77.0496,0,11,4,6,50,620.6106
75.6246,0,11,4,8,51,620.6106
74.1996,0,11,4,9,52,620.6106
72.7746,0,11,4,9,53,620.6106
71.3496,0,11,4,9,54,620.6106
69.9246,0,11,4,11,55,620.6106
68.4996,0,11,4,11,56,620.6106
67.0974,0,12,4,11,57,693.584
65.7538,0,13,4,12,58,769.2486
64.4493,0,14,4,12,59,839.0508
63.1845,0,14,4,13,60,839.0508
62.0566,0,15,4,13,61,913.716
60.8566,0,15,4,13,62,913.716
59.7024,0,16,4,13,63,988.0656
58.4915,0,17,4,14,64,1052.7356
57.2578,0,18,4,15,65,1112.7309
56.0146,0,18,4,15,66,1112.7309
54.869,0,20,4,15,67,1243.3833
53.669,0,20,4,15,68,1243.3833
52.536,0,21,4,15,69,1320.6032
51.336,0,21,4,14,70,1320.6032
50.136,0,21,4,14,71,1320.6032
48.936,0,21,5,14,72,1260.6032
47.736,0,21,5,15,73,1260.6032
46.536,0,21,5,15,74,1260.6032
45.336,0,21,5,16,75,1260.6032
44.1962,0,22,6,18,76,1270.7258
43.0661,0,22,6,18,77,1270.7258
41.9121,0,23,6,18,78,1330.7771
40.6596,0,23,6,18,79,1330.7771
39.7952,0,24,6,18,80,1412.7047
38.9589,0,24,6,21,81,1412.7047
38.1567,0,24,6,21,82,1412.7047
37.4067,0,24,6,21,83,1412.7047
36.6567,0,24,7,20,84,1352.7047
35.9788,0,24,7,20,85,1352.7047
35.2288,0,24,7,20,86,1352.7047
34.5807,0,24,7,20,87,1352.7047
34.289,0,24,7,22,88,1352.7047
34.0115,0,24,7,23,89,1352.7047
34.1518,1,25,7,23,90,1426.3982
34.3018,1,25,7,23,91,1426.3982
34.3993,2,25,7,23,92,1426.3982
34.5493,2,25,8,24,93,1366.3982
34.7078,2,25,8,24,94,1366.3982
34.9328,1,25,8,24,95,1366.3982
35.0828,1,25,8,23,96,1366.3982
35.2575,1,25,8,24,97,1366.3982
35.3146,1,26,8,25,98,1445.2828
35.3597,3,26,8,25,99,1445.2828
35.5097,3,26,8,26,100,1445.2828
35.5847,3,26,8,26,101,1445.2828
35.6765,3,27,8,26,102,1533.9893
35.6765,3,27,8,27,103,1533.9893
35.8795,4,28,9,27,104,1571.7818
36.0295,3,28,9,28,105,1571.7818
36.1271,4,28,9,28,106,1571.7818
36.402,3,29,9,28,107,1664.8885
36.552,3,29,11,25,108,1544.8885
36.702,3,29,11,25,109,1544.8885
36.852,3,29,11,25,110,1544.8885
37.0651,3,30,12,24,111,1570.0525
37.2901,3,30,12,24,112,1570.0525
37.5263,2,31,12,24,113,1651.9801
37.6519,2,31,14,22,114,1531.9801
37.7953,3,31,15,21,115,1471.9801
37.9679,4,31,16,21,116,1411.9801
38.2154,5,31,18,19,117,1291.9801
38.5724,5,31,18,20,118,1291.9801
38.8724,5,31,18,21,119,1291.9801
39.1724,5,31,18,22,120,1291.9801
39.4724,4,31,19,21,121,1231.9801
39.6974,4,31,19,20,122,1231.9801
39.9224,4,31,19,20,123,1231.9801
40.1474,4,31,20,20,124,1171.9801
40.4028,3,31,21,19,125,1111.9801
40.6237,3,32,22,19,126,1137.6307
40.7737,3,32,25,19,127,957.6307
40.95,2,33,25,19,128,1047.1471
41.025,2,33,26,18,129,987.1471
41.1357,2,33,28,17,130,867.1471
41.2857,2,33,28,17,131,867.1471
41.51,2,33,28,17,132,867.1471
41.66,2,33,29,18,133,807.1471
41.874,2,33,29,18,134,807.1471
42.399,2,33,29,18,135,807.1471
42.924,2,33,29,19,136,807.1471
43.449,2,33,29,19,137,807.1471
44.0004,1,33,30,18,138,747.1471
44.4695,1,34,30,17,139,832.1769
45.0129,2,34,30,18,140,832.1769
45.7369,2,36,30,19,141,973.5649
46.3369,1,36,30,19,142,973.5649
46.8619,1,36,30,18,143,973.5649
47.3869,1,36,30,18,144,973.5649
47.9119,1,36,30,19,145,973.5649
48.4369,0,36,30,19,146,973.5649
48.8869,0,36,30,19,147,973.5649
49.3369,0,36,30,19,148,973.5649
49.7929,0,37,31,18,149,974.2369
50.2429,0,37,32,18,150,914.2369
50.7558,0,37,32,18,151,914.2369
51.2808,0,37,34,18,152,794.2369
51.4308,0,37,34,19,153,794.2369
51.591,0,38,34,20,154,870.3585
51.4082,0,38,34,19,155,870.3585
51.1937,0,38,35,17,156,810.3585
50.9687,0,38,36,15,157,750.3585
50.7603,0,39,36,15,158,817.3574
50.5353,0,39,36,15,159,817.3574
49.9353,0,39,36,14,160,817.3574
49.3353,0,39,36,17,161,817.3574
48.7353,0,39,36,18,162,817.3574
48.1353,0,39,36,18,163,817.3574
47.2353,0,39,38,17,164,697.3574
46.3353,0,39,38,17,165,697.3574
45.4353,0,39,38,17,166,697.3574
44.5969,0,39,39,16,167,637.3574
43.6843,0,39,39,16,168,637.3574
42.7318,0,39,40,15,169,577.3574
42.1544,0,39,40,15,170,577.3574
41.9294,0,39,40,16,171,577.3574
41.7044,0,39,41,17,172,517.3574
41.4794,0,39,41,18,173,517.3574
41.2976,0,41,41,18,174,653.9767
40.9976,0,41,43,18,175,533.9767
40.7078,0,41,44,17,176,473.9767
40.4828,0,41,45,17,177,413.9767
40.2578,0,41,47,16,178,293.9767
40.0328,0,41,47,16,179,293.9767
39.8078,0,41,47,17,180,293.9767
39.5828,0,41,47,17,181,293.9767
39.4083,0,41,47,18,182,293.9767
39.1833,0,41,47,19,183,293.9767
39.0367,0,43,48,20,184,404.4959
38.9168,0,44,48,21,185,468.3572
38.3918,0,44,48,21,186,468.3572
37.8969,0,44,49,20,187,408.3572
37.4226,0,45,49,20,188,471.5648
36.5451,0,45,49,21,189,471.5648
36.0201,0,45,49,21,190,471.5648
35.4951,0,45,49,22,191,471.5648
34.9701,0,45,49,22,192,471.5648
34.4451,0,45,49,23,193,471.5648
33.9201,0,45,50,24,194,411.5648
33.4457,0,45,50,24,195,411.5648
32.9207,0,45,51,23,196,351.5648
32.4182,0,45,51,23,197,351.5648
32.314,0,45,51,23,198,351.5648
32.2746,0,46,51,23,199,433.4923
32.2618,0,48,51,23,200,576.0384
32.2129,0,48,51,23,201,576.0384
32.1379,0,48,53,21,202,456.0384
32.0854,0,48,53,21,203,456.0384
32.4527,0,48,53,22,204,456.0384
32.4527,0,48,53,23,205,456.0384
32.4527,0,48,53,24,206,456.0384
32.4527,0,48,53,24,207,456.0384
32.4527,0,48,53,26,208,456.0384
32.5225,0,48,53,27,209,456.0384
32.5225,0,48,53,27,210,456.0384
32.5451,0,48,53,27,211,456.0384
32.9201,0,48,54,27,212,396.0384
33.2951,0,48,54,27,213,396.0384
33.7002,0,48,55,26,214,336.0384
33.7002,0,48,55,25,215,336.0384
33.7583,0,48,55,25,216,336.0384
34.2439,0,48,56,28,217,276.0384
34.6939,0,48,57,27,218,216.0384
35.1439,0,48,59,25,219,96.0384
35.5964,0,49,59,25,220,178.668
36.1106,0,49,59,26,221,178.668
36.2135,0,50,59,26,222,241.8032
36.311,0,50,62,23,223,61.8032
36.761,0,50,62,24,224,61.8032
37.211,0,50,62,27,225,61.8032
37.661,0,50,62,29,226,61.8032
38.111,0,50,63,30,227,1.8032
38.561,0,50,63,30,228,1.8032
39.011,0,50,64,29,229,-58.1968
39.0885,0,51,64,28,230,18.4328
39.1635,0,51,64,28,231,18.4328
39.2385,0,51,64,30,232,18.4328
39.3135,0,51,65,30,233,-41.5672
39.3885,0,51,65,30,234,-41.5672
39.0885,0,51,65,29,235,-41.5672
38.9072,0,51,65,29,236,-41.5672
38.6822,0,51,65,29,237,-41.5672
38.4572,0,51,65,29,238,-41.5672
38.2645,0,52,66,28,239,-27.5795
38.0395,0,52,66,28,240,-27.5795
37.4395,0,52,67,26,241,-87.5795
36.8395,0,52,68,25,242,-147.5795
36.2395,0,52,69,26,243,-207.5795
35.6395,0,52,69,26,244,-207.5795
35.0395,0,52,70,25,245,-267.5795
34.5128,0,52,71,25,246,-327.5795
33.9128,0,52,71,24,247,-327.5795
33.3872,0,52,71,25,248,-327.5795
32.7872,0,52,72,25,249,-387.5795
32.1872,0,52,72,27,250,-387.5795
31.656,0,53,72,28,251,-319.5538
31.056,0,53,72,28,252,-319.5538
30.4613,0,54,72,29,253,-238.9903
29.8613,0,54,73,28,254,-298.9903
29.3028,0,54,73,28,255,-298.9903
28.7028,0,54,74,28,256,-358.9903
28.1253,0,54,74,30,257,-358.9903
27.9003,0,54,75,30,258,-418.9903
27.6753,0,54,76,31,259,-478.9903
27.4503,0,54,77,30,260,-538.9903
27.2576,0,54,77,31,261,-538.9903
27.1076,0,54,77,31,262,-538.9903
26.9576,0,54,77,31,263,-538.9903
26.8076,0,54,78,30,264,-598.9903
26.7251,0,55,79,29,265,-595.6804
26.619,0,55,80,29,266,-655.6804
26.544,0,55,80,31,267,-655.6804
26.469,0,55,81,31,268,-715.6804
26.394,0,55,82,31,269,-775.6804
26.3243,0,55,82,31,270,-775.6804
26.313,0,56,83,31,271,-764.8158
26.2605,0,56,84,30,272,-824.8158
26.5605,0,56,84,31,273,-824.8158
26.8605,0,56,84,31,274,-824.8158
26.7855,0,56,84,30,275,-824.8158
26.7105,0,56,85,30,276,-884.8158
26.6355,0,56,85,30,277,-884.8158
26.5605,0,56,85,30,278,-884.8158
26.5173,0,56,86,29,279,-944.8158
26.5819,0,56,87,28,280,-1004.8158
26.6569,0,56,87,28,281,-1004.8158
26.7319,0,56,88,27,282,-1064.8158
26.8069,0,56,89,26,283,-1124.8158
26.8819,0,56,90,26,284,-1184.8158
26.9569,0,56,90,26,285,-1184.8158
27.0319,0,56,90,27,286,-1184.8158
27.1069,0,56,90,28,287,-1184.8158
27.1819,0,56,90,28,288,-1184.8158
27.2569,0,56,91,28,289,-1244.8158
26.9569,0,56,91,27,290,-1244.8158
26.5819,0,56,91,28,291,-1244.8158
26.2069,0,56,91,29,292,-1244.8158
25.8319,0,56,91,29,293,-1244.8158
25.5266,0,56,91,29,294,-1244.8158
25.2266,0,56,91,29,295,-1244.8158
24.9492,0,56,92,29,296,-1304.8158
25.089,0,58,92,30,297,-1137.0372
25.164,0,58,93,29,298,-1197.0372
25.239,0,58,94,31,299,-1257.0372
25.314,0,58,94,31,300,-1257.0372
25.389,0,58,95,30,301,-1317.0372
25.464,0,58,96,29,302,-1377.0372
25.539,0,58,96,29,303,-1377.0372
25.5896,0,58,98,28,304,-1497.0372
25.5146,0,58,98,28,305,-1497.0372
25.4621,0,58,99,28,306,-1557.0372
25.7621,0,58,99,29,307,-1557.0372
26.0621,0,58,99,30,308,-1557.0372
26.3727,0,59,100,29,309,-1522.2105
26.6727,0,59,101,29,310,-1582.2105
26.9727,0,60,102,28,311,-1550.8101
26.8977,0,60,102,29,312,-1550.8101
