avg_battery,charging_queue_total,completed_tasks,expired_tasks,pending_tasks,time,total_score
119.925,0,0,0,0,0,0.0
119.85,0,0,0,0,1,0.0
119.7,0,0,0,0,2,0.0
119.325,0,0,0,0,3,0.0
118.875,0,0,0,0,4,0.0
118.425,0,0,0,0,5,0.0
117.9693,0,1,0,0,6,98.3667
117.4443,0,1,0,0,7,98.3667
116.8443,0,1,0,0,8,98.3667
116.2443,0,1,0,0,9,98.3667
115.6231,0,2,0,0,10,195.4482
114.9424,0,2,0,0,11,195.4482
114.2674,0,2,0,0,12,195.4482
113.5174,0,2,0,0,13,195.4482
112.7674,0,2,0,0,14,195.4482
111.9424,0,2,0,0,15,195.4482
111.1174,0,2,0,0,16,195.4482
110.2924,0,2,0,0,17,195.4482
109.5211,0,2,0,0,18,195.4482
108.7711,0,2,0,0,19,195.4482
108.0211,0,2,0,0,20,195.4482
107.1961,0,2,0,0,21,195.4482
106.3711,0,2,0,0,22,195.4482
105.4711,0,2,0,0,23,195.4482
104.5711,0,2,0,0,24,195.4482
103.6711,0,2,0,0,25,195.4482
102.7711,0,2,0,1,26,195.4482
101.9001,0,3,0,1,27,290.3936
101.022,0,4,0,1,28,380.0923
100.047,0,4,0,1,29,380.0923
98.922,0,4,0,1,30,380.0923
97.8613,0,6,0,1,31,557.9958
96.7971,0,7,0,1,32,646.6995
95.6721,0,7,0,1,33,646.6995
94.5471,0,7,0,1,34,646.6995
93.4003,0,10,0,1,35,912.5224
92.2003,0,10,0,1,36,912.5224
90.9253,0,10,0,1,37,912.5224
89.5003,0,10,0,1,38,912.5224
88.0753,0,10,0,1,39,912.5224
86.6487,0,11,0,1,40,1000.3375
85.2817,0,12,0,2,41,1098.6439
83.9097,0,14,0,3,42,1291.7142
82.4097,0,14,0,3,43,1291.7142
80.9097,0,14,0,4,44,1291.7142
79.4097,0,14,0,5,45,1291.7142
78.037,0,15,0,6,46,1377.6586
76.5611,0,15,1,6,47,1357.6586
75.0611,0,15,1,6,48,1357.6586
73.5611,0,15,1,7,49,1357.6586
72.0611,0,15,1,7,50,1357.6586
70.5611,0,15,1,7,51,1357.6586
69.1292,0,16,1,7,52,1446.001
67.6292,0,16,1,7,53,1446.001
66.1511,0,16,1,7,54,1446.001
64.7683,0,18,1,8,55,1630.7967
63.3433,0,18,1,7,56,1630.7967
61.9183,0,18,1,8,57,1630.7967
60.5159,0,18,2,8,58,1610.7967
59.1812,0,19,2,9,59,1700.8605
57.8929,0,20,2,9,60,1788.3669
56.6036,0,20,2,9,61,1788.3669
55.3831,0,21,2,9,62,1878.6402
54.1635,0,21,2,11,63,1878.6402
52.9635,0,21,2,12,64,1878.6402
51.8101,0,22,2,12,65,1974.3966
50.6851,0,22,2,12,66,1974.3966
49.5906,0,23,2,12,67,2063.3395
48.6192,0,24,2,12,68,2154.705
47.5692,0,24,2,12,69,2154.705
46.5192,0,24,2,12,70,2154.705
45.5136,0,24,2,13,71,2154.705
44.5268,0,25,2,13,72,2245.0246
43.4768,0,25,2,13,73,2245.0246
42.4268,0,25,2,14,74,2245.0246
41.3768,0,25,2,14,75,2245.0246
40.3575,0,25,2,14,76,2245.0246
39.4046,0,26,2,15,77,2341.5361
38.4296,0,26,2,15,78,2341.5361
37.3796,0,26,2,16,79,2341.5361
36.2546,0,26,2,16,80,2341.5361
35.1668,0,26,2,16,81,2341.5361
34.2978,0,27,2,16,82,2430.894
33.8308,0,28,2,19,83,2529.2004
33.3925,0,29,2,19,84,2624.3725
32.8675,0,29,2,19,85,2624.3725
32.2896,0,29,2,20,86,2624.3725
31.8191,0,29,2,21,87,2624.3725
31.4271,0,29,2,21,88,2624.3725
30.9771,0,29,2,21,89,2624.3725
30.561,0,29,2,21,90,2624.3725
30.186,0,29,3,21,91,2604.3725
29.8917,0,30,3,22,92,2699.2652
29.5917,0,30,3,22,93,2699.2652
29.2917,0,30,3,23,94,2699.2652
29.0222,0,30,3,24,95,2699.2652
28.7222,0,30,3,25,96,2699.2652
28.5812,0,31,3,25,97,2794.1864
28.4312,0,31,3,25,98,2794.1864
28.2812,0,31,3,26,99,2794.1864
28.0562,0,31,4,25,100,2774.1864
27.5298,0,32,4,25,101,2868.1682
26.9402,0,32,6,23,102,2828.1682
26.7479,0,33,6,24,103,2925.137
26.5229,0,33,6,26,104,2925.137
26.317,0,33,6,26,105,2925.137
26.167,0,33,6,27,106,2925.137
26.017,0,33,7,28,107,2905.137
25.867,0,33,8,27,108,2885.137
25.6752,0,33,9,26,109,2865.137
25.5803,0,34,9,26,110,2960.8934
25.538,0,34,10,25,111,2940.8934
25.538,0,34,11,24,112,2920.8934
25.538,0,34,12,24,113,2900.8934
25.538,0,34,12,26,114,2900.8934
25.538,0,34,12,27,115,2900.8934
25.538,0,34,13,26,116,2880.8934
25.6116,0,34,13,27,117,2880.8934
25.7538,0,35,16,25,118,2914.0395
25.8288,0,35,16,25,119,2914.0395
25.9038,0,35,16,26,120,2914.0395
25.6635,0,36,17,24,121,2988.9849
25.4385,0,36,17,24,122,2988.9849
25.2135,0,36,17,25,123,2988.9849
24.9135,0,36,17,25,124,2988.9849
24.6135,0,36,17,26,125,2988.9849
24.3135,0,36,18,25,126,2968.9849
24.0135,0,36,18,25,127,2968.9849
23.7135,0,36,19,25,128,2948.9849
23.4884,0,37,19,25,129,3045.7787
23.1884,0,37,20,24,130,3025.7787
22.8884,0,37,20,24,131,3025.7787
22.6105,0,38,20,26,132,3122.2902
22.2355,0,38,20,26,133,3122.2902
21.8895,0,38,20,26,134,3122.2902
21.5895,0,38,20,26,135,3122.2902
21.2895,0,38,20,27,136,3122.2902
20.9145,0,38,21,26,137,3102.2902
20.5395,0,38,21,26,138,3102.2902
20.1645,0,38,21,26,139,3102.2902
19.7895,0,38,23,25,140,3062.2902
19.4365,0,38,24,24,141,3042.2902
19.1365,0,38,24,25,142,3042.2902
18.8365,0,38,24,26,143,3042.2902
18.5365,0,38,25,28,144,3022.2902
