event_type,node,reason,station_id,task_id,time,vehicle_id
task_released,,,,274,0,
task_released,,,,277,0,
task_released,,,,41,1,
task_released,,,,152,5,
task_released,,,,30,6,
task_released,,,,234,6,
task_released,,,,187,8,
task_released,,,,85,11,
task_released,,,,150,14,
task_completed,,,,41,16,
task_released,,,,119,17,
task_released,,,,145,17,
task_completed,,,,274,17,
task_released,,,,125,20,
task_completed,,,,234,21,
task_released,,,,52,25,
task_released,,,,278,25,
task_completed,,,,30,26,
task_released,,,,255,29,
task_released,,,,196,30,
task_released,,,,42,31,
task_released,,,,38,32,
task_released,,,,211,32,
vehicle_became_idle,,reach_depot,,,32,1
task_completed,,,,125,32,
task_released,,,,89,33,
vehicle_became_idle,,reach_depot,,,35,0
task_released,,,,208,36,
vehicle_became_idle,,reach_depot,,,37,3
task_released,,,,158,38,
task_completed,,,,119,38,
task_released,,,,62,40,
task_released,,,,73,41,
task_released,,,,250,42,
task_completed,,,,187,42,
task_released,,,,83,43,
task_released,,,,86,44,
task_released,,,,231,44,
vehicle_became_idle,,reach_depot,,,45,9
task_completed,,,,52,45,
task_completed,,,,83,45,
vehicle_became_idle,,reach_depot,,,47,4
task_released,,,,284,48,
vehicle_became_idle,,reach_depot,,,48,19
task_released,,,,9,49,
task_released,,,,155,49,
task_released,,,,175,49,
task_completed,,,,85,49,
task_completed,,,,196,49,
task_released,,,,252,50,
task_released,,,,98,51,
task_released,,,,247,51,
task_released,,,,127,52,
task_released,,,,100,55,
task_released,,,,141,55,
task_completed,,,,89,57,
task_released,,,,95,58,
task_completed,,,,208,58,
vehicle_became_idle,,reach_depot,,,58,2
vehicle_became_idle,,reach_depot,,,59,7
task_completed,,,,211,59,
task_released,,,,183,60,
vehicle_became_idle,,reach_depot,,,60,8
task_completed,,,,158,61,
task_completed,,,,62,63,
task_released,,,,88,64,
task_released,,,,222,64,
task_completed,,,,38,64,
task_released,,,,151,65,
task_completed,,,,255,65,
vehicle_became_idle,,reach_depot,,,66,10
task_completed,,,,42,67,
task_completed,,,,73,67,
task_completed,,,,175,69,
vehicle_became_idle,,reach_depot,,,69,12
task_released,,,,262,72,
task_released,,,,121,73,
task_released,,,,15,75,
task_released,,,,21,76,
task_released,,,,97,76,
task_released,,,,229,76,
task_completed,,,,9,76,
vehicle_became_idle,,reach_depot,,,77,5
task_completed,,,,250,78,
task_released,,,,47,79,
vehicle_reached_station,,,5,,79,5
task_completed,,,,88,80,
task_released,,,,96,81,
task_released,,,,201,81,
task_released,,,,259,81,
vehicle_became_idle,,reach_depot,,,81,0
charge_unreachable,0,,,,81,0
charge_unreachable,0,,,,82,0
vehicle_became_idle,,reach_depot,,,82,16
charge_unreachable,0,,,,83,0
charge_unreachable,0,,,,84,0
charge_unreachable,0,,,,85,0
vehicle_became_idle,,reach_depot,,,85,1
charge_unreachable,0,,,,86,0
charge_unreachable,0,,,,87,0
vehicle_reached_station,,,5,,87,1
vehicle_became_idle,,reach_depot,,,87,3
vehicle_became_idle,,reach_depot,,,87,14
task_released,,,,44,88,
task_released,,,,144,88,
charge_unreachable,0,,,,88,0
vehicle_became_idle,,reach_depot,,,88,6
task_released,,,,27,89,
charge_unreachable,0,,,,89,0
vehicle_reached_station,,,5,,89,3
charge_unreachable,0,,,,90,0
vehicle_reached_station,,,5,,90,6
vehicle_became_idle,,reach_depot,,,90,9
task_completed,,,,247,90,
charge_unreachable,0,,,,91,0
task_released,,,,212,92,
