assigned_time,assigned_vehicle,assigned_vehicles,collaborative,complete_time,deadline,delivered_weight,event_type,origin_node,release_time,remaining_weight,service_distance,service_duration,status,task_id,time,weight
,,{},False,,48,0.0,released,48,0,17.36,0.0,0,pending,238,0,17.36
0,0,{0: 17.36},False,,48,0.0,assigned,48,0,17.36,0.0,0,assigned,238,0,17.36
,,{},False,,44,0.0,released,27,1,27.61,0.0,0,pending,114,1,27.61
1,1,{1: 27.61},False,,44,0.0,assigned,27,1,27.61,0.0,0,assigned,114,1,27.61
,,{},False,,43,0.0,released,59,6,6.1,0.0,0,pending,60,6,6.1
6,2,{2: 6.1},False,,43,0.0,assigned,59,6,6.1,0.0,0,assigned,60,6,6.1
,,{},False,,60,0.0,released,79,7,8.34,0.0,0,pending,90,7,8.34
,,{},False,,44,0.0,released,16,7,14.48,0.0,0,pending,162,7,14.48
7,3,{3: 14.48},False,,44,0.0,assigned,16,7,14.48,0.0,0,assigned,162,7,14.48
7,4,{4: 8.34},False,,60,0.0,assigned,79,7,8.34,0.0,0,assigned,90,7,8.34
,,{},False,,89,0.0,released,88,10,25.94,0.0,0,pending,260,10,25.94
10,5,{5: 25.94},False,,89,0.0,assigned,88,10,25.94,0.0,0,assigned,260,10,25.94
,,{},False,,42,0.0,released,54,11,16.06,0.0,0,pending,91,11,16.06
11,6,{6: 16.06},False,,42,0.0,assigned,54,11,16.06,0.0,0,assigned,91,11,16.06
,,{},False,,52,0.0,released,117,12,13.32,0.0,0,pending,15,12,13.32
12,7,{7: 13.32},False,,52,0.0,assigned,117,12,13.32,0.0,0,assigned,15,12,13.32
,,{},False,,62,0.0,released,104,13,23.64,0.0,0,pending,38,13,23.64
13,8,{8: 23.64},False,,62,0.0,assigned,104,13,23.64,0.0,0,assigned,38,13,23.64
,,{},False,,43,0.0,released,104,15,28.24,0.0,0,pending,45,15,28.24
,,{},False,,60,0.0,released,54,15,13.74,0.0,0,pending,98,15,13.74
15,9,{9: 28.24},False,,43,0.0,assigned,104,15,28.24,0.0,0,assigned,45,15,28.24
15,10,{10: 13.74},False,,60,0.0,assigned,54,15,13.74,0.0,0,assigned,98,15,13.74
,,{},False,,66,0.0,released,54,16,5.06,0.0,0,pending,154,16,5.06
16,11,{11: 5.06},False,,66,0.0,assigned,54,16,5.06,0.0,0,assigned,154,16,5.06
,,{},False,,82,0.0,released,79,18,18.31,0.0,0,pending,74,18,18.31
18,12,{12: 18.31},False,,82,0.0,assigned,79,18,18.31,0.0,0,assigned,74,18,18.31
,,{},False,,73,0.0,released,24,19,25.09,0.0,0,pending,266,19,25.09
19,13,{13: 25.09},False,,73,0.0,assigned,24,19,25.09,0.0,0,assigned,266,19,25.09
1,1,{},False,19,44,27.61,completed,27,1,0.0,28.1967,18,completed,114,19,27.61
,,{},False,,91,0.0,released,91,20,11.99,0.0,0,pending,4,20,11.99
20,14,{14: 11.99},False,,91,0.0,assigned,91,20,11.99,0.0,0,assigned,4,20,11.99
0,0,{},False,22,48,17.36,completed,48,0,0.0,34.107,22,completed,238,22,17.36
,,{},False,,92,0.0,released,76,24,12.88,0.0,0,pending,75,24,12.88
24,15,{15: 12.88},False,,92,0.0,assigned,76,24,12.88,0.0,0,assigned,75,24,12.88
7,3,{},False,24,44,14.48,completed,16,7,0.0,26.7421,17,completed,162,24,14.48
,,{},False,,99,0.0,released,64,25,21.75,0.0,0,pending,136,25,21.75
,,{},False,,98,0.0,released,25,26,22.11,0.0,0,pending,261,26,22.11
26,16,{16: 22.11},False,,98,0.0,assigned,25,26,22.11,0.0,0,assigned,261,26,22.11
,,{},False,,56,0.0,released,59,28,23.51,0.0,0,pending,296,28,23.51
28,17,{17: 23.51},False,,56,0.0,assigned,59,28,23.51,0.0,0,assigned,296,28,23.51
,,{},False,,70,0.0,released,41,29,14.79,0.0,0,pending,92,29,14.79
29,18,{18: 14.79},False,,70,0.0,assigned,41,29,14.79,0.0,0,assigned,92,29,14.79
,,{},False,,75,0.0,released,41,30,3.66,0.0,0,pending,104,30,3.66
,,{},False,,96,0.0,released,40,30,16.33,0.0,0,pending,160,30,16.33
30,19,{19: 3.66},False,,75,0.0,assigned,41,30,3.66,0.0,0,assigned,104,30,3.66
,,{},False,,98,0.0,released,92,32,4.43,0.0,0,pending,184,32,4.43
,,{},False,,65,0.0,released,78,35,6.48,0.0,0,pending,76,35,6.48
,,{},False,,75,0.0,released,118,36,1.31,0.0,0,pending,115,36,1.31
6,2,{},False,37,43,6.1,completed,59,6,0.0,46.922,31,completed,60,37,6.1
12,7,{},False,37,52,13.32,completed,117,12,0.0,38.585,25,completed,15,37,13.32
7,4,{},False,38,60,8.34,completed,79,7,0.0,46.9734,31,completed,90,38,8.34
,,{},False,,119,0.0,released,43,40,5.19,0.0,0,pending,271,40,5.19
40,1,{1: 5.19},False,,119,0.0,assigned,43,40,5.19,0.0,0,assigned,271,40,5.19
10,5,{},False,40,89,25.94,completed,88,10,0.0,46.2715,30,completed,260,40,25.94
,,{},False,,116,0.0,released,90,41,10.44,0.0,0,pending,213,41,10.44
,,{},False,,75,0.0,released,3,42,16.65,0.0,0,pending,19,42,16.65
,,{},False,,90,0.0,released,4,42,4.0,0.0,0,pending,86,42,4.0
24,15,{},False,42,92,12.88,completed,76,24,0.0,28.2898,18,completed,75,42,12.88
,,{},False,,89,0.0,released,78,43,29.27,0.0,0,pending,107,43,29.27
11,6,{},False,43,42,0.0,expired,54,11,16.06,0.0,0,expired,91,43,16.06
43,3,{3: 10.44},False,,116,0.0,assigned,90,41,10.44,0.0,0,assigned,213,43,10.44
15,9,{},False,44,43,0.0,expired,104,15,28.24,0.0,0,expired,45,44,28.24
,,{},False,,73,0.0,released,34,45,7.11,0.0,0,pending,168,45,7.11
,,{},False,,75,0.0,released,100,45,12.82,0.0,0,pending,200,45,12.82
46,0,{0: 7.11},False,,73,0.0,assigned,34,45,7.11,0.0,0,assigned,168,46,7.11
20,14,{},False,46,91,11.99,completed,91,20,0.0,39.8811,26,completed,4,46,11.99
,,{},False,,78,0.0,released,41,47,3.36,0.0,0,pending,265,47,3.36
13,8,{},False,47,62,23.64,completed,104,13,0.0,52.3427,34,completed,38,47,23.64
29,18,{},False,47,70,14.79,completed,41,29,0.0,28.3819,18,completed,92,47,14.79
,,{},False,,118,0.0,released,55,48,12.84,0.0,0,pending,171,48,12.84
30,19,{},False,48,75,3.66,completed,41,30,0.0,28.3819,18,completed,104,48,3.66
,,{},False,,103,0.0,released,27,49,4.9,0.0,0,pending,132,49,4.9
18,12,{},False,49,82,18.31,completed,79,18,0.0,46.9734,31,completed,74,49,18.31
,,{},False,,120,0.0,released,8,51,15.26,0.0,0,pending,69,51,15.26
,,{},False,,101,0.0,released,89,52,15.68,0.0,0,pending,191,52,15.68
,,{},False,,98,0.0,released,52,53,2.62,0.0,0,pending,299,53,2.62
15,10,{},False,54,60,13.74,completed,54,15,0.0,59.888,39,completed,98,54,13.74
,,{},False,,121,0.0,released,19,55,15.67,0.0,0,pending,250,55,15.67
16,11,{},False,55,66,5.06,completed,54,16,0.0,59.888,39,completed,154,55,5.06
,,{},False,,84,0.0,released,83,56,4.48,0.0,0,pending,85,56,4.48
40,1,{},False,56,119,5.19,completed,43,40,0.0,25.2641,16,completed,271,56,5.19
43,3,{},False,56,116,10.44,completed,90,41,0.0,19.7675,13,completed,213,56,10.44
,,{},False,,95,0.0,released,35,57,7.43,0.0,0,pending,35,57,7.43
28,17,{},False,57,56,0.0,expired,59,28,23.51,0.0,0,expired,296,57,23.51
19,13,{},False,58,73,25.09,completed,24,19,0.0,58.6175,39,completed,266,58,25.09
46,0,{},False,60,73,7.11,completed,34,45,0.0,22.3415,14,completed,168,60,7.11
26,16,{},False,60,98,22.11,completed,25,26,0.0,52.2926,34,completed,261,60,22.11
,,{},False,,135,0.0,released,115,62,17.78,0.0,0,pending,17,62,17.78
,,{},False,,142,0.0,released,116,62,21.46,0.0,0,pending,27,62,21.46
62,15,{15: 2.62},False,,98,0.0,assigned,52,53,2.62,0.0,0,assigned,299,62,2.62
,,{},False,,103,0.0,released,14,66,29.09,0.0,0,pending,84,66,29.09
,,{},False,66,65,0.0,expired,78,35,6.48,0.0,0,expired,76,66,6.48
66,7,{7: 29.09},False,,103,0.0,assigned,14,66,29.09,0.0,0,assigned,84,66,29.09
67,18,{18: 12.82},False,,75,0.0,assigned,100,45,12.82,0.0,0,assigned,200,67,12.82
68,19,{19: 4.9},False,,103,0.0,assigned,27,49,4.9,0.0,0,assigned,132,68,4.9
,,{},False,,98,0.0,released,9,69,24.87,0.0,0,pending,284,69,24.87
62,15,{},False,69,98,2.62,completed,52,53,0.0,11.479,7,completed,299,69,2.62
,,{},False,,100,0.0,released,38,70,22.68,0.0,0,pending,51,70,22.68
,,{},False,,142,0.0,released,102,72,17.3,0.0,0,pending,53,72,17.3
,,{},False,,125,0.0,released,15,72,5.62,0.0,0,pending,281,72,5.62
,,{},False,,101,0.0,released,89,73,2.18,0.0,0,pending,270,73,2.18
,,{},False,76,75,0.0,expired,3,42,16.65,0.0,0,expired,19,76,16.65
,,{},False,76,75,0.0,expired,118,36,1.31,0.0,0,expired,115,76,1.31
67,18,{},False,76,75,0.0,expired,100,45,12.82,0.0,0,expired,200,76,12.82
66,7,{},False,78,103,29.09,completed,14,66,0.0,18.3639,12,completed,84,78,29.09
,,{},False,79,78,0.0,expired,41,47,3.36,0.0,0,expired,265,79,3.36
,,{},False,,128,0.0,released,102,80,2.82,0.0,0,pending,242,80,2.82
,,{},False,,157,0.0,released,110,83,23.9,0.0,0,pending,59,83,23.9
,,{},False,,152,0.0,released,106,83,3.79,0.0,0,pending,117,83,3.79
