avg_battery,charging_queue_total,completed_tasks,expired_tasks,pending_tasks,time,total_score
120.0,0,0,0,0,0,0.0
119.85,0,0,0,0,1,0.0
119.55,0,0,0,0,2,0.0
119.25,0,0,0,0,3,0.0
118.95,0,0,0,0,4,0.0
118.65,0,0,0,0,5,0.0
118.35,0,0,0,0,6,0.0
118.05,0,0,0,0,7,0.0
117.75,0,0,0,0,8,0.0
117.45,0,0,0,0,9,0.0
117.0,0,0,0,0,10,0.0
116.4,0,0,0,0,11,0.0
115.8,0,0,0,0,12,0.0
115.05,0,0,0,0,13,0.0
114.3303,0,1,0,0,14,84.9817
113.5803,0,1,0,0,15,84.9817
112.8303,0,1,0,0,16,84.9817
112.0803,0,1,0,0,17,84.9817
111.1803,0,1,0,0,18,84.9817
110.3331,0,2,0,0,19,174.4983
109.5433,0,3,0,0,20,254.46
108.6433,0,3,0,0,21,254.46
107.7433,0,3,0,0,22,254.46
106.6933,0,3,0,0,23,254.46
105.698,0,4,0,0,24,339.5882
104.648,0,4,0,0,25,339.5882
103.598,0,4,0,0,26,339.5882
102.548,0,4,0,0,27,339.5882
101.5283,0,4,0,0,28,339.5882
100.5311,0,4,0,0,29,339.5882
99.6311,0,4,0,0,30,339.5882
98.5811,0,4,0,0,31,339.5882
97.3811,0,4,0,0,32,339.5882
96.0024,0,5,0,0,33,422.9161
94.5024,0,5,0,0,34,422.9161
93.0024,0,5,0,1,35,422.9161
91.6342,0,6,0,1,36,497.507
90.1342,0,6,0,1,37,497.507
88.8139,0,7,0,1,38,580.8566
87.4241,0,7,0,0,39,580.8566
86.0741,0,7,0,0,40,580.8566
84.5741,0,7,0,0,41,580.8566
83.0741,0,7,0,2,42,580.8566
81.629,0,8,0,3,43,675.086
80.129,0,8,0,3,44,675.086
78.629,0,8,0,3,45,675.086
77.129,0,8,0,3,46,675.086
75.629,0,8,0,3,47,675.086
74.1839,0,8,0,3,48,675.086
72.8052,0,8,0,3,49,675.086
71.6183,0,11,0,2,50,920.3646
70.3704,0,13,0,2,51,1079.3773
68.8704,0,13,0,2,52,1079.3773
67.3704,0,13,0,2,53,1079.3773
66.035,0,14,0,3,54,1155.615
64.535,0,14,0,4,55,1155.615
63.035,0,14,0,4,56,1155.615
61.535,0,14,0,4,57,1155.615
60.035,0,14,0,4,58,1155.615
58.535,0,14,0,4,59,1155.615
57.3112,0,14,0,4,60,1155.615
55.8112,0,14,0,2,61,1155.615
54.3112,0,14,0,2,62,1155.615
52.8112,0,14,0,2,63,1155.615
51.3112,0,14,0,2,64,1155.615
49.8112,0,14,0,2,65,1155.615
48.4072,0,15,0,2,66,1237.4912
46.9072,0,15,0,2,67,1237.4912
45.549,0,16,0,2,68,1315.1422
44.049,0,16,0,2,69,1315.1422
42.7885,0,16,0,2,70,1315.1422
41.7932,0,17,0,2,71,1402.4194
40.8542,0,18,0,2,72,1486.0481
39.8567,0,19,0,2,73,1565.6629
38.8067,0,19,0,2,74,1565.6629
37.6067,0,19,0,2,75,1565.6629
36.4463,0,19,0,2,76,1565.6629
35.4083,0,19,0,2,77,1565.6629
35.1083,0,19,0,2,78,1565.6629
34.6583,0,19,0,2,79,1565.6629
34.2083,0,19,0,2,80,1565.6629
33.7583,0,19,0,2,81,1565.6629
33.3712,0,19,0,2,82,1565.6629
33.1672,0,19,0,2,83,1565.6629
33.0886,0,19,0,2,84,1565.6629
32.9386,0,19,0,2,85,1565.6629
32.6386,0,19,0,2,86,1565.6629
32.3386,0,19,0,3,87,1565.6629
32.1805,0,19,0,3,88,1565.6629
31.8925,0,19,0,4,89,1565.6629
32.3425,0,19,0,5,90,1565.6629
32.7925,0,19,0,5,91,1565.6629
33.3451,0,20,0,5,92,1650.7639
33.8071,1,20,0,5,93,1650.7639
34.4966,0,21,0,5,94,1729.5014
34.9466,0,21,0,4,95,1729.5014
35.3966,0,21,0,4,96,1729.5014
35.7086,1,21,0,4,97,1729.5014
36.1586,1,21,0,5,98,1729.5014
36.6086,1,21,0,5,99,1729.5014
37.0983,1,22,0,5,100,1813.4395
37.5483,1,22,0,6,101,1813.4395
37.9983,1,22,0,6,102,1813.4395
38.4483,1,22,0,6,103,1813.4395
38.8983,1,22,0,6,104,1813.4395
39.3483,1,22,0,6,105,1813.4395
39.8484,0,22,0,6,106,1813.4395
40.1484,0,22,0,5,107,1813.4395
40.5712,0,23,0,5,108,1901.1759
40.8712,0,23,0,5,109,1901.1759
41.1712,0,23,0,5,110,1901.1759
41.4831,1,23,1,5,111,1841.1759
41.9331,0,23,1,5,112,1841.1759
42.2331,0,23,1,4,113,1841.1759
42.6227,0,23,1,5,114,1841.1759
43.1124,0,23,1,6,115,1841.1759
43.5624,0,23,1,7,116,1841.1759
44.0124,0,23,1,7,117,1841.1759
44.4624,0,23,1,7,118,1841.1759
44.9124,0,23,1,7,119,1841.1759
45.6415,1,23,1,7,120,1841.1759
