event_type,node,reason,station_id,task_id,time,vehicle_id
task_released,,,,87,3,
task_released,,,,71,4,
task_released,,,,52,6,
task_released,,,,43,7,
task_released,,,,88,15,
task_released,,,,23,17,
task_released,,,,65,18,
task_released,,,,4,20,
task_released,,,,21,21,
task_released,,,,11,22,
task_completed,,,,43,23,
task_released,,,,66,24,
task_completed,,,,21,24,
task_completed,,,,87,25,
task_completed,,,,71,25,
task_released,,,,62,27,
vehicle_became_idle,,reach_depot,,,28,8
task_completed,,,,52,29,
task_released,,,,61,30,
task_completed,,,,88,31,
task_released,,,,7,32,
task_released,,,,59,32,
task_released,,,,58,33,
task_released,,,,19,35,
task_released,,,,67,35,
task_released,,,,70,38,
task_released,,,,76,38,
task_completed,,,,23,38,
task_completed,,,,11,39,
vehicle_became_idle,,reach_depot,,,40,3
task_released,,,,79,41,
task_completed,,,,65,42,
task_completed,,,,4,42,
task_released,,,,51,43,
task_released,,,,32,45,
task_released,,,,20,47,
vehicle_became_idle,,reach_depot,,,47,1
vehicle_became_idle,,reach_depot,,,48,0
vehicle_became_idle,,reach_depot,,,48,4
task_completed,,,,66,50,
task_released,,,,8,52,
task_released,,,,60,52,
task_completed,,,,79,52,
task_released,,,,77,53,
vehicle_became_idle,,reach_depot,,,53,2
task_released,,,,14,57,
task_completed,,,,51,57,
vehicle_became_idle,,reach_depot,,,57,9
task_completed,,,,19,60,
vehicle_became_idle,,reach_depot,,,60,5
task_completed,,,,70,62,
vehicle_became_idle,,reach_depot,,,64,3
vehicle_became_idle,,reach_depot,,,65,7
task_released,,,,85,67,
vehicle_became_idle,,reach_depot,,,67,1
vehicle_became_idle,,reach_depot,,,67,6
task_completed,,,,8,67,
task_released,,,,73,70,
task_released,,,,96,70,
task_completed,,,,61,70,
task_completed,,,,96,71,
vehicle_became_idle,,reach_depot,,,72,4
task_completed,,,,14,72,
vehicle_became_idle,,reach_depot,,,72,8
vehicle_became_idle,,reach_depot,,,73,1
task_released,,,,41,75,
task_completed,,,,77,75,
task_released,,,,22,76,
task_released,,,,72,76,
vehicle_became_idle,,reach_depot,,,76,0
task_completed,,,,41,76,
vehicle_reached_station,,,0,,77,1
vehicle_became_idle,,reach_depot,,,77,9
vehicle_became_idle,,reach_depot,,,78,4
vehicle_reached_station,,,0,,80,0
task_completed,,,,73,80,
vehicle_became_idle,,reach_depot,,,84,5
vehicle_became_idle,,reach_depot,,,86,3
charge_unreachable,0,,,,86,3
task_released,,,,94,87,
vehicle_became_idle,,reach_depot,,,87,2
charge_unreachable,0,,,,87,2
charge_unreachable,0,,,,87,3
task_released,,,,40,88,
charge_unreachable,0,,,,88,2
charge_unreachable,0,,,,88,3
vehicle_reached_station,,,0,,88,5
charge_unreachable,0,,,,89,2
charge_unreachable,0,,,,89,3
charge_unreachable,0,,,,90,2
charge_unreachable,0,,,,90,3
charge_unreachable,0,,,,91,2
charge_unreachable,0,,,,91,3
vehicle_became_idle,,reach_depot,,,91,6
task_released,,,,68,92,
charge_unreachable,0,,,,92,2
charge_unreachable,0,,,,92,3
vehicle_finished_charging,,,0,,92,1
charge_unreachable,0,,,,93,2
charge_unreachable,0,,,,93,3
charge_unreachable,0,,,,94,2
charge_unreachable,0,,,,94,3
task_released,,,,1,95,
charge_unreachable,0,,,,95,2
charge_unreachable,0,,,,95,3
vehicle_reached_station,,,0,,95,6
charge_unreachable,0,,,,96,2
charge_unreachable,0,,,,96,3
vehicle_became_idle,,reach_depot,,,97,1
charge_unreachable,0,,,,97,2
charge_unreachable,0,,,,97,3
vehicle_finished_charging,,,0,,97,0
charge_unreachable,0,,,,98,2
charge_unreachable,0,,,,98,3
charge_unreachable,0,,,,99,2
charge_unreachable,0,,,,99,3
charge_unreachable,0,,,,100,2
charge_unreachable,0,,,,100,3
charge_unreachable,0,,,,101,2
charge_unreachable,0,,,,101,3
charge_unreachable,0,,,,102,2
charge_unreachable,0,,,,102,3
charge_unreachable,0,,,,103,2
charge_unreachable,0,,,,103,3
charge_unreachable,0,,,,104,2
charge_unreachable,0,,,,104,3
vehicle_became_idle,,reach_depot,,,105,0
charge_unreachable,0,,,,105,2
charge_unreachable,0,,,,105,3
task_released,,,,42,106,
charge_unreachable,0,,,,106,2
charge_unreachable,0,,,,106,3
task_released,,,,10,107,
charge_unreachable,0,,,,107,2
charge_unreachable,0,,,,107,3
task_completed,,,,68,107,
task_released,,,,95,108,
vehicle_became_idle,,reach_depot,,,108,1
charge_unreachable,0,,,,108,2
charge_unreachable,0,,,,108,3
vehicle_finished_charging,,,0,,108,5
charge_unreachable,0,,,,109,2
charge_unreachable,0,,,,109,3
task_completed,,,,1,109,
charge_unreachable,0,,,,110,2
charge_unreachable,0,,,,110,3
charge_unreachable,0,,,,111,2
charge_unreachable,0,,,,111,3
task_released,,,,84,112,
charge_unreachable,0,,,,112,2
charge_unreachable,0,,,,112,3
task_completed,,,,10,112,
task_released,,,,31,113,
task_released,,,,75,113,
charge_unreachable,0,,,,113,2
charge_unreachable,0,,,,113,3
charge_unreachable,0,,,,114,2
charge_unreachable,0,,,,114,3
vehicle_finished_charging,,,0,,114,6
charge_unreachable,0,,,,115,2
charge_unreachable,0,,,,115,3
charge_unreachable,0,,,,116,2
charge_unreachable,0,,,,116,3
charge_unreachable,0,,,,117,2
charge_unreachable,0,,,,117,3
task_released,,,,36,118,
task_released,,,,74,118,
charge_unreachable,0,,,,118,2
charge_unreachable,0,,,,118,3
vehicle_became_idle,,reach_depot,,,118,4
charge_unreachable,0,,,,119,2
charge_unreachable,0,,,,119,3
charge_unreachable,0,,,,120,2
charge_unreachable,0,,,,120,3
task_released,,,,6,121,
task_released,,,,24,121,
charge_unreachable,0,,,,121,2
charge_unreachable,0,,,,121,3
charge_unreachable,0,,,,122,2
charge_unreachable,0,,,,122,3
vehicle_reached_station,,,0,,122,4
task_completed,,,,31,122,
charge_unreachable,0,,,,123,2
charge_unreachable,0,,,,123,3
vehicle_became_idle,,reach_depot,,,123,7
task_released,,,,63,124,
charge_unreachable,0,,,,124,2
charge_unreachable,0,,,,124,3
vehicle_became_idle,,reach_depot,,,124,8
charge_unreachable,0,,,,124,8
charge_unreachable,0,,,,125,2
charge_unreachable,0,,,,125,3
charge_unreachable,0,,,,125,8
charge_unreachable,0,,,,126,2
charge_unreachable,0,,,,126,3
charge_unreachable,0,,,,126,8
task_released,,,,35,127,
charge_unreachable,0,,,,127,2
charge_unreachable,0,,,,127,3
vehicle_reached_station,,,0,,127,7
charge_unreachable,0,,,,127,8
task_released,,,,83,128,
charge_unreachable,0,,,,128,2
charge_unreachable,0,,,,128,3
charge_unreachable,0,,,,128,8
task_released,,,,81,129,
charge_unreachable,0,,,,129,2
charge_unreachable,0,,,,129,3
charge_unreachable,0,,,,129,8
charge_unreachable,0,,,,130,2
charge_unreachable,0,,,,130,3
charge_unreachable,0,,,,130,8
charge_unreachable,0,,,,131,2
charge_unreachable,0,,,,131,3
charge_unreachable,0,,,,131,8
task_released,,,,39,132,
charge_unreachable,0,,,,132,2
charge_unreachable,0,,,,132,3
charge_unreachable,0,,,,132,8
vehicle_became_idle,,reach_depot,,,132,9
charge_unreachable,0,,,,133,2
charge_unreachable,0,,,,133,3
charge_unreachable,0,,,,133,8
charge_unreachable,0,,,,134,2
charge_unreachable,0,,,,134,3
charge_unreachable,0,,,,134,8
charge_unreachable,0,,,,135,2
charge_unreachable,0,,,,135,3
charge_unreachable,0,,,,135,8
task_completed,,,,75,136,
charge_unreachable,0,,,,136,2
charge_unreachable,0,,,,136,3
charge_unreachable,0,,,,136,8
vehicle_reached_station,,,0,,136,9
charge_unreachable,0,,,,137,2
charge_unreachable,0,,,,137,3
charge_unreachable,0,,,,137,8
charge_unreachable,0,,,,138,2
charge_unreachable,0,,,,138,3
charge_unreachable,0,,,,138,8
vehicle_finished_charging,,,0,,138,4
charge_unreachable,0,,,,139,2
charge_unreachable,0,,,,139,3
charge_unreachable,0,,,,139,8
task_released,,,,48,140,
charge_unreachable,0,,,,140,2
charge_unreachable,0,,,,140,3
charge_unreachable,0,,,,140,8
task_released,,,,50,141,
charge_unreachable,0,,,,141,2
charge_unreachable,0,,,,141,3
charge_unreachable,0,,,,141,8
charge_unreachable,0,,,,142,2
charge_unreachable,0,,,,142,3
charge_unreachable,0,,,,142,8
charge_unreachable,0,,,,143,2
charge_unreachable,0,,,,143,3
vehicle_became_idle,,reach_depot,,,143,5
charge_unreachable,0,,,,143,8
charge_unreachable,0,,,,144,2
charge_unreachable,0,,,,144,3
charge_unreachable,0,,,,144,8
vehicle_became_idle,,reach_depot,,,145,0
charge_unreachable,0,,,,145,2
charge_unreachable,0,,,,145,3
vehicle_became_idle,,reach_depot,,,145,6
charge_unreachable,0,,,,145,8
vehicle_finished_charging,,,0,,145,7
charge_unreachable,0,,,,146,2
charge_unreachable,0,,,,146,3
charge_unreachable,0,,,,146,8
charge_unreachable,0,,,,147,2
charge_unreachable,0,,,,147,3
charge_unreachable,0,,,,147,8
charge_unreachable,0,,,,148,2
charge_unreachable,0,,,,148,3
charge_unreachable,0,,,,148,8
charge_unreachable,0,,,,149,2
charge_unreachable,0,,,,149,3
charge_unreachable,0,,,,149,8
charge_unreachable,0,,,,150,2
charge_unreachable,0,,,,150,3
charge_unreachable,0,,,,150,8
task_completed,,,,39,151,
charge_unreachable,0,,,,151,2
charge_unreachable,0,,,,151,3
vehicle_became_idle,,reach_depot,,,151,6
charge_unreachable,0,,,,151,8
charge_unreachable,0,,,,152,2
charge_unreachable,0,,,,152,3
