avg_battery,charging_queue_total,completed_tasks,expired_tasks,pending_tasks,time,total_score
119.85,0,0,0,0,0,0.0
119.7,0,0,0,0,1,0.0
119.4,0,0,0,0,2,0.0
118.95,0,0,0,0,3,0.0
118.5,0,0,0,0,4,0.0
117.9,0,0,0,0,5,0.0
117.3,0,0,0,0,6,0.0
116.7,0,0,0,0,7,0.0
116.2068,0,1,0,0,8,94.5307
115.6068,0,1,0,0,9,94.5307
115.0068,0,1,0,0,10,94.5307
114.2568,0,1,0,0,11,94.5307
113.5068,0,1,0,0,12,94.5307
112.7568,0,1,0,0,13,94.5307
112.1521,0,2,0,0,14,188.5707
111.1021,0,2,0,0,15,188.5707
110.119,0,3,0,0,16,278.9664
109.0928,0,4,0,0,17,369.3622
108.1389,0,5,0,0,18,467.1455
107.0889,0,5,0,0,19,467.1455
106.0389,0,5,0,0,20,467.1455
104.8389,0,5,0,0,21,467.1455
103.7351,0,5,0,0,22,467.1455
102.6851,0,5,0,0,23,467.1455
101.6303,0,5,0,0,24,467.1455
100.6791,0,7,0,0,25,650.422
99.4791,0,7,0,0,26,650.422
98.3791,0,8,0,0,27,749.5423
97.1791,0,8,0,0,28,749.5423
96.0791,0,8,0,0,29,749.5423
95.0291,0,8,0,0,30,749.5423
94.0461,0,8,0,0,31,749.5423
92.913,0,8,0,0,32,749.5423
91.8984,0,9,0,0,33,848.3781
90.8735,0,10,0,0,34,936.61
89.7089,0,10,0,0,35,936.61
88.54,0,10,0,0,36,936.61
87.4408,0,11,0,0,37,1025.8351
85.9408,0,11,0,0,38,1025.8351
84.4408,0,11,0,2,39,1025.8351
83.0084,0,11,0,2,40,1025.8351
81.5084,0,11,0,1,41,1025.8351
80.0547,0,12,0,2,42,1122.739
78.5547,0,12,0,2,43,1122.739
77.0675,0,13,0,3,44,1216.1961
75.6743,0,14,0,3,45,1310.7268
74.2419,0,15,0,4,46,1401.1256
72.7882,0,15,0,4,47,1401.1256
71.2882,0,15,0,3,48,1401.1256
69.8184,0,16,0,3,49,1484.1006
68.386,0,17,0,3,50,1574.4994
66.886,0,17,0,3,51,1574.4994
65.4111,0,17,0,3,52,1574.4994
64.0561,0,18,0,3,53,1664.5785
62.7765,0,18,0,3,54,1664.5785
61.5765,0,18,0,2,55,1664.5785
60.3765,0,18,0,2,56,1664.5785
59.1765,0,18,0,2,57,1664.5785
57.9765,0,18,0,2,58,1664.5785
56.8793,0,19,0,2,59,1752.4924
55.6793,0,19,0,3,60,1752.4924
54.5469,0,19,0,3,61,1752.4924
53.4969,0,19,0,3,62,1752.4924
52.502,0,20,0,3,63,1842.1761
51.452,0,20,0,3,64,1842.1761
50.4696,0,20,0,3,65,1842.1761
49.4212,0,21,0,3,66,1932.944
48.2212,0,21,0,4,67,1932.944
47.0212,0,21,0,4,68,1932.944
46.113,0,22,0,4,69,2023.6913
44.913,0,22,0,3,70,2023.6913
43.713,0,22,0,3,71,2023.6913
42.513,0,22,0,3,72,2023.6913
41.313,0,22,0,3,73,2023.6913
40.113,0,22,0,3,74,2023.6913
38.9432,0,22,0,3,75,2023.6913
37.8932,0,22,0,3,76,2023.6913
36.8432,0,22,0,3,77,2023.6913
35.896,0,22,0,4,78,2023.6913
34.901,0,22,0,4,79,2023.6913
33.8526,0,22,0,4,80,2023.6913
33.0202,0,23,0,5,81,2114.0901
32.1202,0,23,0,5,82,2114.0901
31.2202,0,23,0,5,83,2114.0901
30.6262,0,24,0,5,84,2202.022
30.6262,0,24,1,4,85,2182.022
30.7162,0,25,1,4,86,2271.1996
30.7162,0,25,1,4,87,2271.1996
30.7162,0,25,1,4,88,2271.1996
30.7162,0,25,1,4,89,2271.1996
30.5662,0,25,1,5,90,2271.1996
30.4162,0,25,1,5,91,2271.1996
30.2662,0,25,1,5,92,2271.1996
30.1481,0,26,1,5,93,2362.1011
29.9981,0,26,2,4,94,2342.1011
29.6981,0,26,2,4,95,2342.1011
29.5815,0,27,2,4,96,2437.9908
29.2815,0,27,2,4,97,2437.9908
28.9815,0,27,2,4,98,2437.9908
28.6815,0,27,2,4,99,2437.9908
28.3815,0,27,2,4,100,2437.9908
27.3413,0,28,2,4,101,2533.4146
26.2913,0,28,2,5,102,2533.4146
25.554,0,28,2,5,103,2533.4146
24.654,0,28,2,5,104,2533.4146
23.754,0,28,2,5,105,2533.4146
22.854,0,28,2,5,106,2533.4146
22.017,0,29,2,5,107,2626.2923
21.1268,0,29,3,4,108,2606.2923
20.279,0,29,3,5,109,2606.2923
20.219,0,30,3,5,110,2702.0691
20.069,0,30,3,5,111,2702.0691
19.919,0,30,3,5,112,2702.0691
19.8213,0,30,3,5,113,2702.0691
20.4735,1,30,3,6,114,2702.0691
21.2235,1,30,3,7,115,2702.0691
