charging_slots,node_id,occupied_piles,queue_length,station_id,time,waiting_vehicles
"[None, None]",61,0,0,0,0,[]
"[None, None]",62,0,0,1,0,[]
"[None, None]",63,0,0,2,0,[]
"[None, None]",64,0,0,3,0,[]
"[None, None]",61,0,0,0,1,[]
"[None, None]",62,0,0,1,1,[]
"[None, None]",63,0,0,2,1,[]
"[None, None]",64,0,0,3,1,[]
"[None, None]",61,0,0,0,2,[]
"[None, None]",62,0,0,1,2,[]
"[None, None]",63,0,0,2,2,[]
"[None, None]",64,0,0,3,2,[]
"[None, None]",61,0,0,0,3,[]
"[None, None]",62,0,0,1,3,[]
"[None, None]",63,0,0,2,3,[]
"[None, None]",64,0,0,3,3,[]
"[None, None]",61,0,0,0,4,[]
"[None, None]",62,0,0,1,4,[]
"[None, None]",63,0,0,2,4,[]
"[None, None]",64,0,0,3,4,[]
"[None, None]",61,0,0,0,5,[]
"[None, None]",62,0,0,1,5,[]
"[None, None]",63,0,0,2,5,[]
"[None, None]",64,0,0,3,5,[]
"[None, None]",61,0,0,0,6,[]
"[None, None]",62,0,0,1,6,[]
"[None, None]",63,0,0,2,6,[]
"[None, None]",64,0,0,3,6,[]
"[None, None]",61,0,0,0,7,[]
"[None, None]",62,0,0,1,7,[]
"[None, None]",63,0,0,2,7,[]
"[None, None]",64,0,0,3,7,[]
"[None, None]",61,0,0,0,8,[]
"[None, None]",62,0,0,1,8,[]
"[None, None]",63,0,0,2,8,[]
"[None, None]",64,0,0,3,8,[]
"[None, None]",61,0,0,0,9,[]
"[None, None]",62,0,0,1,9,[]
"[None, None]",63,0,0,2,9,[]
"[None, None]",64,0,0,3,9,[]
"[None, None]",61,0,0,0,10,[]
"[None, None]",62,0,0,1,10,[]
"[None, None]",63,0,0,2,10,[]
"[None, None]",64,0,0,3,10,[]
"[None, None]",61,0,0,0,11,[]
"[None, None]",62,0,0,1,11,[]
"[None, None]",63,0,0,2,11,[]
"[None, None]",64,0,0,3,11,[]
"[None, None]",61,0,0,0,12,[]
"[None, None]",62,0,0,1,12,[]
"[None, None]",63,0,0,2,12,[]
"[None, None]",64,0,0,3,12,[]
"[None, None]",61,0,0,0,13,[]
"[None, None]",62,0,0,1,13,[]
"[None, None]",63,0,0,2,13,[]
"[None, None]",64,0,0,3,13,[]
"[None, None]",61,0,0,0,14,[]
"[None, None]",62,0,0,1,14,[]
"[None, None]",63,0,0,2,14,[]
"[None, None]",64,0,0,3,14,[]
"[None, None]",61,0,0,0,15,[]
"[None, None]",62,0,0,1,15,[]
"[None, None]",63,0,0,2,15,[]
"[None, None]",64,0,0,3,15,[]
"[None, None]",61,0,0,0,16,[]
"[None, None]",62,0,0,1,16,[]
"[None, None]",63,0,0,2,16,[]
"[None, None]",64,0,0,3,16,[]
"[None, None]",61,0,0,0,17,[]
"[None, None]",62,0,0,1,17,[]
"[None, None]",63,0,0,2,17,[]
"[None, None]",64,0,0,3,17,[]
"[None, None]",61,0,0,0,18,[]
"[None, None]",62,0,0,1,18,[]
"[None, None]",63,0,0,2,18,[]
"[None, None]",64,0,0,3,18,[]
"[None, None]",61,0,0,0,19,[]
"[None, None]",62,0,0,1,19,[]
"[None, None]",63,0,0,2,19,[]
"[None, None]",64,0,0,3,19,[]
"[None, None]",61,0,0,0,20,[]
"[None, None]",62,0,0,1,20,[]
"[None, None]",63,0,0,2,20,[]
"[None, None]",64,0,0,3,20,[]
"[None, None]",61,0,0,0,21,[]
"[None, None]",62,0,0,1,21,[]
"[None, None]",63,0,0,2,21,[]
"[None, None]",64,0,0,3,21,[]
"[None, None]",61,0,0,0,22,[]
"[None, None]",62,0,0,1,22,[]
"[None, None]",63,0,0,2,22,[]
"[None, None]",64,0,0,3,22,[]
"[None, None]",61,0,0,0,23,[]
"[None, None]",62,0,0,1,23,[]
"[None, None]",63,0,0,2,23,[]
"[None, None]",64,0,0,3,23,[]
"[None, None]",61,0,0,0,24,[]
"[None, None]",62,0,0,1,24,[]
"[None, None]",63,0,0,2,24,[]
"[None, None]",64,0,0,3,24,[]
"[None, None]",61,0,0,0,25,[]
"[None, None]",62,0,0,1,25,[]
"[None, None]",63,0,0,2,25,[]
"[None, None]",64,0,0,3,25,[]
"[None, None]",61,0,0,0,26,[]
"[None, None]",62,0,0,1,26,[]
"[None, None]",63,0,0,2,26,[]
"[None, None]",64,0,0,3,26,[]
"[None, None]",61,0,0,0,27,[]
"[None, None]",62,0,0,1,27,[]
"[None, None]",63,0,0,2,27,[]
"[None, None]",64,0,0,3,27,[]
"[None, None]",61,0,0,0,28,[]
"[None, None]",62,0,0,1,28,[]
"[None, None]",63,0,0,2,28,[]
"[None, None]",64,0,0,3,28,[]
"[None, None]",61,0,0,0,29,[]
"[None, None]",62,0,0,1,29,[]
"[None, None]",63,0,0,2,29,[]
"[None, None]",64,0,0,3,29,[]
"[None, None]",61,0,0,0,30,[]
"[None, None]",62,0,0,1,30,[]
"[None, None]",63,0,0,2,30,[]
"[None, None]",64,0,0,3,30,[]
"[None, None]",61,0,0,0,31,[]
"[None, None]",62,0,0,1,31,[]
"[None, None]",63,0,0,2,31,[]
"[None, None]",64,0,0,3,31,[]
"[None, None]",61,0,0,0,32,[]
"[None, None]",62,0,0,1,32,[]
"[None, None]",63,0,0,2,32,[]
"[None, None]",64,0,0,3,32,[]
"[None, None]",61,0,0,0,33,[]
"[None, None]",62,0,0,1,33,[]
"[None, None]",63,0,0,2,33,[]
"[None, None]",64,0,0,3,33,[]
"[None, None]",61,0,0,0,34,[]
"[None, None]",62,0,0,1,34,[]
"[None, None]",63,0,0,2,34,[]
"[None, None]",64,0,0,3,34,[]
"[None, None]",61,0,0,0,35,[]
"[None, None]",62,0,0,1,35,[]
"[None, None]",63,0,0,2,35,[]
"[None, None]",64,0,0,3,35,[]
"[None, None]",61,0,0,0,36,[]
"[None, None]",62,0,0,1,36,[]
"[None, None]",63,0,0,2,36,[]
