event_type,node,reason,station_id,task_id,time,vehicle_id
task_released,,,,17,0,
task_released,,,,11,2,
task_released,,,,99,3,
task_released,,,,23,5,
task_completed,,,,17,8,
task_released,,,,68,11,
task_completed,,,,23,14,
task_released,,,,61,15,
task_released,,,,67,15,
task_completed,,,,11,16,
task_released,,,,53,17,
vehicle_became_idle,,reach_depot,,,17,0
task_completed,,,,99,17,
task_completed,,,,61,18,
task_released,,,,5,21,
vehicle_became_idle,,reach_depot,,,22,5
task_released,,,,89,24,
vehicle_became_idle,,reach_depot,,,24,3
task_completed,,,,68,25,
task_completed,,,,67,25,
task_released,,,,18,26,
task_completed,,,,18,27,
vehicle_became_idle,,reach_depot,,,29,3
vehicle_became_idle,,reach_depot,,,31,1
task_released,,,,7,32,
task_released,,,,79,32,
vehicle_became_idle,,reach_depot,,,32,2
task_completed,,,,7,33,
task_completed,,,,53,34,
task_released,,,,45,35,
vehicle_became_idle,,reach_depot,,,35,1
task_released,,,,63,36,
vehicle_became_idle,,reach_depot,,,36,6
task_released,,,,46,37,
task_completed,,,,5,37,
task_released,,,,33,38,
task_released,,,,55,38,
task_released,,,,60,39,
task_released,,,,91,39,
vehicle_became_idle,,reach_depot,,,40,4
task_released,,,,13,42,
task_completed,,,,33,42,
task_released,,,,21,44,
task_completed,,,,45,44,
task_completed,,,,46,45,
task_released,,,,4,46,
task_completed,,,,79,46,
vehicle_became_idle,,reach_depot,,,47,8
task_completed,,,,89,49,
task_completed,,,,63,50,
vehicle_became_idle,,reach_depot,,,52,7
task_released,,,,41,53,
task_completed,,,,55,53,
vehicle_became_idle,,reach_depot,,,54,0
vehicle_became_idle,,reach_depot,,,54,2
vehicle_became_idle,,reach_depot,,,54,6
task_completed,,,,60,59,
task_released,,,,22,60,
vehicle_became_idle,,reach_depot,,,61,3
task_completed,,,,21,61,
vehicle_became_idle,,reach_depot,,,65,1
task_released,,,,58,66,
task_released,,,,26,67,
task_released,,,,50,67,
task_completed,,,,13,67,
vehicle_became_idle,,reach_depot,,,69,9
task_completed,,,,4,70,
vehicle_became_idle,,reach_depot,,,75,5
vehicle_became_idle,,reach_depot,,,75,8
task_released,,,,37,78,
vehicle_became_idle,,reach_depot,,,78,4
task_released,,,,6,80,
task_released,,,,96,81,
task_completed,,,,26,81,
vehicle_became_idle,,reach_depot,,,82,7
vehicle_reached_station,,,2,,84,4
vehicle_became_idle,,reach_depot,,,86,6
task_completed,,,,50,86,
task_released,,,,24,90,
task_released,,,,49,90,
vehicle_reached_station,,,2,,92,6
task_completed,,,,6,93,
task_completed,,,,58,94,
task_released,,,,3,95,
vehicle_became_idle,,reach_depot,,,96,0
charge_unreachable,0,,,,96,0
task_completed,,,,49,96,
task_released,,,,2,97,
charge_unreachable,0,,,,97,0
charge_unreachable,0,,,,98,0
charge_unreachable,0,,,,99,0
charge_unreachable,0,,,,100,0
vehicle_finished_charging,,,2,,100,4
task_released,,,,20,101,
charge_unreachable,0,,,,101,0
task_completed,,,,3,101,
task_released,,,,76,102,
charge_unreachable,0,,,,102,0
charge_unreachable,0,,,,103,0
vehicle_became_idle,,reach_depot,,,103,1
vehicle_became_idle,,reach_depot,,,103,9
task_released,,,,47,104,
charge_unreachable,0,,,,104,0
charge_unreachable,0,,,,105,0
charge_unreachable,0,,,,106,0
charge_unreachable,0,,,,107,0
vehicle_became_idle,,reach_depot,,,107,2
charge_unreachable,0,,,,107,2
task_completed,,,,2,107,
charge_unreachable,0,,,,108,0
charge_unreachable,0,,,,108,2
vehicle_became_idle,,reach_depot,,,108,3
task_released,,,,31,109,
charge_unreachable,0,,,,109,0
vehicle_reached_station,,,2,,109,1
charge_unreachable,0,,,,109,2
vehicle_finished_charging,,,2,,109,6
charge_unreachable,0,,,,110,0
charge_unreachable,0,,,,110,2
task_completed,,,,47,110,
charge_unreachable,0,,,,111,0
charge_unreachable,0,,,,111,2
charge_unreachable,0,,,,112,0
charge_unreachable,0,,,,112,2
charge_unreachable,0,,,,113,0
charge_unreachable,0,,,,113,2
vehicle_became_idle,,reach_depot,,,113,8
task_released,,,,97,114,
charge_unreachable,0,,,,114,0
charge_unreachable,0,,,,114,2
task_released,,,,94,115,
charge_unreachable,0,,,,115,0
charge_unreachable,0,,,,115,2
charge_unreachable,0,,,,116,0
charge_unreachable,0,,,,116,2
task_released,,,,14,117,
charge_unreachable,0,,,,117,0
charge_unreachable,0,,,,117,2
vehicle_became_idle,,reach_depot,,,117,7
charge_unreachable,0,,,,117,7
charge_unreachable,0,,,,118,0
charge_unreachable,0,,,,118,2
vehicle_became_idle,,reach_depot,,,118,5
charge_unreachable,0,,,,118,5
charge_unreachable,0,,,,118,7
charge_unreachable,0,,,,119,0
charge_unreachable,0,,,,119,2
task_completed,,,,96,119,
charge_unreachable,0,,,,119,5
charge_unreachable,0,,,,119,7
vehicle_reached_station,,,2,,119,8
charge_unreachable,0,,,,120,0
charge_unreachable,0,,,,120,2
charge_unreachable,0,,,,120,5
charge_unreachable,0,,,,120,7
charge_unreachable,0,,,,121,0
charge_unreachable,0,,,,121,2
charge_unreachable,0,,,,121,5
charge_unreachable,0,,,,121,7
task_released,,,,42,122,
charge_unreachable,0,,,,122,0
charge_unreachable,0,,,,122,2
task_completed,,,,14,122,
charge_unreachable,0,,,,122,5
charge_unreachable,0,,,,122,7
task_released,,,,8,123,
charge_unreachable,0,,,,123,0
charge_unreachable,0,,,,123,2
charge_unreachable,0,,,,123,5
charge_unreachable,0,,,,123,7
task_released,,,,34,124,
charge_unreachable,0,,,,124,0
charge_unreachable,0,,,,124,2
charge_unreachable,0,,,,124,5
charge_unreachable,0,,,,124,7
charge_unreachable,0,,,,125,0
charge_unreachable,0,,,,125,2
charge_unreachable,0,,,,125,5
charge_unreachable,0,,,,125,7
charge_unreachable,0,,,,126,0
charge_unreachable,0,,,,126,2
charge_unreachable,0,,,,126,5
task_completed,,,,31,126,
charge_unreachable,0,,,,126,7
task_released,,,,38,127,
charge_unreachable,0,,,,127,0
charge_unreachable,0,,,,127,2
charge_unreachable,0,,,,127,5
charge_unreachable,0,,,,127,7
vehicle_finished_charging,,,2,,127,1
charge_unreachable,0,,,,128,0
charge_unreachable,0,,,,128,2
vehicle_became_idle,,reach_depot,,,128,3
charge_unreachable,0,,,,128,3
charge_unreachable,0,,,,128,5
charge_unreachable,0,,,,128,7
charge_unreachable,0,,,,129,0
charge_unreachable,0,,,,129,2
charge_unreachable,0,,,,129,3
charge_unreachable,0,,,,129,5
charge_unreachable,0,,,,129,7
task_completed,,,,34,129,
charge_unreachable,0,,,,130,0
task_completed,,,,38,130,
charge_unreachable,0,,,,130,2
charge_unreachable,0,,,,130,3
charge_unreachable,0,,,,130,5
charge_unreachable,0,,,,130,7
task_released,,,,64,131,
charge_unreachable,0,,,,131,0
charge_unreachable,0,,,,131,2
charge_unreachable,0,,,,131,3
charge_unreachable,0,,,,131,5
charge_unreachable,0,,,,131,7
charge_unreachable,0,,,,132,0
charge_unreachable,0,,,,132,2
charge_unreachable,0,,,,132,3
charge_unreachable,0,,,,132,5
charge_unreachable,0,,,,132,7
charge_unreachable,0,,,,133,0
charge_unreachable,0,,,,133,2
charge_unreachable,0,,,,133,3
charge_unreachable,0,,,,133,5
charge_unreachable,0,,,,133,7
charge_unreachable,0,,,,134,0
vehicle_became_idle,,reach_depot,,,134,1
charge_unreachable,0,,,,134,2
charge_unreachable,0,,,,134,3
charge_unreachable,0,,,,134,5
charge_unreachable,0,,,,134,7
charge_unreachable,0,,,,135,0
charge_unreachable,0,,,,135,2
charge_unreachable,0,,,,135,3
vehicle_became_idle,,reach_depot,,,135,4
charge_unreachable,0,,,,135,5
charge_unreachable,0,,,,135,7
vehicle_became_idle,,reach_depot,,,135,9
task_released,,,,88,136,
charge_unreachable,0,,,,136,0
charge_unreachable,0,,,,136,2
charge_unreachable,0,,,,136,3
charge_unreachable,0,,,,136,5
charge_unreachable,0,,,,136,7
charge_unreachable,0,,,,137,0
charge_unreachable,0,,,,137,2
charge_unreachable,0,,,,137,3
charge_unreachable,0,,,,137,5
charge_unreachable,0,,,,137,7
