avg_battery,charging_queue_total,completed_tasks,expired_tasks,pending_tasks,time,total_score
120.0,0,0,0,0,0,0.0
120.0,0,0,0,0,1,0.0
120.0,0,0,0,0,2,0.0
120.0,0,0,0,0,3,0.0
120.0,0,0,0,0,4,0.0
120.0,0,0,0,0,5,0.0
120.0,0,0,0,0,6,0.0
119.85,0,0,0,0,7,0.0
119.55,0,0,0,0,8,0.0
119.25,0,0,0,0,9,0.0
118.95,0,0,0,0,10,0.0
118.65,0,0,0,0,11,0.0
118.35,0,0,0,0,12,0.0
118.05,0,0,0,0,13,0.0
117.75,0,0,0,0,14,0.0
117.45,0,0,0,0,15,0.0
117.0,0,0,0,0,16,0.0
116.55,0,0,0,0,17,0.0
115.95,0,0,0,0,18,0.0
115.35,0,0,0,0,19,0.0
114.75,0,0,0,0,20,0.0
113.85,0,0,0,0,21,0.0
112.95,0,0,0,0,22,0.0
112.0407,0,1,0,0,23,89.6656
110.9907,0,1,0,0,24,89.6656
109.7907,0,1,0,0,25,89.6656
108.4407,0,1,0,0,26,89.6656
106.9407,0,1,0,0,27,89.6656
105.4407,0,1,0,1,28,89.6656
103.995,0,2,0,1,29,175.743
102.495,0,2,0,2,30,175.743
101.1017,0,3,0,2,31,272.9837
99.6017,0,3,0,2,32,272.9837
98.1312,0,4,0,3,33,361.5287
96.6312,0,4,0,3,34,361.5287
95.1336,0,5,0,4,35,451.8876
93.7403,0,5,0,5,36,451.8876
92.2403,0,5,0,4,37,451.8876
90.7403,0,5,0,4,38,451.8876
89.2403,0,5,0,5,39,451.8876
88.027,0,6,0,5,40,542.8621
86.7547,0,8,0,4,41,725.1797
85.2547,0,8,0,4,42,725.1797
84.0095,0,10,0,4,43,897.9622
82.5095,0,10,0,4,44,897.9622
81.0095,0,10,0,4,45,897.9622
79.6122,0,10,0,4,46,897.9622
78.2399,0,11,0,3,47,983.7112
76.7399,0,11,0,3,48,983.7112
75.2399,0,11,0,4,49,983.7112
73.7422,0,11,0,4,50,983.7112
72.326,0,11,0,3,51,983.7112
70.826,0,11,0,1,52,983.7112
69.326,0,11,0,1,53,983.7112
67.826,0,11,0,2,54,983.7112
66.5241,0,12,0,3,55,1074.2838
65.0241,0,12,0,2,56,1074.2838
63.5241,0,12,0,2,57,1074.2838
62.0241,0,12,0,2,58,1074.2838
60.638,0,13,0,4,59,1172.1987
59.138,0,13,0,4,60,1172.1987
57.6752,0,14,0,4,61,1265.2805
56.1752,0,14,0,4,62,1265.2805
54.9298,0,15,0,4,63,1354.9461
53.557,0,15,0,3,64,1354.9461
52.182,0,15,0,2,65,1354.9461
50.9596,0,15,0,2,66,1354.9461
49.7596,0,15,0,2,67,1354.9461
48.6497,0,16,0,2,68,1452.1155
47.4497,0,16,0,2,69,1452.1155
46.5544,0,17,0,2,70,1540.4258
45.6544,0,17,0,2,71,1540.4258
44.7916,0,17,0,2,72,1540.4258
44.1578,0,18,0,2,73,1626.3826
43.5578,0,18,0,2,74,1626.3826
42.995,0,19,0,2,75,1719.4644
42.245,0,19,0,3,76,1719.4644
41.495,0,19,0,3,77,1719.4644
40.745,0,19,0,3,78,1719.4644
39.995,0,19,0,3,79,1719.4644
39.2357,0,19,0,3,80,1719.4644
38.4857,0,19,0,3,81,1719.4644
37.7357,0,19,0,3,82,1719.4644
36.8357,0,19,0,3,83,1719.4644
35.9357,0,19,0,4,84,1719.4644
35.1301,0,20,0,4,85,1816.009
34.2673,0,20,0,5,86,1816.009
33.5173,0,20,0,5,87,1816.009
32.6173,0,20,0,5,88,1816.009
31.7322,0,21,0,6,89,1907.1733
30.8322,0,21,0,6,90,1907.1733
30.0267,0,21,0,6,91,1907.1733
29.2767,0,21,0,6,92,1907.1733
28.5267,0,21,0,6,93,1907.1733
27.7767,0,21,0,6,94,1907.1733
27.0528,0,21,0,6,95,1907.1733
26.4528,0,21,0,6,96,1907.1733
25.7028,0,21,0,7,97,1907.1733
25.037,0,23,0,7,98,2090.8055
23.987,0,23,0,8,99,2090.8055
22.937,0,23,0,8,100,2090.8055
21.887,0,23,0,8,101,2090.8055
20.837,0,23,0,8,102,2090.8055
19.8271,0,23,1,7,103,2070.8055
18.9271,0,23,1,7,104,2070.8055
18.1522,0,25,1,7,105,2255.8999
17.2522,0,25,1,7,106,2255.8999
16.3522,0,25,1,8,107,2255.8999
15.5671,0,26,1,8,108,2349.315
14.7819,0,26,2,7,109,2329.315
14.0319,0,26,3,6,110,2309.315
13.2933,0,27,3,6,111,2399.7125
12.548,0,27,3,6,112,2399.7125
11.948,0,27,3,6,113,2399.7125
11.4673,0,27,3,7,114,2399.7125
11.0173,0,27,3,7,115,2399.7125
10.5673,0,27,3,7,116,2399.7125
10.1173,0,27,3,7,117,2399.7125
9.6673,0,27,3,7,118,2399.7125
9.3322,0,27,3,7,119,2399.7125
9.0322,0,27,3,7,120,2399.7125
8.7322,0,27,3,7,121,2399.7125
8.4026,0,27,3,8,122,2399.7125
8.1026,0,27,3,8,123,2399.7125
7.8026,0,27,3,8,124,2399.7125
7.5026,0,27,3,8,125,2399.7125
7.3167,0,28,3,9,126,2496.936
7.1667,0,28,3,9,127,2496.936
7.0167,0,28,3,9,128,2496.936
6.8667,0,28,3,9,129,2496.936
6.7167,0,28,3,9,130,2496.936
6.6694,0,28,5,7,131,2456.936
6.6694,0,28,5,7,132,2456.936
6.6694,0,28,5,7,133,2456.936
6.6694,0,28,5,8,134,2456.936
6.6694,0,28,5,8,135,2456.936
6.6694,0,28,5,8,136,2456.936
6.6694,0,28,5,8,137,2456.936
6.6694,0,28,5,8,138,2456.936
6.6694,0,28,5,8,139,2456.936
6.6694,0,28,5,8,140,2456.936
6.6694,0,28,5,9,141,2456.936
6.6694,0,28,5,10,142,2456.936
6.6694,0,28,5,10,143,2456.936
6.6694,0,28,5,11,144,2456.936
6.6694,0,28,7,9,145,2416.936
6.6694,0,28,7,9,146,2416.936
6.6694,0,28,7,9,147,2416.936
6.6694,0,28,7,9,148,2416.936
6.6694,0,28,7,9,149,2416.936
6.6694,0,28,7,9,150,2416.936
6.6694,0,28,7,9,151,2416.936
6.6694,0,28,7,9,152,2416.936
6.6694,0,28,7,9,153,2416.936
6.6694,0,28,7,9,154,2416.936
6.6694,0,28,7,10,155,2416.936
6.6694,0,28,7,11,156,2416.936
6.6694,0,28,7,12,157,2416.936
6.6694,0,28,7,12,158,2416.936
6.6694,0,28,7,12,159,2416.936
6.6694,0,28,8,11,160,2396.936
6.6694,0,28,8,11,161,2396.936
6.6694,0,28,8,11,162,2396.936
6.6694,0,28,8,12,163,2396.936
6.6694,0,28,9,12,164,2376.936
6.6694,0,28,9,12,165,2376.936
6.6694,0,28,10,12,166,2356.936
6.6694,0,28,10,13,167,2356.936
6.6694,0,28,10,13,168,2356.936
6.6694,0,28,10,13,169,2356.936
6.6694,0,28,10,13,170,2356.936
6.6694,0,28,10,13,171,2356.936
6.6694,0,28,10,13,172,2356.936
6.6694,0,28,10,13,173,2356.936
6.6694,0,28,10,13,174,2356.936
6.6694,0,28,10,14,175,2356.936
6.6694,0,28,11,14,176,2336.936
6.6694,0,28,11,15,177,2336.936
6.6694,0,28,11,15,178,2336.936
6.6694,0,28,11,15,179,2336.936
6.6694,0,28,11,15,180,2336.936
6.6694,0,28,11,16,181,2336.936
6.6694,0,28,11,16,182,2336.936
6.6694,0,28,12,15,183,2316.936
6.6694,0,28,12,17,184,2316.936
6.6694,0,28,12,18,185,2316.936
6.6694,0,28,12,18,186,2316.936
6.6694,0,28,12,18,187,2316.936
6.6694,0,28,12,18,188,2316.936
6.6694,0,28,13,17,189,2296.936
6.6694,0,28,13,17,190,2296.936
6.6694,0,28,13,18,191,2296.936
6.6694,0,28,13,18,192,2296.936
6.6694,0,28,13,18,193,2296.936
6.6694,0,28,14,17,194,2276.936
6.6694,0,28,14,18,195,2276.936
6.6694,0,28,14,18,196,2276.936
6.6694,0,28,16,16,197,2236.936
6.6694,0,28,16,16,198,2236.936
6.6694,0,28,17,15,199,2216.936
6.6694,0,28,17,15,200,2216.936
6.6694,0,28,17,15,201,2216.936
6.6694,0,28,17,15,202,2216.936
6.6694,0,28,17,17,203,2216.936
6.6694,0,28,18,16,204,2196.936
6.6694,0,28,18,16,205,2196.936
6.6694,0,28,18,16,206,2196.936
6.6694,0,28,18,18,207,2196.936
6.6694,0,28,18,18,208,2196.936
6.6694,0,28,19,17,209,2176.936
6.6694,0,28,19,17,210,2176.936
6.6694,0,28,19,17,211,2176.936
6.6694,0,28,22,15,212,2116.936
6.6694,0,28,22,15,213,2116.936
6.6694,0,28,22,15,214,2116.936
6.6694,0,28,23,15,215,2096.936
6.6694,0,28,23,15,216,2096.936
6.6694,0,28,23,16,217,2096.936
6.6694,0,28,23,16,218,2096.936
6.6694,0,28,24,15,219,2076.936
6.6694,0,28,24,15,220,2076.936
6.6694,0,28,24,15,221,2076.936
6.6694,0,28,24,15,222,2076.936
6.6694,0,28,25,15,223,2056.936
6.6694,0,28,25,15,224,2056.936
6.6694,0,28,25,15,225,2056.936
6.6694,0,28,25,16,226,2056.936
6.6694,0,28,25,16,227,2056.936
6.6694,0,28,25,17,228,2056.936
6.6694,0,28,25,17,229,2056.936
6.6694,0,28,25,17,230,2056.936
6.6694,0,28,26,16,231,2036.936
6.6694,0,28,26,16,232,2036.936
6.6694,0,28,26,17,233,2036.936
6.6694,0,28,26,18,234,2036.936
6.6694,0,28,27,17,235,2016.936
6.6694,0,28,28,17,236,1996.936
6.6694,0,28,28,17,237,1996.936
6.6694,0,28,28,17,238,1996.936
6.6694,0,28,28,18,239,1996.936
6.6694,0,28,28,18,240,1996.936
6.6694,0,28,28,19,241,1996.936
6.6694,0,28,28,19,242,1996.936
6.6694,0,28,28,19,243,1996.936
6.6694,0,28,28,21,244,1996.936
6.6694,0,28,29,20,245,1976.936
6.6694,0,28,30,19,246,1956.936
6.6694,0,28,30,19,247,1956.936
6.6694,0,28,31,19,248,1936.936
6.6694,0,28,32,18,249,1916.936
6.6694,0,28,32,18,250,1916.936
6.6694,0,28,32,18,251,1916.936
6.6694,0,28,32,18,252,1916.936
6.6694,0,28,33,18,253,1896.936
6.5194,0,28,33,18,254,1896.936
6.3694,0,28,33,20,255,1896.936
6.2194,0,28,33,21,256,1896.936
6.1833,0,29,34,20,257,1974.8509
6.0333,0,29,34,20,258,1974.8509
5.8833,0,29,34,20,259,1974.8509
5.7333,0,29,34,20,260,1974.8509
5.6972,0,29,34,20,261,1974.8509
5.6972,0,29,34,20,262,1974.8509
5.6972,0,29,34,20,263,1974.8509
5.6972,0,29,34,20,264,1974.8509
5.6972,0,29,34,20,265,1974.8509
5.6972,0,29,34,21,266,1974.8509
5.5472,0,29,34,23,267,1974.8509
5.3972,0,29,34,24,268,1974.8509
5.2472,0,29,35,23,269,1954.8509
5.2111,0,30,36,22,270,2032.7659
5.0611,0,30,36,22,271,2032.7659
4.9111,0,30,36,22,272,2032.7659
4.7611,0,30,36,22,273,2032.7659
4.725,0,30,36,23,274,2032.7659
4.725,0,30,36,23,275,2032.7659
4.725,0,30,37,23,276,2012.7659
4.725,0,30,37,23,277,2012.7659
4.725,0,30,38,23,278,1992.7659
4.725,0,30,40,21,279,1952.7659
4.725,0,30,40,21,280,1952.7659
4.725,0,30,40,21,281,1952.7659
4.725,0,30,41,20,282,1932.7659
4.725,0,30,42,19,283,1912.7659
4.725,0,30,43,19,284,1892.7659
4.725,0,30,44,18,285,1872.7659
4.725,0,30,44,18,286,1872.7659
4.725,0,30,46,16,287,1832.7659
4.725,0,30,46,17,288,1832.7659
4.725,0,30,46,18,289,1832.7659
4.725,0,30,46,18,290,1832.7659
4.725,0,30,47,17,291,1812.7659
4.725,0,30,48,17,292,1792.7659
4.725,0,30,48,17,293,1792.7659
4.725,0,30,48,19,294,1792.7659
4.725,0,30,48,19,295,1792.7659
4.725,0,30,48,20,296,1792.7659
4.725,0,30,48,20,297,1792.7659
4.725,0,30,48,21,298,1792.7659
4.725,0,30,48,22,299,1792.7659
