assigned_time,assigned_vehicle,assigned_vehicles,collaborative,complete_time,deadline,delivered_weight,event_type,origin_node,release_time,remaining_weight,service_distance,service_duration,status,task_id,time,weight
,,{},False,,45,0.0,released,32,7,14.41,0.0,0,pending,1,7,14.41
7,0,{0: 14.41},False,,45,0.0,assigned,32,7,14.41,0.0,0,assigned,1,7,14.41
,,{},False,,58,0.0,released,55,8,6.84,0.0,0,pending,74,8,6.84
8,1,{1: 6.84},False,,58,0.0,assigned,55,8,6.84,0.0,0,assigned,74,8,6.84
,,{},False,,84,0.0,released,58,16,6.67,0.0,0,pending,42,16,6.67
16,2,{2: 6.67},False,,84,0.0,assigned,58,16,6.67,0.0,0,assigned,42,16,6.67
,,{},False,,98,0.0,released,35,18,1.08,0.0,0,pending,35,18,1.08
18,3,{3: 1.08},False,,98,0.0,assigned,35,18,1.08,0.0,0,assigned,35,18,1.08
,,{},False,,101,0.0,released,41,21,6.44,0.0,0,pending,89,21,6.44
,,{},False,,71,0.0,released,28,21,18.34,0.0,0,pending,95,21,18.34
21,4,{4: 18.34},False,,71,0.0,assigned,28,21,18.34,0.0,0,assigned,95,21,18.34
21,5,{5: 6.44},False,,101,0.0,assigned,41,21,6.44,0.0,0,assigned,89,21,6.44
,,{},False,,86,0.0,released,50,23,27.48,0.0,0,pending,46,23,27.48
23,6,{6: 27.48},False,,86,0.0,assigned,50,23,27.48,0.0,0,assigned,46,23,27.48
7,0,{},False,23,45,14.41,completed,32,7,0.0,24.0926,16,completed,1,23,14.41
,,{},False,,87,0.0,released,41,25,6.13,0.0,0,pending,93,25,6.13
25,7,{7: 6.13},False,,87,0.0,assigned,41,25,6.13,0.0,0,assigned,93,25,6.13
,,{},False,,61,0.0,released,15,26,10.02,0.0,0,pending,92,26,10.02
26,8,{8: 10.02},False,,61,0.0,assigned,15,26,10.02,0.0,0,assigned,92,26,10.02
,,{},False,,66,0.0,released,5,27,17.53,0.0,0,pending,72,27,17.53
27,9,{9: 17.53},False,,66,0.0,assigned,5,27,17.53,0.0,0,assigned,72,27,17.53
,,{},False,,75,0.0,released,30,28,8.39,0.0,0,pending,58,28,8.39
8,1,{},False,29,58,6.84,completed,55,8,0.0,32.4575,21,completed,74,29,6.84
,,{},False,,64,0.0,released,29,30,27.8,0.0,0,pending,84,30,27.8
27,9,{},False,31,66,17.53,completed,5,27,0.0,6.4328,4,completed,72,31,17.53
,,{},False,,61,0.0,released,10,33,11.14,0.0,0,pending,36,33,11.14
16,2,{},False,33,84,6.67,completed,58,16,0.0,26.705,17,completed,42,33,6.67
,,{},False,,109,0.0,released,6,35,13.28,0.0,0,pending,57,35,13.28
21,4,{},False,35,71,18.34,completed,28,21,0.0,22.4762,14,completed,95,35,18.34
,,{},False,,95,0.0,released,6,36,27.8,0.0,0,pending,16,36,27.8
37,9,{9: 27.8},False,,64,0.0,assigned,29,30,27.8,0.0,0,assigned,84,37,27.8
,,{},False,,86,0.0,released,32,39,23.03,0.0,0,pending,96,39,23.03
26,8,{},False,40,61,10.02,completed,15,26,0.0,21.041,14,completed,92,40,10.02
41,0,{0: 11.14},False,,61,0.0,assigned,10,33,11.14,0.0,0,assigned,36,41,11.14
18,3,{},False,41,98,1.08,completed,35,18,0.0,34.75,23,completed,35,41,1.08
37,9,{},False,41,64,27.8,completed,29,30,0.0,6.4729,4,completed,84,41,27.8
21,5,{},False,43,101,6.44,completed,41,21,0.0,33.2233,22,completed,89,43,6.44
23,6,{},False,43,86,27.48,completed,50,23,0.0,30.2285,20,completed,46,43,27.48
47,9,{9: 23.03},False,,86,0.0,assigned,32,39,23.03,0.0,0,assigned,96,47,23.03
25,7,{},False,47,87,6.13,completed,41,25,0.0,33.2233,22,completed,93,47,6.13
,,{},False,,102,0.0,released,52,49,5.82,0.0,0,pending,19,49,5.82
51,4,{4: 5.82},False,,102,0.0,assigned,52,49,5.82,0.0,0,assigned,19,51,5.82
52,1,{1: 8.39},False,,75,0.0,assigned,30,28,8.39,0.0,0,assigned,58,52,8.39
52,2,{2: 27.8},False,,95,0.0,assigned,6,36,27.8,0.0,0,assigned,16,52,27.8
,,{},False,,131,0.0,released,43,54,9.28,0.0,0,pending,47,54,9.28
,,{},False,,118,0.0,released,52,55,14.17,0.0,0,pending,37,55,14.17
41,0,{},False,55,61,11.14,completed,10,33,0.0,21.9782,14,completed,36,55,11.14
56,8,{8: 9.28},False,,131,0.0,assigned,43,54,9.28,0.0,0,assigned,47,56,9.28
