event_type,reason,station_id,task_id,time,vehicle_id
task_released,,,23,3,
task_released,,,28,3,
task_released,,,6,5,
task_released,,,24,8,
task_completed,,,24,10,
task_completed,,,6,13,
vehicle_became_idle,reach_depot,,,13,3
task_completed,,,23,14,
task_released,,,13,16,
task_completed,,,28,16,
task_completed,,,13,19,
task_released,,,11,22,
vehicle_became_idle,reach_depot,,,22,2
vehicle_became_idle,reach_depot,,,23,3
vehicle_became_idle,reach_depot,,,26,0
vehicle_became_idle,reach_depot,,,30,1
task_completed,,,11,31,
task_released,,,17,34,
vehicle_became_idle,reach_depot,,,41,4
task_released,,,26,42,
task_completed,,,17,42,
task_released,,,29,43,
task_released,,,1,49,
task_completed,,,26,49,
task_released,,,20,50,
task_released,,,27,51,
vehicle_became_idle,reach_depot,,,51,0
task_released,,,12,53,
task_completed,,,29,55,
vehicle_became_idle,reach_depot,,,57,1
task_released,,,0,58,
task_completed,,,1,59,
task_completed,,,20,59,
task_completed,,,27,60,
task_released,,,2,63,
task_released,,,8,66,
task_completed,,,0,68,
vehicle_became_idle,reach_depot,,,68,2
vehicle_became_idle,reach_depot,,,69,0
vehicle_became_idle,reach_depot,,,69,4
vehicle_became_idle,reach_depot,,,70,3
task_completed,,,8,71,
task_released,,,21,72,
task_released,,,16,73,
task_completed,,,12,74,
vehicle_became_idle,reach_depot,,,74,2
task_completed,,,2,76,
vehicle_became_idle,reach_depot,,,79,0
vehicle_became_idle,reach_depot,,,79,1
task_completed,,,21,81,
task_completed,,,16,83,
vehicle_became_idle,reach_depot,,,83,4
vehicle_reached_station,,1,,88,0
vehicle_became_idle,reach_depot,,,91,3
vehicle_became_idle,reach_depot,,,92,2
task_released,,,9,98,
vehicle_reached_station,,1,,101,2
task_released,,,3,102,
task_released,,,5,103,
task_completed,,,3,105,
vehicle_finished_charging,,1,,105,0
task_released,,,25,106,
task_completed,,,9,106,
vehicle_became_idle,reach_depot,,,109,1
task_completed,,,5,109,
task_completed,,,25,115,
vehicle_became_idle,reach_depot,,,115,3
task_released,,,4,116,
task_released,,,15,116,
vehicle_became_idle,reach_depot,,,116,4
vehicle_reached_station,,1,,118,1
vehicle_finished_charging,,1,,118,2
task_completed,,,4,120,
task_released,,,7,121,
vehicle_became_idle,reach_depot,,,124,0
vehicle_reached_station,,1,,124,3
vehicle_reached_station,,1,,125,4
vehicle_became_idle,reach_depot,,,127,2
task_completed,,,7,132,
task_completed,,,15,134,
task_released,,,18,136,
vehicle_finished_charging,,1,,136,1
vehicle_became_idle,reach_depot,,,140,0
vehicle_became_idle,reach_depot,,,141,2
vehicle_finished_charging,,1,,142,3
task_completed,,,18,153,
vehicle_finished_charging,,1,,153,4
vehicle_became_idle,reach_depot,,,162,1
task_released,,,19,164,
task_completed,,,19,168,
task_released,,,10,169,
vehicle_became_idle,reach_depot,,,173,3
task_completed,,,10,174,
task_released,,,14,179,
task_released,,,22,179,
