event_type,node,reason,station_id,task_id,time,vehicle_id
task_released,,,,13,6,
task_released,,,,4,10,
task_released,,,,21,10,
task_released,,,,25,11,
task_released,,,,12,14,
task_completed,,,,12,16,
task_completed,,,,13,17,
task_completed,,,,21,18,
task_completed,,,,4,18,
task_completed,,,,25,19,
vehicle_became_idle,,reach_depot,,,19,4
task_released,,,,16,21,
task_released,,,,27,22,
task_released,,,,8,26,
vehicle_became_idle,,reach_depot,,,27,1
vehicle_became_idle,,reach_depot,,,27,2
vehicle_became_idle,,reach_depot,,,28,3
vehicle_became_idle,,reach_depot,,,29,0
task_completed,,,,16,31,
task_released,,,,20,37,
task_completed,,,,27,37,
task_completed,,,,8,42,
vehicle_became_idle,,reach_depot,,,42,4
task_released,,,,1,47,
task_completed,,,,20,47,
vehicle_became_idle,,reach_depot,,,47,2
task_released,,,,15,50,
task_released,,,,18,50,
task_released,,,,11,51,
task_completed,,,,1,55,
vehicle_became_idle,,reach_depot,,,57,1
vehicle_became_idle,,reach_depot,,,58,0
task_completed,,,,18,59,
task_released,,,,6,60,
task_completed,,,,15,60,
task_completed,,,,11,62,
vehicle_became_idle,,reach_depot,,,64,3
vehicle_became_idle,,reach_depot,,,67,1
task_completed,,,,6,68,
vehicle_became_idle,,reach_depot,,,69,2
vehicle_became_idle,,reach_depot,,,71,4
vehicle_became_idle,,reach_depot,,,77,0
task_released,,,,3,85,
task_released,,,,28,93,
task_completed,,,,3,93,
task_released,,,,10,101,
vehicle_became_idle,,reach_depot,,,102,0
charge_unreachable,0,,,,102,0
task_completed,,,,28,102,
task_released,,,,24,103,
charge_unreachable,0,,,,103,0
charge_unreachable,0,,,,104,0
charge_unreachable,0,,,,105,0
charge_unreachable,0,,,,106,0
task_released,,,,9,107,
charge_unreachable,0,,,,107,0
charge_unreachable,0,,,,108,0
charge_unreachable,0,,,,109,0
charge_unreachable,0,,,,110,0
charge_unreachable,0,,,,111,0
task_completed,,,,24,111,
charge_unreachable,0,,,,112,0
vehicle_became_idle,,reach_depot,,,112,1
charge_unreachable,0,,,,112,1
task_completed,,,,10,112,
charge_unreachable,0,,,,113,0
charge_unreachable,0,,,,113,1
charge_unreachable,0,,,,114,0
charge_unreachable,0,,,,114,1
task_released,,,,5,115,
charge_unreachable,0,,,,115,0
task_completed,,,,5,115,
charge_unreachable,0,,,,116,0
vehicle_became_idle,,reach_depot,,,116,1
charge_unreachable,0,,,,116,1
task_completed,,,,9,116,
charge_unreachable,0,,,,117,0
charge_unreachable,0,,,,117,1
task_released,,,,0,118,
charge_unreachable,0,,,,118,0
charge_unreachable,0,,,,118,1
charge_unreachable,0,,,,119,0
charge_unreachable,0,,,,119,1
charge_unreachable,0,,,,120,0
charge_unreachable,0,,,,120,1
vehicle_became_idle,,reach_depot,,,120,3
charge_unreachable,0,,,,121,0
charge_unreachable,0,,,,121,1
charge_unreachable,0,,,,122,0
charge_unreachable,0,,,,122,1
charge_unreachable,0,,,,123,0
charge_unreachable,0,,,,123,1
task_completed,,,,0,123,
charge_unreachable,0,,,,124,0
charge_unreachable,0,,,,124,1
vehicle_became_idle,,reach_depot,,,124,2
charge_unreachable,0,,,,124,2
charge_unreachable,0,,,,125,0
charge_unreachable,0,,,,125,1
charge_unreachable,0,,,,125,2
charge_unreachable,0,,,,126,0
charge_unreachable,0,,,,126,1
charge_unreachable,0,,,,126,2
vehicle_became_idle,,reach_depot,,,126,3
vehicle_became_idle,,reach_depot,,,126,4
charge_unreachable,0,,,,127,0
charge_unreachable,0,,,,127,1
charge_unreachable,0,,,,127,2
task_released,,,,2,128,
task_released,,,,17,128,
charge_unreachable,0,,,,128,0
charge_unreachable,0,,,,128,1
charge_unreachable,0,,,,128,2
charge_unreachable,0,,,,129,0
charge_unreachable,0,,,,129,1
charge_unreachable,0,,,,129,2
charge_unreachable,0,,,,130,0
charge_unreachable,0,,,,130,1
charge_unreachable,0,,,,130,2
charge_unreachable,0,,,,131,0
charge_unreachable,0,,,,131,1
charge_unreachable,0,,,,131,2
charge_unreachable,0,,,,132,0
charge_unreachable,0,,,,132,1
charge_unreachable,0,,,,132,2
task_released,,,,26,133,
charge_unreachable,0,,,,133,0
charge_unreachable,0,,,,133,1
charge_unreachable,0,,,,133,2
charge_unreachable,0,,,,134,0
charge_unreachable,0,,,,134,1
charge_unreachable,0,,,,134,2
vehicle_reached_station,,,1,,134,4
charge_unreachable,0,,,,135,0
charge_unreachable,0,,,,135,1
charge_unreachable,0,,,,135,2
charge_unreachable,0,,,,136,0
charge_unreachable,0,,,,136,1
charge_unreachable,0,,,,136,2
charge_unreachable,0,,,,137,0
charge_unreachable,0,,,,137,1
charge_unreachable,0,,,,137,2
charge_unreachable,0,,,,138,0
charge_unreachable,0,,,,138,1
charge_unreachable,0,,,,138,2
charge_unreachable,0,,,,139,0
charge_unreachable,0,,,,139,1
charge_unreachable,0,,,,139,2
charge_unreachable,0,,,,140,0
charge_unreachable,0,,,,140,1
charge_unreachable,0,,,,140,2
charge_unreachable,0,,,,141,0
charge_unreachable,0,,,,141,1
charge_unreachable,0,,,,141,2
task_completed,,,,26,141,
charge_unreachable,0,,,,142,0
charge_unreachable,0,,,,142,1
charge_unreachable,0,,,,142,2
charge_unreachable,0,,,,143,0
charge_unreachable,0,,,,143,1
charge_unreachable,0,,,,143,2
charge_unreachable,0,,,,144,0
charge_unreachable,0,,,,144,1
charge_unreachable,0,,,,144,2
charge_unreachable,0,,,,145,0
charge_unreachable,0,,,,145,1
charge_unreachable,0,,,,145,2
charge_unreachable,0,,,,146,0
charge_unreachable,0,,,,146,1
charge_unreachable,0,,,,146,2
task_released,,,,23,147,
task_released,,,,29,147,
charge_unreachable,0,,,,147,0
charge_unreachable,0,,,,147,1
charge_unreachable,0,,,,147,2
charge_unreachable,0,,,,148,0
charge_unreachable,0,,,,148,1
charge_unreachable,0,,,,148,2
charge_unreachable,0,,,,149,0
charge_unreachable,0,,,,149,1
charge_unreachable,0,,,,149,2
charge_unreachable,0,,,,150,0
charge_unreachable,0,,,,150,1
charge_unreachable,0,,,,150,2
vehicle_became_idle,,reach_depot,,,150,3
charge_unreachable,0,,,,150,3
task_released,,,,7,151,
charge_unreachable,0,,,,151,0
charge_unreachable,0,,,,151,1
charge_unreachable,0,,,,151,2
charge_unreachable,0,,,,151,3
vehicle_finished_charging,,,1,,151,4
task_released,,,,14,152,
charge_unreachable,0,,,,152,0
charge_unreachable,0,,,,152,1
charge_unreachable,0,,,,152,2
charge_unreachable,0,,,,152,3
charge_unreachable,0,,,,153,0
charge_unreachable,0,,,,153,1
charge_unreachable,0,,,,153,2
charge_unreachable,0,,,,153,3
charge_unreachable,0,,,,154,0
charge_unreachable,0,,,,154,1
charge_unreachable,0,,,,154,2
charge_unreachable,0,,,,154,3
task_released,,,,22,155,
charge_unreachable,0,,,,155,0
charge_unreachable,0,,,,155,1
charge_unreachable,0,,,,155,2
charge_unreachable,0,,,,155,3
charge_unreachable,0,,,,156,0
charge_unreachable,0,,,,156,1
charge_unreachable,0,,,,156,2
charge_unreachable,0,,,,156,3
charge_unreachable,0,,,,157,0
charge_unreachable,0,,,,157,1
charge_unreachable,0,,,,157,2
charge_unreachable,0,,,,157,3
charge_unreachable,0,,,,158,0
charge_unreachable,0,,,,158,1
charge_unreachable,0,,,,158,2
charge_unreachable,0,,,,158,3
charge_unreachable,0,,,,159,0
charge_unreachable,0,,,,159,1
charge_unreachable,0,,,,159,2
charge_unreachable,0,,,,159,3
charge_unreachable,0,,,,160,0
charge_unreachable,0,,,,160,1
charge_unreachable,0,,,,160,2
charge_unreachable,0,,,,160,3
charge_unreachable,0,,,,161,0
charge_unreachable,0,,,,161,1
charge_unreachable,0,,,,161,2
