avg_battery,charging_queue_total,completed_tasks,expired_tasks,pending_tasks,time,total_score
120.0,0,0,0,0,0,0.0
120.0,0,0,0,0,1,0.0
120.0,0,0,0,0,2,0.0
119.4,0,0,0,0,3,0.0
118.8,0,0,0,0,4,0.0
117.9,0,0,0,0,5,0.0
117.0,0,0,0,0,6,0.0
116.1,0,0,0,0,7,0.0
114.9,0,0,0,0,8,0.0
113.7,0,0,0,0,9,0.0
112.6265,0,1,0,0,10,97.2795
111.4265,0,1,0,0,11,97.2795
110.2265,0,1,0,0,12,97.2795
109.2416,0,2,0,0,13,187.8452
108.5118,0,3,0,0,14,275.3558
107.6118,0,3,0,0,15,275.3558
106.6659,0,4,0,0,16,360.9182
105.4659,0,4,0,0,17,360.9182
104.2659,0,4,0,0,18,360.9182
103.1342,0,5,0,0,19,456.923
101.9342,0,5,0,0,20,456.923
100.7342,0,5,0,0,21,456.923
99.3227,0,5,0,0,22,456.923
98.191,0,5,0,0,23,456.923
97.291,0,5,0,0,24,456.923
96.391,0,5,0,0,25,456.923
95.6612,0,5,0,0,26,456.923
95.0612,0,5,0,0,27,456.923
94.4612,0,5,0,0,28,456.923
93.8612,0,5,0,0,29,456.923
93.5153,0,5,0,0,30,456.923
93.2158,0,6,0,0,31,546.1243
92.9158,0,6,0,0,32,546.1243
92.6158,0,6,0,0,33,546.1243
92.0158,0,6,0,0,34,546.1243
91.4158,0,6,0,0,35,546.1243
90.8158,0,6,0,0,36,546.1243
90.2158,0,6,0,0,37,546.1243
89.6158,0,6,0,0,38,546.1243
89.0158,0,6,0,0,39,546.1243
88.4158,0,6,0,0,40,546.1243
87.8162,0,6,0,0,41,546.1243
87.2638,0,7,0,0,42,636.5672
86.3638,0,7,0,0,43,636.5672
85.4638,0,7,0,0,44,636.5672
84.5638,0,7,0,0,45,636.5672
83.6638,0,7,0,0,46,636.5672
82.7638,0,7,0,0,47,636.5672
81.8638,0,7,0,0,48,636.5672
80.7174,0,8,0,0,49,728.1278
79.2174,0,8,0,0,50,728.1278
77.765,0,8,0,1,51,728.1278
76.265,0,8,0,0,52,728.1278
74.765,0,8,0,1,53,728.1278
73.265,0,8,0,1,54,728.1278
72.0422,0,9,0,1,55,814.8593
70.5422,0,9,0,1,56,814.8593
69.0957,0,9,0,1,57,814.8593
67.5957,0,9,0,1,58,814.8593
66.2843,0,11,0,1,59,992.725
64.8319,0,12,0,1,60,1082.9678
63.3319,0,12,0,1,61,1082.9678
61.8319,0,12,0,1,62,1082.9678
60.3319,0,12,0,2,63,1082.9678
58.8319,0,12,0,2,64,1082.9678
57.3319,0,12,0,2,65,1082.9678
55.8319,0,12,0,3,66,1082.9678
54.3319,0,12,0,3,67,1082.9678
53.2972,0,13,0,3,68,1171.6321
51.8452,0,13,0,2,69,1171.6321
50.5333,0,13,0,0,70,1171.6321
49.3992,0,14,0,0,71,1268.1298
47.8992,0,14,0,0,72,1268.1298
46.3992,0,14,0,1,73,1268.1298
45.2375,0,15,0,1,74,1360.2469
43.7375,0,15,0,0,75,1360.2469
42.3247,0,16,0,0,76,1451.6087
40.8247,0,16,0,0,77,1451.6087
39.3247,0,16,0,0,78,1451.6087
38.2852,0,16,0,0,79,1451.6087
37.0852,0,16,0,0,80,1451.6087
35.8857,0,17,0,0,81,1540.8101
34.6857,0,17,0,0,82,1540.8101
33.6615,0,18,0,0,83,1630.9758
32.7615,0,18,0,0,84,1630.9758
31.8615,0,18,0,0,85,1630.9758
30.9615,0,18,0,0,86,1630.9758
30.0615,0,18,0,0,87,1630.9758
29.4302,0,18,0,0,88,1630.9758
30.0302,0,18,0,0,89,1630.9758
30.6302,0,18,0,0,90,1630.9758
31.2306,0,18,0,0,91,1630.9758
32.2192,0,18,0,0,92,1630.9758
33.1192,0,18,0,0,93,1630.9758
34.0192,0,18,0,0,94,1630.9758
34.9192,0,18,0,0,95,1630.9758
35.8192,0,18,0,0,96,1630.9758
36.7192,0,18,0,0,97,1630.9758
37.3192,0,18,0,0,98,1630.9758
37.9192,0,18,0,0,99,1630.9758
38.5192,0,18,0,0,100,1630.9758
39.3878,0,18,0,0,101,1630.9758
41.1878,0,18,0,0,102,1630.9758
42.6878,0,18,0,0,103,1630.9758
44.1878,0,18,0,0,104,1630.9758
45.7561,0,19,0,0,105,1726.9806
45.8037,0,20,0,0,106,1817.4234
45.8037,0,20,0,0,107,1817.4234
45.8037,0,20,0,0,108,1817.4234
46.0973,0,21,0,0,109,1910.5995
46.0973,0,21,0,0,110,1910.5995
46.0973,0,21,0,0,111,1910.5995
46.0973,0,21,0,0,112,1910.5995
46.0973,0,21,0,0,113,1910.5995
46.0973,0,21,0,0,114,1910.5995
46.3344,0,22,0,0,115,2000.3679
46.5598,0,22,0,2,116,2000.3679
46.5598,0,22,0,2,117,2000.3679
46.8284,0,22,0,2,118,2000.3679
46.8284,0,22,0,1,119,2000.3679
47.0084,0,23,0,1,120,2098.3079
47.0084,0,23,0,2,121,2098.3079
47.0084,0,23,0,2,122,2098.3079
47.0084,0,23,0,2,123,2098.3079
47.3246,0,23,0,2,124,2098.3079
49.0933,1,23,0,1,125,2098.3079
50.8933,1,23,0,1,126,2098.3079
52.7806,1,23,0,1,127,2098.3079
54.5806,1,23,0,0,128,2098.3079
56.3806,1,23,0,0,129,2098.3079
58.1806,1,23,0,0,130,2098.3079
59.9806,1,23,0,0,131,2098.3079
62.0486,1,24,0,0,132,2189.712
63.8486,1,24,0,0,133,2189.712
65.7201,1,25,0,0,134,2280.0265
67.5201,1,25,0,0,135,2280.0265
69.3201,0,25,0,1,136,2280.0265
70.8201,0,25,0,0,137,2280.0265
72.3201,0,25,0,0,138,2280.0265
73.8201,0,25,0,0,139,2280.0265
75.5881,0,25,0,0,140,2280.0265
77.4596,0,25,0,0,141,2280.0265
79.5596,0,25,0,0,142,2280.0265
80.4596,0,25,0,0,143,2280.0265
81.3596,0,25,0,0,144,2280.0265
82.2596,0,25,0,0,145,2280.0265
83.1596,0,25,0,0,146,2280.0265
84.0596,0,25,0,0,147,2280.0265
84.9596,0,25,0,0,148,2280.0265
85.8596,0,25,0,0,149,2280.0265
86.7596,0,25,0,0,150,2280.0265
87.6596,0,25,0,0,151,2280.0265
88.5596,0,25,0,0,152,2280.0265
89.6103,0,26,0,0,153,2361.7785
89.3103,0,26,0,0,154,2361.7785
89.0103,0,26,0,0,155,2361.7785
88.7103,0,26,0,0,156,2361.7785
88.4103,0,26,0,0,157,2361.7785
88.1103,0,26,0,0,158,2361.7785
87.8103,0,26,0,0,159,2361.7785
87.5103,0,26,0,0,160,2361.7785
87.2103,0,26,0,0,161,2361.7785
87.0923,0,26,0,0,162,2361.7785
87.0923,0,26,0,0,163,2361.7785
86.7923,0,26,0,0,164,2361.7785
86.4923,0,26,0,0,165,2361.7785
86.1923,0,26,0,0,166,2361.7785
85.8923,0,26,0,0,167,2361.7785
85.8886,0,27,0,0,168,2457.3673
85.2886,0,27,0,0,169,2457.3673
84.6886,0,27,0,0,170,2457.3673
84.0886,0,27,0,0,171,2457.3673
83.4886,0,27,0,0,172,2457.3673
83.161,0,27,0,0,173,2457.3673
83.0316,0,28,0,0,174,2551.4793
82.7316,0,28,0,0,175,2551.4793
82.4316,0,28,0,0,176,2551.4793
82.1316,0,28,0,0,177,2551.4793
81.8316,0,28,0,0,178,2551.4793
80.9316,0,28,0,0,179,2551.4793
