avg_battery,charging_queue_total,completed_tasks,expired_tasks,pending_tasks,time,total_score
120.0,0,0,0,0,0,0.0
120.0,0,0,0,0,1,0.0
120.0,0,0,0,0,2,0.0
119.4,0,0,0,0,3,0.0
118.8,0,0,0,0,4,0.0
117.9,0,0,0,0,5,0.0
117.0,0,0,0,0,6,0.0
116.1,0,0,0,0,7,0.0
114.9,0,0,0,0,8,0.0
113.7,0,0,0,0,9,0.0
112.6265,0,1,0,0,10,97.0343
111.4265,0,1,0,0,11,97.0343
110.2265,0,1,0,0,12,97.0343
109.2416,0,2,0,0,13,187.022
108.5118,0,3,0,0,14,273.8719
107.6118,0,3,0,0,15,273.8719
106.6659,0,4,0,0,16,358.7432
105.4659,0,4,0,0,17,358.7432
104.2659,0,4,0,0,18,358.7432
103.1342,0,5,0,0,19,454.404
101.9342,0,5,0,0,20,454.404
100.7342,0,5,0,0,21,454.404
99.3227,0,5,0,0,22,454.404
98.191,0,5,0,0,23,454.404
97.291,0,5,0,0,24,454.404
96.391,0,5,0,0,25,454.404
95.6612,0,5,0,0,26,454.404
95.0612,0,5,0,0,27,454.404
94.4612,0,5,0,0,28,454.404
93.8612,0,5,0,0,29,454.404
93.5153,0,5,0,0,30,454.404
93.2158,0,6,0,0,31,542.9035
92.9158,0,6,0,0,32,542.9035
92.6158,0,6,0,0,33,542.9035
92.0158,0,6,0,0,34,542.9035
91.4158,0,6,0,0,35,542.9035
90.8158,0,6,0,0,36,542.9035
90.2158,0,6,0,0,37,542.9035
89.6158,0,6,0,0,38,542.9035
89.0158,0,6,0,0,39,542.9035
88.4158,0,6,0,0,40,542.9035
87.8162,0,6,0,0,41,542.9035
87.2638,0,7,0,0,42,632.7341
86.3638,0,7,0,0,43,632.7341
85.4638,0,7,0,0,44,632.7341
84.5638,0,7,0,0,45,632.7341
83.6638,0,7,0,0,46,632.7341
82.7638,0,7,0,0,47,632.7341
81.8638,0,7,0,0,48,632.7341
80.7174,0,8,0,0,49,723.7376
79.2174,0,8,0,0,50,723.7376
77.765,0,8,0,1,51,723.7376
76.265,0,8,0,0,52,723.7376
74.765,0,8,0,1,53,723.7376
73.265,0,8,0,1,54,723.7376
72.0422,0,9,0,1,55,809.8475
70.5422,0,9,0,1,56,809.8475
69.0957,0,9,0,1,57,809.8475
67.5957,0,9,0,1,58,809.8475
66.2843,0,11,0,1,59,986.4157
64.8319,0,12,0,1,60,1076.2463
63.3319,0,12,0,1,61,1076.2463
61.8319,0,12,0,1,62,1076.2463
60.3319,0,12,0,2,63,1076.2463
58.8319,0,12,0,2,64,1076.2463
57.3319,0,12,0,2,65,1076.2463
55.8319,0,12,0,3,66,1076.2463
54.3319,0,12,0,3,67,1076.2463
53.2972,0,13,0,3,68,1164.3151
51.8452,0,13,0,2,69,1164.3151
50.5333,0,13,0,0,70,1164.3151
49.3333,0,13,0,0,71,1164.3151
47.8992,0,14,0,0,72,1261.117
46.3992,0,14,0,1,73,1261.117
45.1716,0,15,0,1,74,1356.4103
43.8247,0,16,0,1,75,1448.6933
42.3247,0,16,0,1,76,1448.6933
40.8247,0,16,0,1,77,1448.6933
39.3247,0,16,0,1,78,1448.6933
38.2852,0,16,0,1,79,1448.6933
37.0852,0,16,0,0,80,1448.6933
35.8857,0,17,0,0,81,1537.1928
34.7729,0,17,0,0,82,1537.1928
33.8729,0,17,0,0,83,1537.1928
33.2416,0,17,0,0,84,1537.1928
33.8416,0,17,0,0,85,1537.1928
34.4416,0,17,0,0,86,1537.1928
35.0416,0,17,0,0,87,1537.1928
35.7302,0,18,0,0,88,1627.1805
36.3302,0,18,0,0,89,1627.1805
36.9302,0,18,0,0,90,1627.1805
37.5306,0,18,0,0,91,1627.1805
38.4306,0,18,0,0,92,1627.1805
39.3306,0,18,0,0,93,1627.1805
40.2306,0,18,0,0,94,1627.1805
41.1306,0,18,0,0,95,1627.1805
42.0306,0,18,0,0,96,1627.1805
43.0192,0,18,0,0,97,1627.1805
43.9192,0,18,0,0,98,1627.1805
44.8192,0,18,0,0,99,1627.1805
45.7192,0,18,0,0,100,1627.1805
46.6192,0,18,0,0,101,1627.1805
46.0192,0,18,0,0,102,1627.1805
45.1192,0,18,0,0,103,1627.1805
44.2192,0,18,0,0,104,1627.1805
43.3874,0,19,0,0,105,1722.8413
42.235,0,20,0,0,106,1812.6719
41.035,0,20,0,0,107,1812.6719
39.835,0,20,0,0,108,1812.6719
38.9287,0,21,0,0,109,1905.4844
38.0287,0,21,0,0,110,1905.4844
37.1287,0,21,0,0,111,1905.4844
36.2287,0,21,0,0,112,1905.4844
35.3287,0,21,0,0,113,1905.4844
34.4287,0,21,0,0,114,1905.4844
33.7658,0,22,0,0,115,1994.7087
33.0911,0,22,0,1,116,1994.7087
32.1911,0,22,0,0,117,1994.7087
31.2911,0,22,0,0,118,1994.7087
30.3911,0,22,0,0,119,1994.7087
29.4911,0,22,0,0,120,1994.7087
28.5911,0,22,0,1,121,1994.7087
27.7626,0,23,0,1,122,2086.9313
26.9499,0,24,0,1,123,2179.2144
26.0975,0,24,0,1,124,2179.2144
25.1975,0,24,0,0,125,2179.2144
24.2975,0,24,0,0,126,2179.2144
23.3975,0,24,0,0,127,2179.2144
22.4975,0,24,0,0,128,2179.2144
21.669,0,24,0,0,129,2179.2144
21.1563,0,24,0,0,130,2179.2144
20.8563,0,24,0,0,131,2179.2144
20.8243,0,25,0,0,132,2271.0403
20.5243,0,25,0,0,133,2271.0403
20.2243,0,25,0,0,134,2271.0403
19.9243,0,25,0,0,135,2271.0403
19.6243,0,25,0,1,136,2271.0403
19.3243,0,25,0,1,137,2271.0403
19.0243,0,25,0,1,138,2271.0403
18.7243,0,25,0,1,139,2271.0403
18.6924,0,25,0,1,140,2271.0403
18.3924,0,25,0,0,141,2271.0403
18.0924,0,25,0,0,142,2271.0403
17.7924,0,25,0,0,143,2271.0403
17.4924,0,25,0,0,144,2271.0403
17.1924,0,25,0,0,145,2271.0403
16.8924,0,25,0,0,146,2271.0403
16.5924,0,25,0,0,147,2271.0403
16.2924,0,25,0,0,148,2271.0403
16.1744,0,26,0,0,149,2361.3862
15.8744,0,26,0,0,150,2361.3862
15.5744,0,26,0,0,151,2361.3862
15.2744,0,26,0,0,152,2361.3862
14.9744,0,26,0,0,153,2361.3862
14.6744,0,26,0,0,154,2361.3862
14.3744,0,26,0,0,155,2361.3862
14.0744,0,26,0,0,156,2361.3862
13.7744,0,26,0,0,157,2361.3862
13.6564,0,26,0,0,158,2361.3862
13.6564,0,26,0,0,159,2361.3862
13.6564,0,26,0,0,160,2361.3862
13.6564,0,26,0,0,161,2361.3862
13.6564,0,26,0,0,162,2361.3862
13.6564,0,26,0,0,163,2361.3862
13.3564,0,26,0,0,164,2361.3862
13.0564,0,26,0,0,165,2361.3862
12.7564,0,26,0,0,166,2361.3862
12.4564,0,26,0,0,167,2361.3862
12.4288,0,27,0,0,168,2456.6794
12.1288,0,27,0,1,169,2456.6794
11.8288,0,27,0,1,170,2456.6794
11.5288,0,27,0,1,171,2456.6794
11.2288,0,27,0,1,172,2456.6794
11.2012,0,27,0,1,173,2456.6794
10.9012,0,27,0,1,174,2456.6794
10.6012,0,27,0,1,175,2456.6794
10.3012,0,27,0,1,176,2456.6794
10.0012,0,27,0,1,177,2456.6794
9.7012,0,27,0,1,178,2456.6794
9.4012,0,27,0,3,179,2456.6794
