charging_slots,node_id,occupied_piles,queue_length,station_id,time,waiting_vehicles
"[None, None]",26,0,0,0,0,[]
"[None, None]",27,0,0,1,0,[]
"[None, None]",26,0,0,0,1,[]
"[None, None]",27,0,0,1,1,[]
"[None, None]",26,0,0,0,2,[]
"[None, None]",27,0,0,1,2,[]
"[None, None]",26,0,0,0,3,[]
"[None, None]",27,0,0,1,3,[]
"[None, None]",26,0,0,0,4,[]
"[None, None]",27,0,0,1,4,[]
"[None, None]",26,0,0,0,5,[]
"[None, None]",27,0,0,1,5,[]
"[None, None]",26,0,0,0,6,[]
"[None, None]",27,0,0,1,6,[]
"[None, None]",26,0,0,0,7,[]
"[None, None]",27,0,0,1,7,[]
"[None, None]",26,0,0,0,8,[]
"[None, None]",27,0,0,1,8,[]
"[None, None]",26,0,0,0,9,[]
"[None, None]",27,0,0,1,9,[]
"[None, None]",26,0,0,0,10,[]
"[None, None]",27,0,0,1,10,[]
"[None, None]",26,0,0,0,11,[]
"[None, None]",27,0,0,1,11,[]
"[None, None]",26,0,0,0,12,[]
"[None, None]",27,0,0,1,12,[]
"[None, None]",26,0,0,0,13,[]
"[None, None]",27,0,0,1,13,[]
"[None, None]",26,0,0,0,14,[]
"[None, None]",27,0,0,1,14,[]
"[None, None]",26,0,0,0,15,[]
"[None, None]",27,0,0,1,15,[]
"[None, None]",26,0,0,0,16,[]
"[None, None]",27,0,0,1,16,[]
"[None, None]",26,0,0,0,17,[]
"[None, None]",27,0,0,1,17,[]
"[None, None]",26,0,0,0,18,[]
"[None, None]",27,0,0,1,18,[]
"[None, None]",26,0,0,0,19,[]
"[None, None]",27,0,0,1,19,[]
"[None, None]",26,0,0,0,20,[]
"[None, None]",27,0,0,1,20,[]
"[None, None]",26,0,0,0,21,[]
"[None, None]",27,0,0,1,21,[]
"[None, None]",26,0,0,0,22,[]
"[None, None]",27,0,0,1,22,[]
"[None, None]",26,0,0,0,23,[]
"[None, None]",27,0,0,1,23,[]
"[None, None]",26,0,0,0,24,[]
"[None, None]",27,0,0,1,24,[]
"[None, None]",26,0,0,0,25,[]
"[None, None]",27,0,0,1,25,[]
"[None, None]",26,0,0,0,26,[]
"[None, None]",27,0,0,1,26,[]
"[None, None]",26,0,0,0,27,[]
"[None, None]",27,0,0,1,27,[]
"[None, None]",26,0,0,0,28,[]
"[None, None]",27,0,0,1,28,[]
"[None, None]",26,0,0,0,29,[]
"[None, None]",27,0,0,1,29,[]
"[None, None]",26,0,0,0,30,[]
"[None, None]",27,0,0,1,30,[]
"[None, None]",26,0,0,0,31,[]
"[None, None]",27,0,0,1,31,[]
"[None, None]",26,0,0,0,32,[]
"[None, None]",27,0,0,1,32,[]
"[None, None]",26,0,0,0,33,[]
"[None, None]",27,0,0,1,33,[]
"[None, None]",26,0,0,0,34,[]
"[None, None]",27,0,0,1,34,[]
"[None, None]",26,0,0,0,35,[]
"[None, None]",27,0,0,1,35,[]
"[None, None]",26,0,0,0,36,[]
"[None, None]",27,0,0,1,36,[]
"[None, None]",26,0,0,0,37,[]
"[None, None]",27,0,0,1,37,[]
"[None, None]",26,0,0,0,38,[]
"[None, None]",27,0,0,1,38,[]
"[None, None]",26,0,0,0,39,[]
"[None, None]",27,0,0,1,39,[]
"[None, None]",26,0,0,0,40,[]
"[None, None]",27,0,0,1,40,[]
"[None, None]",26,0,0,0,41,[]
"[None, None]",27,0,0,1,41,[]
"[None, None]",26,0,0,0,42,[]
"[None, None]",27,0,0,1,42,[]
"[None, None]",26,0,0,0,43,[]
"[None, None]",27,0,0,1,43,[]
"[None, None]",26,0,0,0,44,[]
"[None, None]",27,0,0,1,44,[]
"[None, None]",26,0,0,0,45,[]
"[None, None]",27,0,0,1,45,[]
"[None, None]",26,0,0,0,46,[]
"[None, None]",27,0,0,1,46,[]
"[None, None]",26,0,0,0,47,[]
"[None, None]",27,0,0,1,47,[]
"[None, None]",26,0,0,0,48,[]
"[None, None]",27,0,0,1,48,[]
"[None, None]",26,0,0,0,49,[]
"[None, None]",27,0,0,1,49,[]
"[None, None]",26,0,0,0,50,[]
"[None, None]",27,0,0,1,50,[]
"[None, None]",26,0,0,0,51,[]
"[None, None]",27,0,0,1,51,[]
"[None, None]",26,0,0,0,52,[]
"[None, None]",27,0,0,1,52,[]
"[None, None]",26,0,0,0,53,[]
"[None, None]",27,0,0,1,53,[]
"[None, None]",26,0,0,0,54,[]
"[None, None]",27,0,0,1,54,[]
"[None, None]",26,0,0,0,55,[]
"[None, None]",27,0,0,1,55,[]
"[None, None]",26,0,0,0,56,[]
"[None, None]",27,0,0,1,56,[]
"[None, None]",26,0,0,0,57,[]
"[None, None]",27,0,0,1,57,[]
"[None, None]",26,0,0,0,58,[]
"[None, None]",27,0,0,1,58,[]
"[None, None]",26,0,0,0,59,[]
"[None, None]",27,0,0,1,59,[]
"[None, None]",26,0,0,0,60,[]
"[None, None]",27,0,0,1,60,[]
"[None, None]",26,0,0,0,61,[]
"[None, None]",27,0,0,1,61,[]
"[None, None]",26,0,0,0,62,[]
"[None, None]",27,0,0,1,62,[]
"[None, None]",26,0,0,0,63,[]
"[None, None]",27,0,0,1,63,[]
"[None, None]",26,0,0,0,64,[]
"[None, None]",27,0,0,1,64,[]
"[None, None]",26,0,0,0,65,[]
"[None, None]",27,0,0,1,65,[]
"[None, None]",26,0,0,0,66,[]
"[None, None]",27,0,0,1,66,[]
"[None, None]",26,0,0,0,67,[]
"[None, None]",27,0,0,1,67,[]
"[None, None]",26,0,0,0,68,[]
"[None, None]",27,0,0,1,68,[]
"[None, None]",26,0,0,0,69,[]
"[None, None]",27,0,0,1,69,[]
"[None, None]",26,0,0,0,70,[]
"[None, None]",27,0,0,1,70,[]
"[None, None]",26,0,0,0,71,[]
"[None, None]",27,0,0,1,71,[]
"[None, None]",26,0,0,0,72,[]
"[None, None]",27,0,0,1,72,[]
"[None, None]",26,0,0,0,73,[]
"[None, None]",27,0,0,1,73,[]
"[None, None]",26,0,0,0,74,[]
"[None, None]",27,0,0,1,74,[]
"[None, None]",26,0,0,0,75,[]
"[None, None]",27,0,0,1,75,[]
"[None, None]",26,0,0,0,76,[]
"[None, None]",27,0,0,1,76,[]
"[None, None]",26,0,0,0,77,[]
"[None, None]",27,0,0,1,77,[]
"[None, None]",26,0,0,0,78,[]
"[None, None]",27,0,0,1,78,[]
"[None, None]",26,0,0,0,79,[]
"[None, None]",27,0,0,1,79,[]
"[None, None]",26,0,0,0,80,[]
"[None, None]",27,0,0,1,80,[]
"[None, None]",26,0,0,0,81,[]
"[None, None]",27,0,0,1,81,[]
"[None, None]",26,0,0,0,82,[]
"[None, None]",27,0,0,1,82,[]
"[None, None]",26,0,0,0,83,[]
"[None, None]",27,0,0,1,83,[]
"[None, None]",26,0,0,0,84,[]
"[None, None]",27,0,0,1,84,[]
"[None, None]",26,0,0,0,85,[]
"[None, None]",27,0,0,1,85,[]
"[None, None]",26,0,0,0,86,[]
"[None, None]",27,0,0,1,86,[]
"[None, None]",26,0,0,0,87,[]
"[None, None]",27,0,0,1,87,[]
"[None, None]",26,0,0,0,88,[]
"[None, None]",27,0,0,1,88,[]
"[None, None]",26,0,0,0,89,[]
"[None, None]",27,0,0,1,89,[]
"[None, None]",26,0,0,0,90,[]
"[None, None]",27,0,0,1,90,[]
"[None, None]",26,0,0,0,91,[]
"[None, None]",27,0,0,1,91,[]
"[None, None]",26,0,0,0,92,[]
"[None, None]",27,0,0,1,92,[]
"[0, 1]",26,2,0,0,93,[]
"[None, None]",27,0,0,1,93,[]
"[0, 1]",26,2,0,0,94,[]
"[None, None]",27,0,0,1,94,[]
"[0, 1]",26,2,0,0,95,[]
"[None, None]",27,0,0,1,95,[]
"[0, 1]",26,2,0,0,96,[]
"[None, None]",27,0,0,1,96,[]
"[0, 1]",26,2,0,0,97,[]
"[None, None]",27,0,0,1,97,[]
"[0, 1]",26,2,0,0,98,[]
"[None, None]",27,0,0,1,98,[]
"[0, 1]",26,2,0,0,99,[]
"[None, None]",27,0,0,1,99,[]
"[0, 1]",26,2,0,0,100,[]
"[None, None]",27,0,0,1,100,[]
"[0, 1]",26,2,0,0,101,[]
"[None, None]",27,0,0,1,101,[]
"[0, 1]",26,2,0,0,102,[]
"[None, None]",27,0,0,1,102,[]
"[0, 1]",26,2,0,0,103,[]
"[None, None]",27,0,0,1,103,[]
"[0, 1]",26,2,0,0,104,[]
"[None, None]",27,0,0,1,104,[]
"[0, 1]",26,2,0,0,105,[]
"[None, None]",27,0,0,1,105,[]
"[0, 1]",26,2,0,0,106,[]
"[None, None]",27,0,0,1,106,[]
"[0, 1]",26,2,0,0,107,[]
"[None, None]",27,0,0,1,107,[]
"[0, 1]",26,2,0,0,108,[]
"[None, None]",27,0,0,1,108,[]
"[0, 1]",26,2,0,0,109,[]
"[None, None]",27,0,0,1,109,[]
"[None, None]",26,0,0,0,110,[]
"[None, None]",27,0,0,1,110,[]
"[None, None]",26,0,0,0,111,[]
"[None, None]",27,0,0,1,111,[]
"[None, None]",26,0,0,0,112,[]
"[None, None]",27,0,0,1,112,[]
"[None, None]",26,0,0,0,113,[]
"[None, None]",27,0,0,1,113,[]
"[None, None]",26,0,0,0,114,[]
"[None, None]",27,0,0,1,114,[]
"[None, None]",26,0,0,0,115,[]
"[None, None]",27,0,0,1,115,[]
"[None, None]",26,0,0,0,116,[]
"[None, None]",27,0,0,1,116,[]
