assigned_task,battery,event_type,node,status,target_station,task_load,time,total_distance,total_score,vehicle_id
18,120.0,dispatch,0,moving_to_task,,7.08,0,0.0,0.0,0
18,118.5,step,0,moving_to_task,,7.08,0,1.5,0.0,0
,120.0,step,0,idle,,0.0,0,0.0,0.0,1
,120.0,step,0,idle,,0.0,0,0.0,0.0,2
,120.0,step,0,idle,,0.0,0,0.0,0.0,3
,120.0,step,0,idle,,0.0,0,0.0,0.0,4
18,117.0,step,0,moving_to_task,,7.08,1,3.0,0.0,0
,120.0,step,0,idle,,0.0,1,0.0,0.0,1
,120.0,step,0,idle,,0.0,1,0.0,0.0,2
,120.0,step,0,idle,,0.0,1,0.0,0.0,3
,120.0,step,0,idle,,0.0,1,0.0,0.0,4
24,120.0,dispatch,0,moving_to_task,,14.48,2,0.0,0.0,1
18,115.5,step,0,moving_to_task,,7.08,2,4.5,0.0,0
24,118.5,step,0,moving_to_task,,14.48,2,1.5,0.0,1
,120.0,step,0,idle,,0.0,2,0.0,0.0,2
,120.0,step,0,idle,,0.0,2,0.0,0.0,3
,120.0,step,0,idle,,0.0,2,0.0,0.0,4
18,114.0,step,5,moving_to_task,,7.08,3,6.0,0.0,0
24,117.0,step,0,moving_to_task,,14.48,3,3.0,0.0,1
,120.0,step,0,idle,,0.0,3,0.0,0.0,2
,120.0,step,0,idle,,0.0,3,0.0,0.0,3
,120.0,step,0,idle,,0.0,3,0.0,0.0,4
18,112.5,step,5,moving_to_task,,7.08,4,7.5,0.0,0
24,115.5,step,0,moving_to_task,,14.48,4,4.5,0.0,1
,120.0,step,0,idle,,0.0,4,0.0,0.0,2
,120.0,step,0,idle,,0.0,4,0.0,0.0,3
,120.0,step,0,idle,,0.0,4,0.0,0.0,4
18,111.0,step,5,moving_to_task,,7.08,5,9.0,0.0,0
24,114.0,step,10,moving_to_task,,14.48,5,6.0,0.0,1
,120.0,step,0,idle,,0.0,5,0.0,0.0,2
,120.0,step,0,idle,,0.0,5,0.0,0.0,3
,120.0,step,0,idle,,0.0,5,0.0,0.0,4
,110.7598,task_finish,2,moving_to_task,,0.0,6,9.2402,93.2148,0
,110.7598,move_to_depot,2,moving_to_depot,,0.0,6,9.2402,93.2148,0
,110.7598,step,2,moving_to_depot,,0.0,6,9.2402,93.2148,0
24,112.5,step,10,moving_to_task,,14.48,6,7.5,0.0,1
,120.0,step,0,idle,,0.0,6,0.0,0.0,2
,120.0,step,0,idle,,0.0,6,0.0,0.0,3
,120.0,step,0,idle,,0.0,6,0.0,0.0,4
,109.2598,step,2,moving_to_depot,,0.0,7,10.7402,93.2148,0
24,111.0,step,10,moving_to_task,,14.48,7,9.0,0.0,1
,120.0,step,0,idle,,0.0,7,0.0,0.0,2
,120.0,step,0,idle,,0.0,7,0.0,0.0,3
,120.0,step,0,idle,,0.0,7,0.0,0.0,4
,107.7598,step,2,moving_to_depot,,0.0,8,12.2402,93.2148,0
24,109.5,step,10,moving_to_task,,14.48,8,10.5,0.0,1
,120.0,step,0,idle,,0.0,8,0.0,0.0,2
,120.0,step,0,idle,,0.0,8,0.0,0.0,3
,120.0,step,0,idle,,0.0,8,0.0,0.0,4
,106.2598,step,5,moving_to_depot,,0.0,9,13.7402,93.2148,0
24,108.0,step,10,moving_to_task,,14.48,9,12.0,0.0,1
,120.0,step,0,idle,,0.0,9,0.0,0.0,2
,120.0,step,0,idle,,0.0,9,0.0,0.0,3
,120.0,step,0,idle,,0.0,9,0.0,0.0,4
,104.7598,step,5,moving_to_depot,,0.0,10,15.2402,93.2148,0
24,106.5,step,10,moving_to_task,,14.48,10,13.5,0.0,1
,120.0,step,0,idle,,0.0,10,0.0,0.0,2
,120.0,step,0,idle,,0.0,10,0.0,0.0,3
,120.0,step,0,idle,,0.0,10,0.0,0.0,4
,105.3722,task_finish,16,moving_to_task,,0.0,11,14.6278,89.2586,1
,105.3722,move_to_depot,16,moving_to_depot,,0.0,11,14.6278,89.2586,1
,103.2598,step,5,moving_to_depot,,0.0,11,16.7402,93.2148,0
,105.3722,step,16,moving_to_depot,,0.0,11,14.6278,89.2586,1
,120.0,step,0,idle,,0.0,11,0.0,0.0,2
,120.0,step,0,idle,,0.0,11,0.0,0.0,3
,120.0,step,0,idle,,0.0,11,0.0,0.0,4
,101.7598,step,5,moving_to_depot,,0.0,12,18.2402,93.2148,0
,103.8722,step,16,moving_to_depot,,0.0,12,16.1278,89.2586,1
,120.0,step,0,idle,,0.0,12,0.0,0.0,2
,120.0,step,0,idle,,0.0,12,0.0,0.0,3
,120.0,step,0,idle,,0.0,12,0.0,0.0,4
,101.5196,reach_depot,0,idle,,0.0,13,18.4804,93.2148,0
,101.5196,step,0,idle,,0.0,13,18.4804,93.2148,0
,102.3722,step,16,moving_to_depot,,0.0,13,17.6278,89.2586,1
,120.0,step,0,idle,,0.0,13,0.0,0.0,2
,120.0,step,0,idle,,0.0,13,0.0,0.0,3
,120.0,step,0,idle,,0.0,13,0.0,0.0,4
,101.5196,step,0,idle,,0.0,14,18.4804,93.2148,0
,100.8722,step,16,moving_to_depot,,0.0,14,19.1278,89.2586,1
,120.0,step,0,idle,,0.0,14,0.0,0.0,2
,120.0,step,0,idle,,0.0,14,0.0,0.0,3
,120.0,step,0,idle,,0.0,14,0.0,0.0,4
,101.5196,step,0,idle,,0.0,15,18.4804,93.2148,0
,99.3722,step,16,moving_to_depot,,0.0,15,20.6278,89.2586,1
,120.0,step,0,idle,,0.0,15,0.0,0.0,2
,120.0,step,0,idle,,0.0,15,0.0,0.0,3
,120.0,step,0,idle,,0.0,15,0.0,0.0,4
8,101.5196,dispatch,0,moving_to_task,,2.03,16,18.4804,93.2148,0
8,100.0196,step,0,moving_to_task,,2.03,16,19.9804,93.2148,0
,97.8722,step,16,moving_to_depot,,0.0,16,22.1278,89.2586,1
,120.0,step,0,idle,,0.0,16,0.0,0.0,2
,120.0,step,0,idle,,0.0,16,0.0,0.0,3
,120.0,step,0,idle,,0.0,16,0.0,0.0,4
8,98.5196,step,0,moving_to_task,,2.03,17,21.4804,93.2148,0
,96.3722,step,16,moving_to_depot,,0.0,17,23.6278,89.2586,1
,120.0,step,0,idle,,0.0,17,0.0,0.0,2
,120.0,step,0,idle,,0.0,17,0.0,0.0,3
,120.0,step,0,idle,,0.0,17,0.0,0.0,4
8,97.0196,step,0,moving_to_task,,2.03,18,22.9804,93.2148,0
,94.8722,step,10,moving_to_depot,,0.0,18,25.1278,89.2586,1
,120.0,step,0,idle,,0.0,18,0.0,0.0,2
,120.0,step,0,idle,,0.0,18,0.0,0.0,3
,120.0,step,0,idle,,0.0,18,0.0,0.0,4
8,95.5196,step,24,moving_to_task,,2.03,19,24.4804,93.2148,0
,93.3722,step,10,moving_to_depot,,0.0,19,26.6278,89.2586,1
,120.0,step,0,idle,,0.0,19,0.0,0.0,2
,120.0,step,0,idle,,0.0,19,0.0,0.0,3
,120.0,step,0,idle,,0.0,19,0.0,0.0,4
8,94.0196,step,24,moving_to_task,,2.03,20,25.9804,93.2148,0
,91.8722,step,10,moving_to_depot,,0.0,20,28.1278,89.2586,1
,120.0,step,0,idle,,0.0,20,0.0,0.0,2
,120.0,step,0,idle,,0.0,20,0.0,0.0,3
,120.0,step,0,idle,,0.0,20,0.0,0.0,4
,90.7445,reach_depot,0,idle,,0.0,21,29.2555,89.2586,1
8,92.5196,step,24,moving_to_task,,2.03,21,27.4804,93.2148,0
,90.7445,step,0,idle,,0.0,21,29.2555,89.2586,1
,120.0,step,0,idle,,0.0,21,0.0,0.0,2
,120.0,step,0,idle,,0.0,21,0.0,0.0,3
,120.0,step,0,idle,,0.0,21,0.0,0.0,4
8,91.0196,step,24,moving_to_task,,2.03,22,28.9804,93.2148,0
,90.7445,step,0,idle,,0.0,22,29.2555,89.2586,1
,120.0,step,0,idle,,0.0,22,0.0,0.0,2
,120.0,step,0,idle,,0.0,22,0.0,0.0,3
,120.0,step,0,idle,,0.0,22,0.0,0.0,4
,90.2592,task_finish,8,moving_to_task,,0.0,23,29.7408,184.9461,0
,90.2592,move_to_depot,8,moving_to_depot,,0.0,23,29.7408,184.9461,0
,90.2592,step,8,moving_to_depot,,0.0,23,29.7408,184.9461,0
,90.7445,step,0,idle,,0.0,23,29.2555,89.2586,1
,120.0,step,0,idle,,0.0,23,0.0,0.0,2
,120.0,step,0,idle,,0.0,23,0.0,0.0,3
,120.0,step,0,idle,,0.0,23,0.0,0.0,4
,88.7592,step,8,moving_to_depot,,0.0,24,31.2408,184.9461,0
,90.7445,step,0,idle,,0.0,24,29.2555,89.2586,1
,120.0,step,0,idle,,0.0,24,0.0,0.0,2
,120.0,step,0,idle,,0.0,24,0.0,0.0,3
,120.0,step,0,idle,,0.0,24,0.0,0.0,4
,87.2592,step,8,moving_to_depot,,0.0,25,32.7408,184.9461,0
,90.7445,step,0,idle,,0.0,25,29.2555,89.2586,1
,120.0,step,0,idle,,0.0,25,0.0,0.0,2
,120.0,step,0,idle,,0.0,25,0.0,0.0,3
,120.0,step,0,idle,,0.0,25,0.0,0.0,4
,85.7592,step,8,moving_to_depot,,0.0,26,34.2408,184.9461,0
,90.7445,step,0,idle,,0.0,26,29.2555,89.2586,1
,120.0,step,0,idle,,0.0,26,0.0,0.0,2
,120.0,step,0,idle,,0.0,26,0.0,0.0,3
,120.0,step,0,idle,,0.0,26,0.0,0.0,4
16,90.7445,dispatch,0,moving_to_task,,4.13,27,29.2555,89.2586,1
,84.2592,step,8,moving_to_depot,,0.0,27,35.7408,184.9461,0
