assigned_time,assigned_vehicle,assigned_vehicles,collaborative,complete_time,deadline,delivered_weight,event_type,origin_node,release_time,remaining_weight,service_distance,service_duration,status,task_id,time,weight
,,{},False,,67,0.0,released,15,0,19.1,0.0,0,pending,4,0,19.1
0,0,{0: 19.1},False,,67,0.0,assigned,15,0,19.1,0.0,0,assigned,4,0,19.1
0,0,{},False,7,67,19.1,completed,15,0,0.0,10.5453,7,completed,4,7,19.1
,,{},False,,66,0.0,released,22,8,1.75,0.0,0,pending,23,8,1.75
8,1,{1: 1.75},False,,66,0.0,assigned,22,8,1.75,0.0,0,assigned,23,8,1.75
,,{},False,,76,0.0,released,3,15,24.75,0.0,0,pending,6,15,24.75
,,{},False,,92,0.0,released,17,15,27.54,0.0,0,pending,9,15,27.54
15,2,{2: 24.75},False,,76,0.0,assigned,3,15,24.75,0.0,0,assigned,6,15,24.75
15,3,{3: 27.54},False,,92,0.0,assigned,17,15,27.54,0.0,0,assigned,9,15,27.54
15,2,{},False,16,76,24.75,completed,3,15,0.0,2.6321,1,completed,6,16,24.75
8,1,{},False,17,66,1.75,completed,22,8,0.0,14.8023,9,completed,23,17,1.75
15,3,{},False,18,92,27.54,completed,17,15,0.0,4.8735,3,completed,9,18,27.54
,,{},False,,110,0.0,released,18,41,26.68,0.0,0,pending,13,41,26.68
41,0,{0: 26.68},False,,110,0.0,assigned,18,41,26.68,0.0,0,assigned,13,41,26.68
,,{},False,,100,0.0,released,13,43,24.66,0.0,0,pending,14,43,24.66
43,1,{1: 24.66},False,,100,0.0,assigned,13,43,24.66,0.0,0,assigned,14,43,24.66
,,{},False,,71,0.0,released,14,45,12.05,0.0,0,pending,22,45,12.05
,,{},False,,74,0.0,released,2,45,21.18,0.0,0,pending,26,45,21.18
45,2,{2: 21.18},False,,74,0.0,assigned,2,45,21.18,0.0,0,assigned,26,45,21.18
45,3,{3: 12.05},False,,71,0.0,assigned,14,45,12.05,0.0,0,assigned,22,45,12.05
41,0,{},False,45,110,26.68,completed,18,41,0.0,6.7771,4,completed,13,45,26.68
43,1,{},False,53,100,24.66,completed,13,43,0.0,15.0503,10,completed,14,53,24.66
45,2,{},False,53,74,21.18,completed,2,45,0.0,12.768,8,completed,26,53,21.18
45,3,{},False,55,71,12.05,completed,14,45,0.0,15.3071,10,completed,22,55,12.05
,,{},False,,87,0.0,released,14,57,29.69,0.0,0,pending,10,57,29.69
57,0,{0: 29.69},False,,87,0.0,assigned,14,57,29.69,0.0,0,assigned,10,57,29.69
,,{},False,,104,0.0,released,12,64,10.72,0.0,0,pending,20,64,10.72
64,2,{2: 10.72},False,,104,0.0,assigned,12,64,10.72,0.0,0,assigned,20,64,10.72
57,0,{},False,67,87,29.69,completed,14,57,0.0,15.3071,10,completed,10,67,29.69
64,2,{},False,73,104,10.72,completed,12,64,0.0,13.6732,9,completed,20,73,10.72
,,{},False,,123,0.0,released,12,89,12.07,0.0,0,pending,1,89,12.07
89,0,{0: 12.07},False,,123,0.0,assigned,12,89,12.07,0.0,0,assigned,1,89,12.07
,,{},False,,129,0.0,released,7,94,10.85,0.0,0,pending,5,94,10.85
,,{},False,,132,0.0,released,15,94,10.85,0.0,0,pending,29,94,10.85
94,1,{1: 10.85},False,,132,0.0,assigned,15,94,10.85,0.0,0,assigned,29,94,10.85
94,2,{2: 10.85},False,,129,0.0,assigned,7,94,10.85,0.0,0,assigned,5,94,10.85
89,0,{},False,98,123,12.07,completed,12,89,0.0,13.6732,9,completed,1,98,12.07
94,1,{},False,101,132,10.85,completed,15,94,0.0,10.5453,7,completed,29,101,10.85
,,{},False,,179,0.0,released,1,103,25.43,0.0,0,pending,8,103,25.43
103,3,{3: 25.43},False,,179,0.0,assigned,1,103,25.43,0.0,0,assigned,8,103,25.43
103,3,{},False,104,179,25.43,completed,1,103,0.0,2.2927,1,completed,8,104,25.43
94,2,{},False,105,129,10.85,completed,7,94,0.0,17.9168,11,completed,5,105,10.85
,,{},False,,136,0.0,released,25,109,12.26,0.0,0,pending,24,109,12.26
109,3,{3: 12.26},False,,136,0.0,assigned,25,109,12.26,0.0,0,assigned,24,109,12.26
,,{},False,,152,0.0,released,20,110,15.45,0.0,0,pending,27,110,15.45
110,0,{0: 15.45},False,,152,0.0,assigned,20,110,15.45,0.0,0,assigned,27,110,15.45
,,{},False,,145,0.0,released,5,113,20.17,0.0,0,pending,11,113,20.17
113,1,{1: 20.17},False,,145,0.0,assigned,5,113,20.17,0.0,0,assigned,11,113,20.17
110,0,{},False,118,152,15.45,completed,20,110,0.0,13.3317,8,completed,27,118,15.45
113,1,{},False,119,145,20.17,completed,5,113,0.0,9.8047,6,completed,11,119,20.17
,,{},False,,163,0.0,released,22,121,20.07,0.0,0,pending,0,121,20.07
121,4,{4: 20.07},False,,163,0.0,assigned,22,121,20.07,0.0,0,assigned,0,121,20.07
109,3,{},False,121,136,12.26,completed,25,109,0.0,18.8098,12,completed,24,121,12.26
