avg_battery,charging_queue_total,completed_tasks,expired_tasks,pending_tasks,time,total_score
120.0,0,0,0,0,0,0.0
120.0,0,0,0,0,1,0.0
120.0,0,0,0,0,2,0.0
119.4,0,0,0,0,3,0.0
118.8,0,0,0,0,4,0.0
117.9,0,0,0,0,5,0.0
117.0,0,0,0,0,6,0.0
116.1,0,0,0,0,7,0.0
114.9,0,0,0,0,8,0.0
113.7,0,0,0,0,9,0.0
112.6265,0,1,0,0,10,97.2795
111.4265,0,1,0,0,11,97.2795
110.2265,0,1,0,0,12,97.2795
109.2416,0,2,0,0,13,187.8452
108.5118,0,3,0,0,14,275.3558
107.6118,0,3,0,0,15,275.3558
106.6659,0,4,0,0,16,360.9182
105.4659,0,4,0,0,17,360.9182
104.2659,0,4,0,0,18,360.9182
103.1342,0,5,0,0,19,456.923
101.9342,0,5,0,0,20,456.923
100.7342,0,5,0,0,21,456.923
99.3227,0,5,0,0,22,456.923
98.191,0,5,0,0,23,456.923
97.291,0,5,0,0,24,456.923
96.391,0,5,0,0,25,456.923
95.6612,0,5,0,0,26,456.923
95.0612,0,5,0,0,27,456.923
94.4612,0,5,0,0,28,456.923
93.8612,0,5,0,0,29,456.923
93.5153,0,5,0,0,30,456.923
93.2158,0,6,0,0,31,546.1243
92.9158,0,6,0,0,32,546.1243
92.6158,0,6,0,0,33,546.1243
92.0158,0,6,0,0,34,546.1243
91.4158,0,6,0,0,35,546.1243
90.8158,0,6,0,0,36,546.1243
90.2158,0,6,0,0,37,546.1243
89.6158,0,6,0,0,38,546.1243
89.0158,0,6,0,0,39,546.1243
88.4158,0,6,0,0,40,546.1243
87.8162,0,6,0,0,41,546.1243
87.2638,0,7,0,0,42,636.5672
86.3638,0,7,0,0,43,636.5672
85.4638,0,7,0,0,44,636.5672
84.5638,0,7,0,0,45,636.5672
83.6638,0,7,0,0,46,636.5672
82.7638,0,7,0,0,47,636.5672
81.8638,0,7,0,0,48,636.5672
80.7174,0,8,0,0,49,728.1278
79.2174,0,8,0,0,50,728.1278
77.765,0,8,0,1,51,728.1278
76.265,0,8,0,0,52,728.1278
74.765,0,8,0,1,53,728.1278
73.265,0,8,0,1,54,728.1278
72.0422,0,9,0,1,55,814.8593
70.5422,0,9,0,1,56,814.8593
69.0957,0,9,0,1,57,814.8593
67.5957,0,9,0,1,58,814.8593
66.2843,0,11,0,1,59,992.725
64.8319,0,12,0,1,60,1082.9678
63.3319,0,12,0,1,61,1082.9678
62.1043,0,13,0,1,62,1177.485
60.6043,0,13,0,2,63,1177.485
59.1043,0,13,0,2,64,1177.485
57.6043,0,13,0,2,65,1177.485
56.1043,0,13,0,3,66,1177.485
54.8766,0,13,0,3,67,1177.485
53.6538,0,13,0,2,68,1177.485
52.2019,0,13,0,1,69,1177.485
51.2559,0,14,0,0,70,1274.1826
50.3559,0,14,0,0,71,1274.1826
49.1559,0,14,0,0,72,1274.1826
47.7217,0,14,0,0,73,1274.1826
46.5217,0,14,0,0,74,1274.1826
45.409,0,15,0,0,75,1365.7444
44.209,0,15,0,0,76,1365.7444
43.009,0,15,0,0,77,1365.7444
41.809,0,15,0,0,78,1365.7444
40.609,0,15,0,0,79,1365.7444
39.5971,0,16,0,0,80,1452.0087
38.4861,0,18,0,0,81,1631.7758
37.3734,0,18,0,0,82,1631.7758
36.4734,0,18,0,0,83,1631.7758
35.5734,0,18,0,0,84,1631.7758
34.6734,0,18,0,0,85,1631.7758
33.7734,0,18,0,0,86,1631.7758
32.8734,0,18,0,0,87,1631.7758
31.9734,0,18,0,0,88,1631.7758
31.0734,0,18,0,0,89,1631.7758
30.262,0,18,0,0,90,1631.7758
29.8505,0,18,0,0,91,1631.7758
29.8505,0,18,0,0,92,1631.7758
29.8505,0,18,0,0,93,1631.7758
29.8505,0,18,0,0,94,1631.7758
29.8505,0,18,0,0,95,1631.7758
29.8505,0,18,0,0,96,1631.7758
29.8505,0,18,0,0,97,1631.7758
29.5505,0,18,0,0,98,1631.7758
29.2505,0,18,0,0,99,1631.7758
28.9505,0,18,0,0,100,1631.7758
28.6505,0,18,0,0,101,1631.7758
28.0505,0,18,0,0,102,1631.7758
27.1505,0,18,0,0,103,1631.7758
26.2505,0,18,0,0,104,1631.7758
25.4188,0,19,0,0,105,1727.7806
24.2664,0,20,0,0,106,1818.2234
23.0664,0,20,0,0,107,1818.2234
21.8664,0,20,0,0,108,1818.2234
20.96,0,21,0,0,109,1911.3995
20.06,0,21,0,0,110,1911.3995
19.16,0,21,0,0,111,1911.3995
18.26,0,21,0,0,112,1911.3995
17.36,0,21,0,0,113,1911.3995
16.5077,0,22,0,0,114,2001.8424
15.6553,0,22,0,0,115,2001.8424
14.9807,0,22,0,1,116,2001.8424
14.0807,0,22,0,1,117,2001.8424
13.1807,0,22,0,1,118,2001.8424
12.2807,0,22,0,1,119,2001.8424
11.3807,0,22,0,1,120,2001.8424
10.4807,0,22,0,2,121,2001.8424
9.6679,0,23,0,2,122,2094.6042
8.8155,0,23,0,2,123,2094.6042
8.2155,0,23,0,2,124,2094.6042
7.8842,0,23,0,2,125,2094.6042
8.7842,0,23,0,2,126,2094.6042
9.6842,0,23,0,2,127,2094.6042
10.5842,0,23,0,2,128,2094.6042
11.5715,0,23,0,2,129,2094.6042
12.7715,0,23,0,2,130,2094.6042
13.9715,0,23,0,2,131,2094.6042
15.1715,0,23,0,2,132,2094.6042
16.3715,0,23,0,2,133,2094.6042
17.5715,0,23,0,2,134,2094.6042
18.7715,0,23,0,2,135,2094.6042
19.9715,0,23,0,3,136,2094.6042
21.1715,0,23,0,3,137,2094.6042
22.3715,0,23,0,3,138,2094.6042
23.5715,0,23,0,3,139,2094.6042
24.7715,0,23,0,3,140,2094.6042
25.9715,0,23,0,3,141,2094.6042
27.1715,0,23,0,3,142,2094.6042
26.8715,0,23,0,2,143,2094.6042
26.5715,0,23,0,2,144,2094.6042
26.2715,0,23,0,2,145,2094.6042
25.9715,0,23,0,2,146,2094.6042
25.6715,0,23,0,2,147,2094.6042
25.3715,0,23,0,2,148,2094.6042
25.1668,0,24,0,2,149,2181.9903
24.8668,0,24,0,2,150,2181.9903
24.5668,0,24,0,2,151,2181.9903
24.2668,0,24,0,2,152,2181.9903
23.9668,0,24,0,2,153,2181.9903
23.6668,0,24,0,2,154,2181.9903
23.3668,0,24,0,2,155,2181.9903
23.1383,0,24,0,2,156,2181.9903
22.8383,0,24,0,1,157,2181.9903
22.5383,0,24,0,1,158,2181.9903
22.2383,0,24,0,1,159,2181.9903
21.9383,0,24,0,1,160,2181.9903
21.6383,0,24,0,1,161,2181.9903
21.3383,0,24,0,1,162,2181.9903
21.0383,0,24,0,1,163,2181.9903
21.0064,0,25,0,2,164,2266.9944
20.7064,0,25,0,2,165,2266.9944
20.4064,0,25,0,2,166,2266.9944
20.1064,0,25,0,2,167,2266.9944
19.8064,0,25,0,2,168,2266.9944
19.5064,0,25,0,3,169,2266.9944
19.2064,0,25,0,3,170,2266.9944
18.9064,0,25,0,3,171,2266.9944
18.8744,0,25,0,3,172,2266.9944
18.5744,0,25,0,2,173,2266.9944
18.2744,0,25,0,2,174,2266.9944
17.9744,0,25,0,2,175,2266.9944
17.6744,0,25,0,2,176,2266.9944
17.6468,0,26,0,2,177,2360.7116
17.3468,0,26,0,2,178,2360.7116
17.0468,0,26,0,4,179,2360.7116
