episode,seed,scale_index,scale,epsilon,total_reward,steps,final_score,completed_tasks,expired_tasks,eval_score_mean,eval_reward_mean,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count
0.0,7.0,0.0,medium,0.2,4300.580310963539,164.0,4053.0470514031194,51.0,30.0,4335.824449638215,4661.129496072903,27.0,30.0,38.0,32.0,30.0,7.0
1.0,8.0,0.0,medium,0.199,4525.2583487796655,170.0,4239.477296009091,53.0,30.0,4249.707613756893,4574.389662874951,10.0,44.0,53.0,30.0,29.0,4.0
2.0,9.0,0.0,medium,0.19800500000000001,4424.159616415556,168.0,4148.86610439134,52.0,30.0,4249.707613756893,4574.389662874951,11.0,41.0,54.0,30.0,30.0,2.0
3.0,10.0,0.0,medium,0.197014975,4321.457258938111,162.0,4055.6849741201454,51.0,30.0,4249.707613756893,4574.389662874951,19.0,42.0,47.0,29.0,23.0,2.0
4.0,11.0,0.0,medium,0.19602990012500002,4321.457258938111,162.0,4055.6849741201454,51.0,30.0,4249.707613756893,4574.389662874951,19.0,42.0,49.0,28.0,22.0,2.0
5.0,12.0,0.0,medium,0.19504975062437502,4321.457258938111,162.0,4055.6849741201454,51.0,30.0,4249.707613756893,4574.389662874951,19.0,42.0,49.0,28.0,22.0,2.0
6.0,13.0,0.0,medium,0.19407450187125314,4321.457258938111,162.0,4055.6849741201454,51.0,30.0,4249.707613756893,4574.389662874951,19.0,42.0,49.0,28.0,22.0,2.0
7.0,14.0,0.0,medium,0.19310412936189686,4321.457258938111,162.0,4055.6849741201454,51.0,30.0,3999.726094132284,4215.886608001001,19.0,42.0,49.0,28.0,22.0,2.0
8.0,15.0,0.0,medium,0.19213860871508737,4217.643941676202,162.0,3961.8169032300466,50.0,30.0,3999.726094132284,4215.886608001001,11.0,50.0,48.0,28.0,23.0,2.0
9.0,16.0,0.0,medium,0.19117791567151193,4217.643941676202,162.0,3961.8169032300466,50.0,30.0,3999.726094132284,4215.886608001001,11.0,50.0,48.0,28.0,23.0,2.0
10.0,17.0,0.0,medium,0.19022202609315436,4217.643941676202,162.0,3961.8169032300466,50.0,30.0,3999.726094132284,4215.886608001001,11.0,50.0,48.0,28.0,23.0,2.0
11.0,18.0,0.0,medium,0.18927091596268858,4217.643941676202,162.0,3961.8169032300466,50.0,30.0,3999.726094132284,4215.886608001001,11.0,50.0,48.0,28.0,23.0,2.0
12.0,19.0,0.0,medium,0.18832456138287512,4217.643941676202,162.0,3961.8169032300466,50.0,30.0,3999.726094132284,4215.886608001001,11.0,51.0,49.0,28.0,22.0,1.0
13.0,20.0,0.0,medium,0.18738293857596075,4217.643941676202,162.0,3961.8169032300466,50.0,30.0,3999.726094132284,4215.886608001001,11.0,51.0,49.0,28.0,22.0,1.0
14.0,21.0,0.0,medium,0.18644602388308096,4217.643941676202,162.0,3961.8169032300466,50.0,30.0,3999.726094132284,4215.886608001001,11.0,51.0,49.0,28.0,22.0,1.0
15.0,22.0,0.0,medium,0.18551379376366556,4217.643941676202,162.0,3961.8169032300466,50.0,30.0,3999.726094132284,4215.886608001001,11.0,51.0,49.0,28.0,22.0,1.0
16.0,23.0,0.0,medium,0.18458622479484724,4217.643941676202,162.0,3961.8169032300466,50.0,30.0,3999.726094132284,4215.886608001001,11.0,51.0,49.0,28.0,22.0,1.0
17.0,24.0,0.0,medium,0.183663293670873,4130.305226858947,160.0,3865.689984058434,49.0,30.0,3169.087842411796,3230.3618592902967,11.0,69.0,45.0,26.0,8.0,1.0
18.0,25.0,0.0,medium,0.18274497720251864,3845.599603930564,165.0,3635.8669210348426,47.0,33.0,3169.087842411796,3230.3618592902967,11.0,71.0,49.0,30.0,3.0,1.0
19.0,26.0,0.0,medium,0.18183125231650604,4367.013087972616,165.0,4069.6229343694004,51.0,29.0,3169.087842411796,3230.3618592902967,11.0,65.0,48.0,26.0,14.0,1.0
20.0,27.0,0.0,medium,0.18092209605492351,4451.332430700319,164.0,4158.535609726023,52.0,30.0,3169.087842411796,3230.3618592902967,11.0,48.0,40.0,29.0,35.0,1.0
21.0,28.0,0.0,medium,0.1800174855746489,4367.013087972616,165.0,4069.6229343694004,51.0,29.0,3169.087842411796,3230.3618592902967,11.0,65.0,48.0,26.0,14.0,1.0
22.0,29.0,0.0,medium,0.17911739814677563,3215.6631719157726,157.0,3169.843593830074,43.0,38.0,3172.8714524665374,3184.219234094852,10.0,80.0,40.0,21.0,5.0,1.0
23.0,30.0,0.0,medium,0.17822181115604174,3240.5717626301594,155.0,3177.2402472257877,43.0,37.0,3072.383681324673,3118.0044612466945,20.0,73.0,35.0,21.0,5.0,1.0
24.0,31.0,0.0,medium,0.17733070210026153,3219.5131719157725,156.0,3169.843593830074,43.0,38.0,3172.8714524665374,3184.219234094852,13.0,83.0,33.0,21.0,5.0,1.0
25.0,32.0,0.0,medium,0.17644404858976023,3240.5717626301594,155.0,3177.2402472257877,43.0,37.0,3172.8714524665374,3184.219234094852,20.0,73.0,35.0,21.0,5.0,1.0
