episode,seed,scale_index,scale,epsilon,total_reward,steps,final_score,completed_tasks,expired_tasks,eval_score_mean,eval_reward_mean,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count
0.0,7.0,0.0,small,0.2,3260.9224678727282,73.0,2735.4437436628828,30.0,0.0,2515.0339629049695,2991.4764416027842,37.0,12.0,11.0,2.0,3.0,2.0,1.0,5.0
1.0,8.0,1.0,medium,0.199,3870.636900985926,160.0,3715.008971816041,48.0,34.0,2706.8683819966373,2695.7188146526737,62.0,20.0,17.0,15.0,6.0,13.0,25.0,2.0
2.0,9.0,0.0,small,0.19800500000000001,2157.936154536776,59.0,1821.9295429591664,22.0,8.0,2471.6745769125027,2935.503219791972,22.0,12.0,3.0,2.0,5.0,9.0,4.0,2.0
3.0,10.0,1.0,medium,0.197014975,4954.6950776868,172.0,4585.010613048187,56.0,30.0,2458.9391521267207,2383.3214451063977,43.0,39.0,30.0,5.0,5.0,14.0,27.0,9.0
4.0,11.0,0.0,small,0.19602990012500002,3281.330491099526,73.0,2754.4020663758897,30.0,0.0,2256.0683886704182,2674.7447186209465,20.0,10.0,14.0,1.0,11.0,5.0,11.0,1.0
5.0,12.0,1.0,medium,0.19504975062437502,2139.0600644270435,133.0,2283.0938796142127,36.0,51.0,2926.6501107298004,2927.0229966106913,32.0,6.0,11.0,6.0,7.0,41.0,5.0,25.0
6.0,13.0,0.0,small,0.19407450187125314,2786.3210622960155,74.0,2357.8165015832556,27.0,3.0,2433.250596677535,2898.2081827281313,24.0,16.0,13.0,3.0,9.0,1.0,8.0,0.0
7.0,14.0,1.0,medium,0.19310412936189686,6115.097097631583,182.0,5450.1478890368035,63.0,19.0,2615.1204520723227,2523.0588615695624,50.0,71.0,21.0,4.0,8.0,7.0,14.0,7.0
8.0,15.0,0.0,small,0.19213860871508737,3201.6522182601243,84.0,2692.606267437346,30.0,0.0,2276.640489839037,2691.0072567827683,46.0,7.0,14.0,3.0,7.0,4.0,1.0,2.0
9.0,16.0,1.0,medium,0.19117791567151193,3714.031159143531,157.0,3603.728823173719,48.0,37.0,2803.6343805494075,2842.826650779663,41.0,34.0,20.0,2.0,3.0,23.0,32.0,2.0
