episode,seed,scale_index,scale,epsilon,total_reward,steps,final_score,completed_tasks,expired_tasks,eval_score_mean,eval_reward_mean,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count
0.0,7.0,0.0,small,0.2,3047.775383083246,67.0,2557.14537641101,28.0,0.0,2392.6796814715035,2847.9650111182436,35.0,9.0,11.0,2.0,3.0,1.0,1.0,5.0
1.0,8.0,0.0,small,0.199,2490.851776153658,65.0,2108.334225067414,24.0,2.0,2286.7720366877234,2711.94961336505,29.0,6.0,9.0,9.0,8.0,1.0,2.0,1.0
2.0,9.0,0.0,small,0.19800500000000001,2328.936154536776,59.0,1961.9295429591664,22.0,1.0,2309.7262053450663,2750.873127812086,26.0,11.0,3.0,6.0,5.0,3.0,3.0,2.0
3.0,10.0,0.0,small,0.197014975,3106.7225148214784,81.0,2610.3691975110823,29.0,0.0,2244.3100611684526,2665.6026142720234,35.0,7.0,26.0,1.0,7.0,3.0,0.0,2.0
4.0,11.0,0.0,small,0.19602990012500002,2746.433296504649,62.0,2306.2908883049586,25.0,0.0,2098.1579966828585,2485.6697308118014,17.0,8.0,14.0,8.0,10.0,4.0,0.0,1.0
5.0,12.0,0.0,small,0.19504975062437502,3284.7723214733237,77.0,2753.759687689228,30.0,0.0,2222.4430023221885,2637.051781924505,30.0,6.0,21.0,0.0,12.0,2.0,3.0,3.0
6.0,13.0,0.0,small,0.19407450187125314,2719.5178794062813,69.0,2292.018359620445,26.0,2.0,2276.804298536911,2712.5620676125895,26.0,12.0,13.0,8.0,8.0,1.0,1.0,0.0
7.0,14.0,0.0,small,0.19310412936189686,2441.7802811033234,64.0,2052.24203892553,23.0,0.0,2363.553568244797,2809.0740547035007,17.0,5.0,21.0,13.0,5.0,2.0,0.0,1.0
8.0,15.0,0.0,small,0.19213860871508737,3006.9601902366903,76.0,2525.936652683258,28.0,0.0,2166.4806333491224,2569.6790222030927,44.0,5.0,12.0,3.0,5.0,4.0,1.0,2.0
9.0,16.0,0.0,small,0.19117791567151193,3314.585845539188,70.0,2777.070579030072,30.0,0.0,2156.372876871922,2556.666119622114,19.0,23.0,13.0,3.0,6.0,2.0,1.0,3.0
10.0,17.0,0.0,small,0.19022202609315436,2953.1421801181364,80.0,2481.006786663347,28.0,0.0,2154.373128809584,2555.685365835209,46.0,3.0,8.0,1.0,10.0,10.0,1.0,1.0
11.0,18.0,0.0,small,0.18927091596268858,3304.837898377178,76.0,2764.285647398997,30.0,0.0,2138.5562680334683,2533.6992599290547,22.0,9.0,24.0,1.0,9.0,6.0,2.0,3.0
12.0,19.0,0.0,small,0.18832456138287512,2968.2424429859866,74.0,2484.4826384886387,27.0,0.0,2548.7495701062826,3037.4124340301664,23.0,13.0,19.0,1.0,12.0,2.0,1.0,3.0
13.0,20.0,0.0,small,0.18738293857596075,2280.5588939785707,65.0,1929.039818253841,22.0,2.0,2531.122371030321,3010.3380314676797,22.0,9.0,16.0,8.0,5.0,3.0,1.0,1.0
14.0,21.0,0.0,small,0.18644602388308096,2215.717750147808,63.0,1889.0444602604512,22.0,5.0,2174.288190150324,2582.8082451860705,20.0,9.0,13.0,2.0,10.0,3.0,3.0,3.0
15.0,22.0,0.0,small,0.18551379376366556,2975.6262991402277,73.0,2504.685566942605,28.0,2.0,2457.9549004553282,2928.9514605402564,25.0,8.0,23.0,1.0,12.0,0.0,1.0,3.0
16.0,23.0,0.0,small,0.18458622479484724,2368.6115198755338,62.0,1985.7999945008207,22.0,0.0,2348.089165901598,2788.9585596737406,17.0,17.0,18.0,5.0,3.0,1.0,1.0,0.0
